afsosnak,افسوسناڪ
ghaibano,غائباڻو
tababat,طبابت
badhandaran,ٻڌندڙن
aakhaniyen,آکاڻين
hathuon,هٿئون
lateefat,لطيفات
jahaliat,جاھليت
joshor,جوشور
murk,مرک
baraazam,براعظم
maadiyat,ماديت
apayal,اپايل
lipesig,لائپزگ
golds,گولڊس
aagotho,آڱوٺو
aaqaen,آقائن
mukhtisar,مختصر
suthen,سُٿڻ
kutan,ڪتن
hijrati,هجرتي
haneno,هڻڻو
spreen,اسپرين
jhalan,جهلڻ
aladoyat,الادويات
sengaryo,سينگاريو
aachh,آڇ
dhhanchi,ڍانچي
kotliya,ڪوٽليا
dargaahoon,درگاهون
jhamir,جهمر
supported,سپورٽيڊ
baashindo,باشندو
masalaho,مصالحو
khanira,کنيرا
daum,ڊوم
corter,ڪارٽر
samjhaenda,سمجهائيندا
ola,اولا
rozano,روزانو
verhaak,ويڙهاڪ
bezar,بيزار
halaenda,هلائيندا
restaurants,ريسٽورنٽس
jagaian,جاڳائڻ
zida,زده
barmak,برمڪ
sanzarkhel,سنزرخيل
kandhri,ڪنڍڙي
kunaara,ڪنارا
baryel,ڀريل
peeu,پيءُ
girra,گرڙا
goor,گوڙ
ozyashiya,اوزياشيا
sindela,سنديلا
jozjaan,جوزجان
intna,انٽنا
samrajeen,سامراجين
rakhiyaen,رکيائين
instalar,انسٽالر
dukaara,ڏُڪار
narmohi,نرموهي
odanhan,اوڏانهن
jazbandi,جزبندي
aabadji,آبادجي
waqeel,وقيل
ubharan,اُڀرڻ
pewing,پيونگ
rahandi,رهندي
electrol,اليڪٽرول
ladhro,لڌڙو
desc,ڊيسڪ
nachan,نچڻ
ubhrando,اڀرندو
taghi,طاغي
mareeni,مريني
jaberi,جبيري
wagnani,واڱڻاڻي
khotyan,کوٽين
chahnbiyaro,چهنبيارو
clain,ڪلين
metharam,ميٺارام
laiq,لائق
harkiyat,حرڪيات
hataendar,هٽائيندڙ
dhanaran,ڌنارن
hanayaeen,هڻايائين
balaghoon,بلاغون
katraen,ڪٽرائڻ
kalwani,ڪلواڻي
kanwariyen,ڪنوارين
alyof,عليوف
umrani,عمراڻي
alamah,علامه
sheebani,شيباني
layaaree,لياري
junnejo,جوڻيجو
lothreen,لوٿرين
ghuleen,گهلين
fladelfia,فلاڊيلفيا
pardaziyo,پردازيو
newtun,نيوٽن
laakho,لاکو
tokhan,توکان
badiyoon,بديون
ghuraenda,گھرائيندا
akeeno,اڪينو
siyarani,سياراڻي
qabarparastia,قبرپرستيءَ
niyari,نياري
byabani,بياباني
buildings,بلڊنگس
khalda,خالده
udaroon,اڏارون
jorayoun,جوڙايون
kherol,کيرول
zulalfiqaar,ذوالفقار
nimari,نماري
workern,ورڪرن
aabgahan,آبگاهن
shewaji,شيواجي
daveeto,دويتو
nikee,نڪي
chikchika,چڪچڪا
afzodgi,افزودگي
aabari,آبري
dhokeebaz,ڌوڪيباز
sharnarati,شرنارتي
obhariyan,اوڀاريان
sarguzisht,سرگذشت
duterium,ڊيوٽيريم
cholsan,چولسان
kunban,ڪنبن
naqtee,نقطي
gharandar,گھرندڙ
aandaa,آندا
dhadkandey,ڌڙڪندي
sadyoun,صديون
tahfa,تحفا
sughran,سگهڙن
koshishoon,ڪوششون
medlan,ميڊلن
nargisyat,نرگسيت
marviyal,مارويل
katoriyoon,ڪٽوريون
chhatyal,ڇٽيل
sagayoey,ساڳيوئي
puhchaenda,پهچائيندا
wahilo,واهلو
haweliyoon,حويليون
sanhoon,سنهون
mahinay,مهيني
muqatim,مقاتم
duniyaan,دنيان
tareeta,تريتا
cheeki,چيڪي
inhanja,انهنجا
posra,پوسرا
sameri,سميري
mizain,مزين
inderground,انڊرگرائونڊ
albright,البرائٽ
wamanazir,ومناظر
tasheeat,تشيعت
puhchaen,پهچائڻ
khaangarah,خانڳڙهه
multan,ملتان
sadyaeen,سڏيائين
baatani,باطني
mathahoon,مٿاھون
votan,ووٽن
porje,پورجي
asolan,اصولن
sukhyaoon,سکيائون
tarmemon,ترميمون
sahidayal,سهيڙيل
larkano,لاڙڪاڻو
piyarendo,پياريندو
integrated,انٽيگريٽيڊ
estaeen,ايستائين
hidayatan,ھدايتن
wahkure,وھڪري
warasinah,وراثنه
baaqaaeday,باقائدي
sewen,سيون
dheee,ڌيءِ
khotyoun,کوٽيون
girfitari,گرفتاري
teki,ٽيڪي
inqalabi,انقلابي
muwaslaat,مواصلات
aghwani,اڳواڻي
fatehah,فاتحه
deveen,ديوين
muhbatun,محبتون
digriyan,ڊگرين
munhadim,منهدم
nomber,نومبر
karbari,ڪارباري
peeando,پيئندو
nolkha,نولکا
batoor,بطور
thahin,ٺاهڻ
burfi,برفي
hikhmat,حکمت
replecation,رپليڪيشن
bejarpur,بيجارپور
hazaroon,ھزارون
youriko,يوريڪو
easvee,عيسوي
damagh,دماغ
penancit,پينانسٽ
martabe,مرتبي
mamoeen,ماموئين
verani,ويراني
silat,سلٽ
noran,نورن
naqood,نقود
bhawe,ڀاوي
rapoztaz,رپوزتاز
raami,رامي
khushhala,خوشحاليءَ
shadabia,شادابيءَ
lahor,لاهور
barahanapora,برهانپور
awarad,ايوارڊ
galhaendi,ڳالهائيندي
thames,ٿيمز
sorya,سوريا
wajh,وجه
majzoob,مجذوب
mahel,مهل
alqasim,القاسم
bayad,بياد
pewastah,پيوسته
amez,آميز
aldarzi,الدرزي
misihah,مسيحا
bachwanqalabi,بچوانقلابي
khewra,کيوڙا
nigahun,نگاهن
thareliyoon,ٿريليون
yerewan,يريوان
guzareen,گذارين
hakri,هيڪڙي
swaa,سواءِ
ooncho,اونچو
apveed,اپويد
burayooni,برايوني
tarpata,ترپتا
puhtaa,پھتا
simpal,سمپل
manaf,مناف
thoohar,ٿوھر
mangol,منگول
jageeri,جاگيري
centra,سينٽرا
endless,اندلس
galhaendasoon,ڳالهائينداسون
bindi,ٻنڊي
jamaan,ڄمان
bej,بيج
ratokot,رتوڪوٽ
notia,نوتيءَ
sarno,سرڻو
chinian,چينين
renan,رينن
kait,ڪيٽ
washnoomat,وشنومت
hospital,هاسپيٽل
khanhann,کنهڻ
gulb,گلب
ventrikal,وينٽريڪل
garbani,گرباني
iraado,ارادو
instroments,انسٽرومينٽس
chhapko,ڇپڪو
agaheen,اڳهين
griftaria,گرفتاريءَ
aazarbaejanan,آذربائيجانن
karamoyal,ڪرامويل
latoon,لاٽون
maharashtri,مھاراشٽري
rooad,روڊ
memals,ميملز
gandhak,گنڌڪ
paryani,پرياڻي
sukhawatoon,سخاوتون
sahilan,ساحلن
ughan,اگهڻ
dadri,دادري
leedar,ليڊر
samjhiyoon,سمجھيون
dhatkari,ڌاتڪاري
fashghali,فشغلي
faso,فاسو
pokhjan,پوکجن
selector,سليڪٽر
technologist,ٽيڪنالاجسٽ
dekhariyaeen,ڏيکاريائين
jadlee,جدلي
marksz,مارڪسز
wafaey,وفائي
gallery,گئلري
old,اولڊ
rawari,راوڙي
zamedaariyan,ذميدارين
spiin,اسپن
bewar,بيور
fresko,فريسڪو
suji,سڃي
specialist,اسپيشلسٽ
badlaam,بدلام
manjhh,منجھه
gordwari,گوردواري
kusee,ڪُسي
sanbhalji,سنڀالجي
bufan,بفن
dukhayal,ڏکايل
qaraqaram,قراقرم
thelha,ٿيلها
ujhaeen,اجهائين
thelicemia,ٿيليسيميا
ghadran,غدارن
sajji,سجي
narshans,نرشنس
kamishner,ڪمشنر
sikhlani,سکلاڻي
ojagho,اوجاڳو
mododi,مودودي
mudaakhilat,مداخلت
yesoo,يَسُو
gharro,گهرڙو
shahrahan,شاهراهن
hekli,هيڪلي
aabadgar,آبادگار
rehaishgahan,رهائشگاهن
oontari,اونٽاري
tiswaran,تصورن
philpain,فلپائن
yoojeen,يوجين
dilpatrae,دلپتراءِ
khudain,خدائن
saahwala,ساهوالا
rehat,رهت
sagiyai,ساڳيائي
chhohara,ڇوهارا
shaheeng,شاھينگ
wakoryal,وڪوڙيل
wejhiyoon,ويجهيون
mujhand,مجھند
uhjaeon,اهڃائون
ubhas,اڀاس
namyare,نامياري
qayaadat,قيادت
galhyoon,ڳالهيون
zamanatoon,ضمانتون
ubho,اڀو
raatri,راتڙي
phetha,ڦيٿا
duniyaja,دنياجا
maarvia,مارويءَ
lanwaendi,لنوائيندي
paedawar,پئداوار
jechee,جيچي
jhanglan,جھنگلن
alzikar,الذڪر
formal,فارمل
gogani,گوگاڻي
halaen,ھلائڻ
embulance,ايمبولنس
khatia,کٽيءَ
darayat,درايت
tobro,ٽوبرو
moridan,موڙڻ
sekharun,سيکارڻ
ghataenda,گهٽائيندا
phulo,ڦلو
qadamah,قدامه
chawaraain,چورائڻ
deewaangeea,ديوانگيءَ
tanzeel,تنزيل
joaint,جوائنٽ
nebhayo,نڀايو
masqat,مسقط
niralaeea,نرالائيءَ
gayalan,گيالن
julbani,جلباڻي
salik,سالڪ
samjhootan,سمجهوتن
shish,شش
pasaey,پسائي
aemaldar,اعملدار
khawelid,خويلد
elahia,الاهيءَ
sanjah,سانجهه
dastia,دستيءَ
satia,ستيا
koking,ڪوڪنگ
aentee,ائنٽي
prodin,پروڙڻ
sohag,سهاڳ
khethriyen,کيٿرين
almafroodah,المفروده
likhnneen,لکڻين
sasti,سستي
nohaniyen,نوحاڻين
aandan,آنڊن
bachaenda,بچائيندا
irtaqad,ارتقاد
khanyaoon,کنيائون
delasing,ڊيلاسنگ
qamam,قمم
dahoko,ڏهوڪو
lekhiya,ليکيا
waperyo,واپريو
burdi,بڙدي
sindrata,سندرتا
koreji,ڪوريجي
samosan,سموسن
rakeeb,رڪيب
bewarokret,بيوروڪريٽ
aleji,اليجي
natir,ناتر
janaeji,ڄاڻائجي
damnah,دمنه
nastaeea,نستائيءَ
baahim,باهم
mahoori,محوري
qeenchia,قينچيءَ
syasatdanin,سياستدانن
dailhi,دھلي
galahriyoon,ڳالهڙيون
sanwnia,سانوڻيءَ
duaiyah,دعائيه
karporetion,ڪارپوريشن
saoongi,سائونگي
parof,پروف
mathanheen,مٿانھين
garhiyal,ڳڙهيل
laynen,لينن
instol,انسٽال
damkashia,دمڪشيءَ
weendeen,ويندين
hamayelah,همايله
bashkiyoon,بشڪيون
mublighan,مبلغن
landering,لانڊرنگ
argar,ارگر
dramai,ڊرامائي
dhhatko,ڍاٽڪو
bahimat,باهمت
hamerko,هميرڪو
monteskiyo,مانٽيسڪيو
sanwar,سانور
banoa,بانوءَ
sagharo,سگھارو
banadeer,بنادير
halaebo,هلائبو
kaneer,ڪنير
haazryan,حاضرين
murabatiyen,مرابطين
mamo,مامو
hatheli,هٿيلي
hick,ھڪ
pacharoon,پچارون
farsooda,فرسوده
motandad,موٽندڙ
kyare,ڪياڙي
moriyani,مورياڻي
harmukhia,حرمکيءَ
monoriya,مونوريا
thariyan,ٿرين
mozu,موضوع
termeem,ترميم
sadiyal,سڏيل
ujhaendar,اجهائيندڙ
otaq,اوطاق
karlael,ڪارلائل
dopiyazo,دوپيازو
aspataal,اسپتال
fazul,فضول
leho,لهو
payee,پيئي
nipar,نپر
afgani,افغاني
leady,ليڊي
transparasy,ٽرانسپيرنسي
talkheen,تلخين
sekhariyaoon,سيکاريائون
guzariondr,گذاريندڙ
aaloodgia,آلودگيءَ
mehboobain,محبوبائن
paende,پائيندي
bandak,بندڪ
naqaad,نقاد
meslet,مصلحت
maragah,مراغه
aggwanap,اڳواڻپ
andrajyat,اندراجيت
saqafatia,ثقافتيءَ
jalq,جلق
sonpe,سونپي
mafruzan,مفروضن
borjuwa,بورجوا
puhchaendi,پھچائيندي
comissionar,ڪمشنر
hussy,هاسي
dadhoon,ڏاڙهونءَ
halandaseen,هلنداسين
aars,آرس
pablisher,پبلشرز
poptia,پوپٽيءَ
annwanndar,اڻوڻندڙ
chariyo,چاريو
gondogoro,گونڊوگورو
taebeer,تعبير
perein,پيرين
kawetaen,ڪويتائن
gurohbandi,گروهبندي
wachaende,وڃائيندي
tamotwa,تموتوا
rawaaniyoon,روانيون
shikat,شڪت
kholaenda,کولائيندا
sawao,سواءُ
tukan,تڪن
champaka,چمپڪا
ozanderi,اوزنديري
osh,اوش
rawawi,رواوي
daasa,داسا
suratkhati,صورتخطي
bhawnani,ڀاوناڻي
janeende,ڄڻيندي
bhaaji,ڀاڄي
baqiyatan,باقياتن
bakhsayal,بخصايل
tegnrog,ٽيگنروگ
eeran,ايران
saaryo,ساريو
arooq,عروق
sublamation,سبلميشن
pakwazoon,پڪوازون
serani,سيراڻي
zagoorat,زگورت
seepare,سيپاري
nenda,ننڊ
rakhyaen,رکيائين
capsters,ڪيپسٽرس
endaee,ايندئي
poligram,پوليگرام
dakhdan,ڏاکڙن
tazyano,تازيانو
daryoon,دريون
khidmatguzar,خدمتگذار
sazi,سازيءَ
awalein,اولین
hasabdan,حسابدان
hea,هيءَ
habshaan,حبشان
saghandyun,سگھنديون
pokhbi,پوکبي
oondhahh,اونڌاهه
leear,ليئر
ozbik,اوزبڪ
jhirmat,جهرمٽ
sangsar,سنگسار
ralae,رلائي
banjaman,بنجامن
poen,پوئڻ
wandayo,ونڊايو
fanparan,فنپارن
patorendar,پتوڙيندڙ
tarae,تَرَ
piyaso,پياسو
alzamar,الزمر
junneje,جوڻيجي
ahama,اھم
hasran,حسرن
messier,ميسيئر
dhamoee,ڌموئي
liyoon,ليون
aneesa,انيسا
zawalnoriyen,ذوالنورين
maqsoodi,مقصودي
bhoora,ڀورا
ghumiyal,گھميل
bareekiyen,باريڪين
karampur,ڪرمپور
almubarik,المبارڪ
bharko,ڀرڪو
umanendo,اماڻيندو
bhadke,ڀڙڪي
janmee,جنمي
mokleendas,موڪليندس
oonchaee,اونچائي
qalmakar,قلمڪار
busrah,بصره
protkol,پروٽڪول
metia,ميتيءَ
sometics,ساميٽڪس
maachhi,ماڇي
jinsiyat,جنسيات
tasbi,تسبي
albatan,الباطن
lagapedaran,لاڳاپيدارن
veret,ويريٽ
kholyaen,کوليائين
badmuashi,بدمعاشي
somarion,سومريون
anendaseen,آڻينداسين
porap,پورپ
alismaniah,العثمانيه
keeya,ڪيا
nashaee,نشئي
landascape,لينڊاسڪيپ
takho,تکو
wanjheal,وانجھيل
mehanday,مهانڊي
otriyoon,اوتريون
brhamann,برهمڻ
chonaran,چونرن
tapandi,ٽپندي
bedrok,بيڊروڪ
wajaendo,وڄائيندو
jonalo,جونالو
ahilkaran,اهلڪارن
khilia,کليءَ
gandean,ڳنڍين
ukroon,اُڪرون
mushabahati,مشابهتي
ghann,گهڻ
madaran,مدارن
qaseeda,قصيده
sabhoi,سڀوئي
papria,پپريءَ
sekard,سيڪرڊ
girvia,گرويءَ
establishment,اسٽيبلشمينٽ
pujande,پڄندي
alneeriyen,النيرين
matloobah,مطلوبه
jadad,جدد
replable,ريپليبل
gando,گندو
chodsi,چوڏسي
gianchand,گيانچند
bhulan,ڀلڻ
ralmal,رلمل
northambriya,نارٿمبريا
nebhaag,نڀاڳ
tosi,توسي
soomalayah,صوماليه
aiqaid,عقائد
aajiz,عاجز
primier,پريميئر
mumeen,ممين
garbhoti,گرڀوتي
girned,گرنيڊ
jatho,جٿو
maalkam,مالڪم
lageta,لاڳيتا
sandah,سنده
tubee,ٽٻي
shamish,شمش
noorbano,نوربانو
eriyal,ايريل
puchham,پڇم
inqarah,انقره
nawazleg,نوازليگ
epscopals,ايپسڪوپلس
paut,پاٽ
bedwel,بيڊويل
dongting,ڊانگٽنگ
khazaanchee,خزانچي
habsheen,حبشين
manufacturer,مينيوفيڪچرر
muarkan,معرڪن
jaghh,جڳهه
aabadiyoon,آباديون
chandokiyion,چانڊوڪيون
sucha,سڃا
goray,ڳوري
birhamaniyoon,برهمڻيون
hamansheen,همنشين
hmm,ھم
lomamba,لوممبا
badmashan,بدمعاشن
khanikoof,خانيڪوف
lanhwaro,لنهوارو
khanchi,کانچي
dhunun,ڌنون
idarki,ادارڪي
banbo,بڻبو
alkop,الڪوپ
dhakiyal,ڍڪيل
maarendo,ماريندو
asharo,اشارو
leehh,ليهه
biani,بياني
jorgi,جورگي
darulkhalafo,دارالخلافو
khorzam,خورزم
intizamya,انتظاميہ
akhiyo,اکيو
pathraeti,پٿرائتي
premica,پريميڪا
burzagan,برزگن
donty,ڊانٽي
wertar,ورتر
portuguzi,پورچوگيزي
mubadili,مبادلي
chitkamra,چٽڪمرا
lanuoon,لنئون
chekamas,چيڪامس
otar,اوتار
talqaqat,تعلقات
phhuria,ڦريءَ
tilaak,تلڪ
pahenan,پاهڻن
bordex,بورڊيڪس
malboos,ملبوس
harnamdas,هرنامداس
champanir,چمپانير
almarkh,المرخ
lekhbiya,ليکبيا
belonia,بيلونيا
sabghat,سبغت
zimedaria,ذميداريءَ
jereear,جيريئر
khananu,کڻڻ
glumps,گلمپس
chodeheen,چوڏھين
autolia,آٽوليا
rehimdad,رحيمداد
meeranpur,ميرانپور
rakhaya,رکايا
ujnani,اجناڻي
ranjeeda,رنجيده
aetraz,اعتراض
gait,گيٽ
wajno,وڃڻو
whinjarji,وهنجارجي
wajheraei,ويجهڙائيءَ
uhjaan,اھڃاڻ
dadia,داديءَ
jarood,جارود
dhukaar,ڌڪار
nigaran,نگارن
gushat,گشت
coloni,ڪالوني
nashaistagi,ناشائستگي
bhojpori,ڀوجپوري
toriyo,توريو
yaqeeni,يقيني
saletoon,سليٽون
ramkarshan,رامڪرشن
watnda,وتندا
laeea,لائيءَ
generalism,جنرلزم
impersism,امپرسزم
madaahan,مداحن
karigaran,ڪاريگرن
kapare,ڪپڙي
zakher,ذخير
alsesi,السيسي
arsense,آرسنس
elaqai,علائقائي
siyarcha,سيارچا
saanhay,سانحي
nipayo,نپايو
halaebi,هلائبي
rakhayaens,رکايائينس
tanqedi,تنقيدي
duristagi,درستگي
nastba,نستبا
tajweziyal,تجويزيل
gharjaio,گهرجائو
kalpoon,ڪلپون
harfiyoon,حرفيون
akhyoun,اکيون
wadandar,وڏندڙ
choondjando,چونڊجندو
bustard,بسٽرڊ
physiological,فزيولوجيڪل
altabeeayat,الطبيعيات
tadresi,تدريسي
dewaran,ديوارن
rawayat,روايات
alshaab,الشاب
ahyoon,آهيون
lpi,لپي
dhiyan,ڌيان
yake,يڪي
shereskar,شيريسڪار
saajah,ساڃهه
pror,پروڙ
pekej,پيڪيج
puthate,پُٺتي
samjhooti,سمجهوتي
maardoee,ماردوئي
sodan,سودن
mashkoon,مشڪون
constantine,ڪانسٽنٽائن
waqfan,وقفن
nohario,نهڙيو
jsdi,جدي
jholia,جھوليءَ
sumay,سمي
orato,اوراتو
mehria,مهريءَ
daau,داءُ
hashmeen,هاشمين
jogo,جوڳو
reejan,ريجن
malakire,ملاکڙي
patwa,پٽوا
imarti,عمارتي
sarhi,ساڙهيءَ
ubter,اُبتڙ
raar,راڙ
balmalek,بالمليڪ
machiyo,مچيو
dastkareen,دستڪارين
buzankho,بزنخو
karbaeen,ڪاربائين
paghrji,پگهرجي
renking,رينڪنگ
fonician,فونيشين
ratiyun,راتيون
anveldity,انويلڊٽي
merkana,ميڙاڪن
chhijan,ڇڄڻ
naqadi,نقادي
badhrayal,ٻڌرايل
sarjemis,سرجيمس
shonaq,شونق
waloli,ولولي
birahima,براھما
annvanndarra,اڻوڻندڙ
sarparst,سرپرست
khameenia,خمينيءَ
kiryat,ڪريات
integrity,انٽيگرٽي
charhando,چڙهندو
mutlao,مطلعو
sapoon,سپون
pahreedaran,پهريدارن
cinemaen,سئنيمائن
lhazi,لحظي
tangun,ٽنگن
laejo,لئجو
tayharo,ٽيهارو
wasandya,وسنديءَ
ozoon,اوزون
azaalo,ازالو
juteen,جُتين
milmiliyoon,ململيون
wijh,وجھ
gadejani,گڏجاڻي
hanafi,حنفي
farhat,فرحت
hotar,هوتر
zakiria,ذاڪريءَ
saabiq,سابق
panhjan,پنھنجن
sabiban,سببن
rahmi,رحمي
adayegi,ادائگي
chorangia,چورنگيءَ
bhitaan,ڀٽان
potiyoon,پوتيون
soland,سولينڊ
roomii,روميءَ
topla,ٽوپلا
amooni,اموني
saeedon,سيدن
kherpooria,خيرپوريءَ
khulwat,خلوت
mehado,مهادو
fakerano,فقيراڻو
silsilah,سلسله
tatan,ٽٽن
keenaki,ڪينڪي
kasheed,ڪشيد
lunaon,لنئون
freseen,فريسين
keuban,ڪيوبن
mubahisah,مباحثه
silavar,سلور
albadar,البدر
ewazeen,عيوضين
maraat,مرات
dilaasan,دلاسن
dostam,دوستم
franklin,فرينڪلن
dildal,دلدل
sliding,سلائيڊنگ
baqrania,باقراڻيءَ
dabiyoon,دٻيون
moklani,موڪلاڻي
sabzalkot,سبزلڪوٽ
baqlatah,بقلته
tezyah,تيزيه
insbrok,انسبروڪ
mudaafiat,مدافعت
tamarkaz,تمرڪز
bazak,بازڪ
nihar,نهر
guhari,گيريءَ
laanchan,لانچن
aljumait,الجماعت
korolenko,ڪورولينڪو
angotho,انگوٺو
darbaar,دربار
chongo,چونگو
jaifal,جائفل
deenho,ڏينهو
khareedi,خريدي
aasre,آسري
koken,ڪوڪين
piyareendo,پياريندو
olaan,اولان
burbadiea,برباديءَ
lakeen,لڪين
mubasir,مبصر
hamchoras,ھمچورس
fareeduldin,فريدالدين
kanuree,ڪنري
changia,چڱيءَ
kalmatyan,ڪلمتين
rangal,رنگل
milanda,ملندا
fakeri,فقيري
tarfeen,طرفين
qawalia,قواليءَ
jablatan,جبلتن
grenol,گرينول
daqanoosiyat,دقانوسيت
alraza,الرضا
majidah,ماجده
gaejan,ڳائجن
rajat,رجعت
sehatmandi,صحتمندي
pres,پريس
loyo,لويو
yousfi,يوسفي
rewati,ريوتي
wagheri,وغيري
baqauedie,باقائدي
gawaliaria,گوالياريءَ
chachnamo,چچنامو
keenhan,ڪينهن
altargheb,الترغيب
ectorates,ايڪٽوريٽس
cooker,ڪڪر
arri,آڙي
wasosan,وسوسن
korotan,ڪوروٽن
anglishtan,انگلشتان
kharidari,خريداريءَ
amerjing,امرجنگ
surakh,سوراخ
kachlayo,ڪچليو
mulhh,مُلهه
memnan,ميمڻن
werchhiyo,ورڇيو
dadariyo,داداريو
ratni,رتني
wadh,وڍ
tahdeed,تحديد
senghariyal,سينگهاريل
jakhraannee,جکراڻي
majmoi,مجموعي
sharfa,شرفا
plasmodium,پلازموڊيم
rachandania,رچنداڻيءَ
wedi,ويدي
halkar,هلڪر
malzom,ملزوم
makao,مڪائو
kutabkhanah,ڪتبخانه
qabron,قبرون
pathriyen,پٿرين
hisah,حصه
dasmool,دسمول
tornaments,ٽورنامينٽس
farsoodgi,فرسودگي
sarari,سراڙي
shumarah,شماره
dawasazi,دواسازي
faseeloon,فصيلون
baqaedah,باقاعده
khadni,کڏڻي
phhudan,ڦڙن
rostof,روسٽوف
sazaun,سزائن
gawadari,گوادري
veerish,ويرش
widhal,وڌل
mobilisation,موبلائزيشن
transensitrya,ٽرانسنسٽريا
ratool,رتول
lehrayo,لهرايو
timy,ٽمي
baghaie,باغائي
jola,جولا
mathaeen,مٿئين
sahabia,صحابيءَ
taarget,ٽارگيٽ
parliamentry,پارليامينٽري
meryo,ميريو
misjadon,مسجدون
murtabah,مرتبه
wiskia,وسڪيءَ
munari,مناري
trignamentary,ٽرگنامينٽري
emalkar,ايملڪار
nikryo,نڪريو
tarora,ترورا
puhchan,پهچڻ
sachaiea,سچائيءَ
rakhian,رکين
qauido,قاعدو
qanootiyat,قنوطيت
olpamik,اولپمڪ
chaheenda,چاهيندا
neharwan,نهروان
wayomandel,وايومنڊل
tanqiyo,تنقيو
infectionan,انفيڪشنن
faunt,فونٽ
sotan,سوتن
maliati,مالياتي
pardakhat,پرداخت
khawan,کاوان
tasurat,تاثرات
kohatrash,ڪوهتراش
bhambhar,ڀمڀر
muazima,معظمه
statics,اسٽيٽڪس
jalandi,جلندي
proctor,پروڪٽر
aandiyen,آندين
karkhanan,ڪارخانن
usdood,اسدود
aaroohee,آروهي
rethiyal,رٿيل
tabahy,تباھي
tabqat,طبقات
khekhri,کيکڙي
dozen,ڊزن
sudhia,سڌيءَ
dhamakayo,ڌمڪايو
kachhona,ڪڇونءَ
wisre,وسري
ahdan,عهدن
lohah,لوهه
washwamatar,وشوامتر
ojal,اوجل
chamaat,چماٽ
semafoor,سيمافور
atkalan,اٽڪلن
deenaran,دينارن
tahwel,تحويل
nahaj,نهج
ghaznaween,غزنوين
goleebari,گوليباري
napolean,نپولين
baasun,باسون
yaka,يڪا
zartishtan,زرتشتن
mazarkhan,مزارخان
maareshis,ماريشس
analeda,اناليڊا
nawazeenda,نوازيندا
parhh,پڙھ
functionwary,فنڪشنواري
wariya,وريا
uchhilai,اڇلائي
shughli,شغلي
koshashon,ڪوششون
zolaji,زولاجي
algafar,الغفار
wajhandaran,وجهندڙن
ghatjandar,گھٽجندڙ
kahakshaion,ڪهڪشائون
dakhniyen,ڏاکڻين
kastro,ڪاسٽرو
gog,گوگ
tilliporni,ٽليپورني
ishtihar,اشتهار
qabiliya,قبيله
orenj,اورينج
grogranth,گروگرنٿ
kaench,ڪائنچ
wazefo,وظيفو
sendiked,سينڊيڪيٽ
eiso,عيسو
duca,ڊيوڪا
disbo,ڏسبو
doctari,ڊاڪٽريءَ
chachnamah,چچنامه
aggwaani,اڳواڻي
mustani,مستاني
asso,اسو
tarfun,طرفن
mehandi,مهندي
lasaniati,لسانياتي
wirhasat,ورھاست
gulel,گليل
panchat,پنچات
kolrado,ڪولراڊو
qawaniyen,قوانين
lodeendi,لوڏيندي
coupe,ڪوپ
afzaaish,افزائش
cusics,ڪيوزڪس
ihra,اهڙا
shaqaqil,شقاقل
khebar,خيبر
harmoonk,هارمونڪ
abulmasakeen,ابوالمساڪين
chhadaaey,ڇڏائي
jugnath,جگناٿ
umlioon,عمليون
beran,ٻيرن
mustafi,مستعفي
aazmoodo,آزمودو
barhanpuria,برهانپوريءَ
konpliyoon,ڪونپليون
almosli,الموصلي
jaawal,ڄاول
jokovi,جوڪووي
khojnekan,کوجنيڪن
jamandas,ڄمندس
aazmaendo,آزمائيندو
kangran,ڪنگرن
sanaeya,سنائيءَ
daryah,درياهه
kosejan,ڪوسيجن
tangniyen,ٽنگڻين
narohi,ناروهي
afghanan,افغانن
nikola,نڪولا
bukre,ٻڪري
arpa,ارپا
satang,ستانگ
saagaa,ساڳا
kardar,ڪاردار
ubhami,اُڀامي
jalayal,جلايل
homyopethia,هوميوپيٿيءَ
ikhtisas,اختصاص
ispatal,اسپتال
dable,ڊبل
gano,گانو
matiari,مٽياري
anban,انبن
farqi,فرقي
pago,پڳو
inqelaabi,انقلابي
khasee,خاصي
wiktoriya,وڪٽوريا
wadaeea,وڏائيءَ
paltji,پلٽجي
mazdikeen,مزدڪين
thahndi,ٺهندي
kokeen,ڪوڪين
fatahmand,فتحمند
natjarbekari,ناتجربيڪاري
pakhtunkhawa,پختونخوا
nihari,نهاري
agrikalcharal,اگريڪلچرل
suchaenda,سڃاڻيندا
tazyoun,تازيون
ministry,منسٽري
nikrandar,نڪرندڙ
paasi,پاسي
progaraman,پروگرامن
tahqeeqat,تحقيقات
nishaniyen,نشانين
thadyoun,ٿڌيون
uniprose,يونيپروس
jeeyan,جيئان
zaroraton,ضرورتون
fashaen,فشائن
rajistani,راجستاني
mahagori,مهاگوري
umrooban,عمروبن
leemi,ليمي
kacheheryoon,ڪچهريون
sahayi,سهائي
pahenjo,پهنجو
qarbanion,قربانيون
haewaan,حيوان
scrip,اسڪرپ
vahandar,وهندڙ
joriyal,جوڙيل
jschi,جاچي
nimtha,نمٿا
kawarantiyen,ڪوارنٽين
budhayaoon,ٻڌايائون
nibaha,نباهه
pirode,پروڙي
kansaez,ڪنسائيز
bharko,ڀڙڪو
sazan,سازن
finds,فنڊز
trafic,ٽرئفڪ
chaheendi,چاهيندي
