vrithiyaakkiyathinu,വൃത്തിയാക്കിയത്തിനു
uthsavasamghaadaka,ഉത്സവസംഘാടക
kwaadukalumaayi,ക്വാഡുകളുമായി
kaimaariyirunnennum,കൈമാറിയിരുന്നെന്നും
prameyampole,പ്രമേയംപോലെ
pazhayathukalumayi,പഴയതുകളുമായി
labhyaamaakkanamenn,ലഭ്യാമാക്കണമെന്ന്
madhuppatti,മധുപ്പട്ടി
raiyeyaan,റൈയെയാണ്
sthreepinthuna,സ്ത്രീപിന്തുണ
theerunnathanusarichu,തീരുന്നതനുസരിച്ച്
arbind,അർബിന്ദ്
ninnuyaramulla,നിന്നുയരമുള്ള
aanundaakunnath,ആണുണ്ടാകുന്നത്
mekhalakoodi,മേഖലകൂടി
kiniye,കിണിയെ
kathiyaalikkunna,കത്തിയാളിക്കുന്ന
aashupathrimukkil,ആശുപത്രിമുക്കില്
padanapaadanam,പഠനപാഠനം
kazhakathinu,കഴകത്തിനു
prabhuvineyumkondu,പ്രഭുവിനെയുംകൊണ്ടു
benadikshanode,ബെനഡിക്ഷനോടെ
puzhakalilethumennum,പുഴകളിലെത്തുമെന്നും
koonyoo,കോണിയോ
orattavum,ഒരറ്റവും
mulappaalilekku,മുലപ്പാലിലേക്ക്
anugrahaashissukalaal,അനുഗ്രഹാശിസ്സുകളാല്
anthimavaakkaayi,അന്തിമവാക്കായി
vishwamaayum,വിശ്വമായും
vishwasaahithyavumaayi,വിശ്വസാഹിത്യവുമായി
viranda,വിരണ്ട
sangeethanaadakavedikal,സംഗീതനാടകവേദികൾ
vimalakumariyamma,വിമലകുമാരിയമ്മ
puthiyathinum,പുതിയതിനും
graamarund,ഗ്രാമറുണ്ട്
pourathvathekuricho,പൌരത്വത്തെകുറിച്ചോ
jeevarashikaleyum,ജീവരാശികളെയും
avakashiyennum,അവകാശിയെന്നും
thakshakaneyaanu,തക്ഷകനെയാണ്
pidiyilaakunnund,പിടിയിലാകുന്നുണ്ട്
thayyaaraavana,തയ്യാറാവണ
illiparambilum,ഇല്ലിപറമ്പിലും
aambaraayi,ആമ്പറായി
yoniyiloodeyum,യോനിയിലൂടെയും
aanennaayippoyi,ആണെന്നായിപ്പോയി
kanneerumaayethiyavare,കണ്ണീരുമായെത്തിയവരെ
anukoolatharamgamaanu,അനുകൂലതരംഗമാണ്
samrabhakathvasheshi,സംരഭകത്വശേഷി
karuthanaakkiyathu,കരുത്തനാക്കിയത്
kappithaanakalaakan,കപ്പിത്താനകളാകാൻ
jers,ജെർസ്
edukkunnathumilla,എടുക്കുന്നതുമില്ല
kaaryaamaanenn,കാര്യാമാണെന്ന്
cheppidi,ചെപ്പിടി
nainaant,നൈനാന്റ്
ennathokkayaanallo,എന്നതൊക്കയാണല്ലോ
ramgathuvaraathe,രംഗത്തുവരാതെ
idippikkum,ഇടിപ്പിക്കും
palahaaramaayo,പലഹാരമായോ
santhoshavathiyaakkum,സന്തോഷവതിയാക്കും
swargaaropanathe,സ്വർഗാരോപണത്തെ
jayilvaasamanuvabhichu,ജയിൽവാസമനുവഭിച്ചു
nizami,നിസാമി
karuthendoru,കരുതേണ്ടൊരു
manjukattathannaalum,മഞ്ഞുകട്ടതന്നാലും
munnaamathe,മുന്നാമത്തെ
paarana,പാറണ
maarithannaal,മാറിത്തന്നാൽ
munniletharuthu,മുന്നിലെത്തരുത്
varumaanatheyum,വരുമാനത്തെയും
roopamkondirikkanam,രൂപംകൊണ്ടിരിക്കണം
thaapanilayodulla,താപനിലയോടുള്ള
njangalkkennu,ഞങ്ങൾക്കെന്ന്
vakupporukkiya,വകുപ്പൊരുക്കിയ
bhaagyajodiyumaayi,ഭാഗ്യജോഡിയുമായി
ringile,റിങ്ങിലെ
atharhikkum,അതർഹിക്കും
mathavishwaasikalaayavar,മതവിശ്വാസികളായവര്
ashwamedhayaathraykku,അശ്വമേധയാത്രയ്ക്ക്
kettidamaayi,കെട്ടിടമായി
irakkanamaayirunnu,ഇറക്കണമായിരുന്നു
oraazhachaykkakam,ഒരാഴചയ്ക്കകം
chandrikayulla,ചന്ദ്രികയുള്ള
thampikkudi,തമ്പിക്കുടി
kaaraadiyude,കാരാടിയുടെ
premaanandante,പ്രേമാനന്ദന്റെ
jeevanekaanupakarikkum,ജീവനേകാനുപകരിക്കും
paaraanam,പാരാണം
itharajeevikalilekku,ഇതരജീവികളിലേക്ക്
kompani,കൊമ്പനി
kamantukalezhuthunnathum,കമന്റുകളെഴുതുന്നതും
nirjeevamennu,നിർജീവമെന്നു
thelichukaattunnathu,തെളിച്ചുകാട്ടുന്നത്
upayogikkunilla,ഉപയോഗിക്കുനില്ല
voluntering,വളണ്ടറിംഗ്
vannupoyittum,വന്നുപോയിട്ടും
nilapaadaadedutthu,നിലപാടാടെടുത്ത്
aattuthittaykku,ആറ്റുതിട്ടയ്ക്ക്
cheruthaakkiyathumaayi,ചെറുതാക്കിയതുമായി
svasvaroopa,സ്വസ്വരൂപ
sarvvamekhalayilum,സർവ്വമേഖലയിലും
punarnikshepa,പുനർനിക്ഷേപ
masanth,മസന്ത്
vairaagyamokke,വൈരാഗ്യമൊക്കെ
kaanichukodukkaam,കാണിച്ചുകൊടുക്കാം
soundukale,സൌണ്ടുകളെ
nanmakkaineettam,നന്മക്കൈനീട്ടം
utharavirakkiyathu,ഉത്തറവിറക്കിയത്
bidur,ബിദുർ
thundubhoomikalaanu,തുണ്ടുഭൂമികളാണ്
intalijansaanennu,ഇന്റലിജൻസാണെന്നു
phalabhooyishtamaakki,ഫലഭൂയിഷ്ഠമാക്കി
nattutheerkkaaru,നട്ടുതീർക്കാറ്
aagrahichille,ആഗ്രഹിച്ചില്ലേ
mekhalayaanennathum,മേഖലയാണെന്നതും
irakkaanaavoo,ഇറക്കാനാവൂ
pareekshakalaayirikkum,പരീക്ഷകളായിരിക്കും
swapnaravi,സ്വപ്നരവി
mudangiyennaavum,മുടങ്ങിയെന്നാവും
urukkalilumaayi,ഉരുക്കളിലുമായി
kaippusthakathilaanu,കൈപ്പുസ്തകത്തിലാണ്
panameedaakkiya,പണമീടാക്കിയ
eshtappettathre,ഇഷ്ടപ്പെട്ടത്രെ
raashtreeyavalkarana,രാഷ്ട്രീയവൽകരണ
kadiykku,കടിയ്ക്ക്
sirassinullil,ശിരസ്സിനുള്ളിൽ
lokasanchaarikalude,ലോകസഞ്ചാരികളുടെ
therenjeduppile,തെരെഞ്ഞെടുപ്പിലെ
flanell,ഫ്ലാനെൽ
nettottamodi,നെട്ടോട്ടമോടി
saannidhyamaavaam,സാന്നിധ്യമാവാം
cheraamenkil,ചേരാമെങ്കിൽ
prashnangalullatho,പ്രശ്നങ്ങളുള്ളതോ
udamasthaan,ഉടമസ്ഥാൻ
sayumethi,സയുമെത്തി
fandukittunna,ഫണ്ടുകിട്ടുന്ന
paniyeduppichathaayum,പണിയെടുപ്പിച്ചതായും
pazhayasthaanathu,പഴയസ്ഥാനത്ത്
vaadhipathyamo,വാധിപത്യമോ
duroohathakalundennu,ദുരൂഹതകളുണ്ടെന്നു
athuninnu,അതുനിന്നു
mechamundallo,മെച്ചമുണ്ടല്ലോ
kaattumrigangade,കാട്ടുമൃഗങ്ങടെ
madhuraswaminathan,മധുരസ്വാമിനാഥന്
vaidyarezhuthiya,വൈദ്യരെഴുതിയ
mathaparamkoodiyaanu,മതപരംകൂടിയാണ്
sthalichu,സ്ഥലിച്ചു
athulyasevanam,അതുല്യസേവനം
ethirengil,എതിരെങ്കിൽ
kodathiyaakkiyathu,കോടതിയാക്കിയത്
erangippoyathu,ഇറങ്ങിപ്പോയത്
idaakkunna,ഇടാക്കുന്ന
orungunnundathre,ഒരുങ്ങുന്നുണ്ടത്രേ
edapadelukale,ഇടപടെലുകളെ
avakaashavaadangalaanu,അവകാശവാദങ്ങളാണ്
thanthrikalaavaanum,തന്ത്രികളാവാനും
vibhraanthiyudeyum,വിഭ്രാന്തിയുടെയും
ennaalikkadhakalonnum,എന്നാലിക്കഥകളൊന്നും
krithyanirvahanavumaayi,കൃത്യനിർവഹണവുമായി
vimarshikkunnatho,വിമർശിക്കുന്നതോ
erattiyolavum,ഇരട്ടിയോളവും
aparaadhathe,അപരാധത്തെ
gurukaaranavar,ഗുരുകാരണവർ
naddayodu,നദ്ദയോട്
nagaramaya,നഗരമായ
vanangaludeyum,വനങ്ങളുടേയും
shradhikkaatheyumaayi,ശ്രദ്ധിക്കാതെയുമായി
naseeraano,നസീറാണോ
kessukalilaanu,കേസ്സുകളിലാണ്
alakkaatha,അലക്കാത്ത
sweekarikkaathavaraaya,സ്വീകരിക്കാത്തവരായ
mentukaludeyo,മെന്റുകളുടേയോ
akramakesil,അക്രമകേസിൽ
kiliyochakalum,കിളിയൊച്ചകളും
pankangal,പങ്കങ്ങൾ
kannapurathuninnum,കണ്ണപുരത്തുനിന്നും
kooduthalenthu,കൂടുതലെന്തു
shreevidyaykku,ശ്രീവിദ്യയ്ക്ക്
ratioyilum,റേഷ്യോയിലും
exclusivaayi,എക്സ്ക്ലൂസീവായി
dalitharaayittullavar,ദളിതരായിട്ടുള്ളവര്
uchabhakshanathinushesham,ഉച്ചഭക്ഷണത്തിനുശേഷം
svaramuyarunnu,സ്വരമുയരുന്നു
samudre,സമുദ്രേ
ekkavithaykku,ഇക്കവിതയ്ക്ക്
vilangittathode,വിലങ്ങിട്ടതോടെ
karishyami,കരിഷ്യാമി
sannaahangalodeyaanu,സന്നാഹങ്ങളോടെയാണ്
shamikkaanaakum,ക്ഷമിക്കാനാകും
samudramadhyavarambu,സമുദ്രമധ്യവരമ്പ്
thodaayaalum,തോടായാലും
mannuthaayo,മണ്ണുതായോ
nottingham,നോട്ടിങ്ങാം
karuthiyittundaakumo,കരുതിയിട്ടുണ്ടാകുമോ
kulappulliyilekku,കുളപ്പുള്ളിയിലേക്ക്
mullathu,മുള്ളത്ത്
kadanjagnijeevanil,കടഞ്ഞഗ്നിജീവനിൽ
vayathinile,വയതിനിലെ
nambarukalallaathe,നമ്പറുകളല്ലാതെ
chapaki,ചപകി
kaarakkaamattam,കാരക്കാമറ്റം
gilekkethunnathu,ഗിലേക്കെത്തുന്നത്
chattakkoodaaya,ചട്ടക്കൂടായ
orukkaanethunna,ഒരുക്കാനെത്തുന്ന
pallukalillaathe,പല്ലുകളില്ലാതെ
bengaluruvil,ബംഗ്ലുരുവിൽ
prathyekaanveshanam,പ്രത്യേകാന്വേഷണം
anichettanodu,അനിച്ചേട്ടനോട്
doctorinode,ഡോക്ടറിനോടും
mangiyittundenna,മങ്ങിയിട്ടുണ്ടെന്ന
naattilillennaanu,നാട്ടിലില്ലെന്നാണ്
badariyaykku,ബദരിയയ്ക്ക്
pinneyevideyo,പിന്നെയെവിടെയോ
kannupaayikkuka,കണ്ണുപായിക്കുക
kariyudeyum,കരിയുടെയും
manashakthikku,മനശക്തിക്കു
rakshappettirikkam,രക്ഷപ്പെട്ടിരിക്കാം
zimmermann,സിമ്മർമാൻ
poleesinaayirunnilla,പൊലീസിനായിരുന്നില്ല
puratthaakillennu,പുറത്താകില്ലെന്ന്
onnaradashakam,ഒന്നരദശകം
nalkiyittillennathu,നൽകിയിട്ടില്ലെന്നതു
mukharitha,മുഖരിത
vilavukoythu,വിളവുകൊയ്ത്
puramthirinjuninnaal,പുറംതിരിഞ്ഞുനിന്നാൽ
vedasamhithakaleyaanu,വേദസംഹിതകളെയാണ്
kerafedinteyum,കേരഫെഡിന്റെയും
nadannathupoloru,നടന്നതുപോലൊരു
verenthuvaraanaanu,വേറെന്തുവരാനാണ്
kusainu,കുസൈന്
cheythappolekkum,ചെയ്തപ്പോളേക്കും
akathulalavarum,അകത്തുളളവരും
thappinokkam,തപ്പിനോക്കാം
aadyamaayaalla,ആദ്യമായാല്ല
maappuchodichennum,മാപ്പുചോദിച്ചെന്നും
idathaavalamaakkaanum,ഇടത്താവളമാക്കാനും
thaaramaadambikale,താരമാടമ്പികളെ
duranthamaakkaan,ദുരന്തമാക്കാൻ
krishikkonnum,കൃഷിക്കൊന്നും
nekleysinte,നെക്ലെയ്സിന്റെ
pathivundathre,പതിവുണ്ടത്രേ
aarumaasakkaarante,ആറുമാസക്കാരന്റെ
achaammayaayi,അച്ചാമ്മയായി
khameesile,ഖമീസിലെ
maranathinumvare,മരണത്തിനുംവരെ
bassilninnu,ബസ്സിൽനിന്നു
swapnakku,സ്വപ്നക്ക്
kothiyappol,കൊത്തിയപ്പോൾ
sarkkaarukaludethennu,സർക്കാരുകളുടേതെന്നു
kalpanayaakunnu,കല്പനയാകുന്നു
grahathiloode,ഗ്രഹത്തിലൂടെ
carduca,കാർഡുക
brahmaputhrayiloode,ബ്രഹ്മപുത്രയിലൂടെ
kalikkoottuka,കളിക്കൂട്ടുക
soochippichathodoppam,സൂചിപ്പിച്ചതോടൊപ്പം
kendramaayilla,കേന്ദ്രമായില്ല
vijayamakkaanum,വിജയമാക്കാനും
yudhacharithrathile,യുദ്ധചരിത്രത്തിലെ
bhaavagaayikaykk,ഭാവഗായികയ്ക്ക്
aaradhanayogam,ആരാധനയോഗം
aarthipidichulla,ആർത്തിപിടിച്ചുള്ള
perukaarkk,പേരുകാർക്ക്
tikkattinupolum,ടിക്കറ്റിനുപോലും
pakshabhedamillaattha,പക്ഷഭേദമില്ലാത്ത
sameepichittu,സമീപിച്ചിട്ട്
kayyalunnavaranu,കയ്യാളുന്നവരാണ്
souhrudasambhaashanangalum,സൌഹൃദസംഭാഷണങ്ങളും
biyayumaan,ബിയയുമാണ്
avareyaareyum,അവരെയാരെയും
nayichuvo,നയിച്ചുവോ
vilaveduppode,വിളവെടുപ്പോടെ
thallithuranna,തള്ളിത്തുറന്ന
ujwalasamaapanam,ഉജ്വലസമാപനം
sisisisi,സിസിസിസി
grahathayalla,ഗ്രഹതയല്ല
cheyyunnathilo,ചെയ്യുന്നതിലോ
purathirakkukayumaanu,പുറത്തിറക്കുകയുമാണ്
degradinginethire,ഡീഗ്രേഡിങ്ങിനെതിരെ
mothavyaapaarikalodu,മൊത്തവ്യാപാരികളോട്
kaazhchakaliloodeyaanu,കാഴ്ചകളിലൂടെയാണ്
nottukshaamamenn,നോട്ടുക്ഷാമമെന്ന്
aaveshathirakaluyarthiya,ആവേശതിരകളുയർത്തിയ
muriyumo,മുറിയുമോ
punyayaathrayude,പുണ്യയാത്രയുടെ
jaloosh,ജലൂഷ്
shamsayum,ശംസയും
thaarasanghadanayodum,താരസംഘടനയോടും
baatteyude,ബാറ്റെയുടെ
pradhaanadhaathukkale,പ്രധാനധാതുക്കളെ
vaallesumaayi,വാല്ലെസുമായി
veluppikkanaavilla,വെളുപ്പിക്കാനാവില്ല
lokotsavam,ലോകോത്സവം
nattatha,നട്ടത
thaazheyengil,താഴെയെങ്കിൽ
onnanvoshikku,ഒന്നന്വോഷിക്ക്
oomnibas,ഓമ്നിബസ്
minhans,മിൻഹാൻസ്
pattichuvennaanu,പറ്റിച്ചുവെന്നാണ്
naalumanikkoorukondu,നാലുമണിക്കൂറുകൊണ്ട്
oppiyedukkunnoru,ഒപ്പിയെടുക്കുന്നൊരു
njettalundaayathu,ഞെട്ടലുണ്ടായത്
theettikkaruthennu,തീറ്റിക്കരുതെന്ന്
bineeshinu,ബിനീഷിനു
mainaril,മൈനാറിൽ
vinathasuthanaaya,വിനതാസുതനായ
karanjuparayum,കരഞ്ഞുപറയും
trempintethennu,ട്രംപിന്റേതെന്ന്
theerayaathra,തീരയാത്ര
naseebayaanu,നസീബയാണ്
theepidutthathe,തീപിടുത്തതെ
shariyaakkeettondu,ശരിയാക്കീട്ടൊണ്ട്
gadanaamaattathe,ഘടനാമാറ്റത്തെ
ariyip,അറിയിപ്
aashayalokath,ആശയലോകത്ത്
nilathirakkanamenna,നിലത്തിറക്കണമെന്ന
vidheyaraayavarkkaar,വിധേയരായവർക്കാർ
kaanikkukayilla,കാണിക്കുകയില്ല
vismrithayil,വിസ്മൃതയിൽ
vaahananikuthiyudeyum,വാഹനനികുതിയുടെയും
avathaarakanaavunnu,അവതാരകനാവുന്നു
veettilallengil,വീട്ടിലല്ലെങ്കിൽ
pirivusamgham,പിരിവുസംഘം
mukundapuramaanu,മുകുന്ദപുരമാണ്
topilundo,ടോപ്പിലുണ്ടോ
ventilettariloode,വെൻറിലേറ്ററിലൂടെ
jaathimarathinu,ജാതിമരത്തിന്
faaktaraanu,ഫാക്ടറാണ്
arikathuvaaru,അരികത്തുവാര്
pheesadaykkaavunnathaanu,ഫീസടയ്ക്കാവുന്നതാണ്
hridayathilettu,ഹൃദയത്തിലേറ്റ്
struitman,സ്ട്രൂട്മാൻ
illaathadaivam,ഇല്ലാത്തദൈവം
paadamaayi,പാദമായി
pranayikkumbol,പ്രണയിക്കുമ്പോള്
manthripadathiletthi,മന്ത്രിപദത്തിലെത്തി
bhakshyavakuppilum,ഭക്ഷ്യവകുപ്പിലും
sibb,സിബ്ബ്
kethuvim,കെതുവിം
theeraanidayaakkum,തീരാനിടയാക്കും
parikkelppichenna,പരിക്കേൽപ്പിച്ചെന്ന
adhikamaakaathirikkaanu,അധികമാകാതിരിക്കാന്
cheyyunnathinupurame,ചെയ്യുന്നതിനുപുറമെ
elavucheythathaayi,ഇളവുചെയ്തതായി
jaivasambannamaanu,ജൈവസമ്പന്നമാണ്
chaakketthichathu,ചാക്കെത്തിച്ചത്
keralavishan,കേരളവിഷൻ
saadhaaranakkaarulppede,സാധാരണക്കാരുൾപ്പെടെ
ninnathille,നിന്നതില്ലേ
vyakthibandhamulla,വ്യക്തിബന്ധമുള്ള
vyakthikkethireyo,വ്യക്തിക്കെതിരെയോ
jayakeralathil,ജയകേരളത്തിൽ
sathyamkandillennu,സത്യംകണ്ടില്ലെന്ന്
kittanamenne,കിട്ടണമെന്നേ
sandarshikkaanaakilla,സന്ദർശിക്കാനാകില്ല
muncheef,മുൻചീഫ്
muttakaleppatti,മുട്ടകളെപ്പറ്റി
aathmarathiyadayumbol,ആത്മരതിയടയുമ്പോൾ
jonakacherukkante,ജോനകച്ചെറുക്കന്റെ
trupinu,ട്രൂപ്പിന്
thadasamaayathennu,തടസമായതെന്ന്
janikkanirikke,ജനിക്കാനിരിക്കെ
munnaninethruthvathe,മുന്നണിനേതൃത്വത്തെ
unarvilla,ഉണർവില്ല
baikkukaarante,ബൈക്കുകാരൻറെ
neeyithedukkanam,നീയിതെടുക്കണം
shathrusamanan,ശത്രുസമാനന്
thayyaaraavumenkil,തയ്യാറാവുമെങ്കില്
almarsookhiyude,അൽമർസൂഖിയുടെ
felitza,ഫെലിത്സ
thedippokanamennu,തേടിപ്പോകണമെന്ന്
eedakku,ഈടക്ക്
samshudhamo,സംശുദ്ധമോ
kuzhivilayile,കുഴിവിളയിലെ
baazhasalonayude,ബാഴസലോണയുടെ
kkendathundoyennu,ക്കേണ്ടതുണ്ടോയെന്ന്
sthithiyilekkaakum,സ്ഥിതിയിലേക്കാകും
sheshiyundennumaanu,ശേഷിയുണ്ടെന്നുമാണ്
crewill,ക്രൂവിൽ
prakashamaanatha,പ്രകാശമാനത
pranayachandrakaantham,പ്രണയചന്ദ്രകാന്തം
nnukondeyirunnu,ന്നുകൊണ്ടെയിരുന്നു
chaattukalileykkum,ചാറ്റുകളിലേയ്ക്കും
deepayaayi,ദീപയായി
purogathiyundaayathine,പുരോഗതിയുണ്ടായതിനെ
ashradhayilundaaya,അശ്രദ്ധയിലുണ്ടായ
samghadanaasvaathanthrya,സംഘടനാസ്വാതന്ത്ര്യ
sathyavathiyenna,സത്യവതിയെന്ന
ammachiyumkoodi,അമ്മച്ചിയുംകൂടി
granaittaanu,ഗ്രനൈറ്റാണ്
vaakkaayennu,വാക്കായെന്നു
vichaaraviplavathiloode,വിചാരവിപ്ലവത്തിലൂടെ
maharudran,മഹാരുദ്രൻ
prakrithiksha,പ്രകൃതിക്ഷ
edayilellaam,ഇടയിലെല്ലാം
thattikkayarith,തട്ടിക്കയറിത്
prapanchanaadhanil,പ്രപഞ്ചനാഥനിൽ
asmari,അസ്മാരി
jeevashakthiyude,ജീവശക്തിയുടെ
savaahiriyude,സവാഹിരിയുടെ
mulakkuppiyude,മുലക്കുപ്പിയുടെ
varnyam,വർണ്യം
baadhakamaakkappedunna,ബാധകമാക്കപ്പെടുന്ന
thaamasichavaraakanam,താമസിച്ചവരാകണം
aadhiyilekkethichu,ആധിയിലേക്കെത്തിച്ചു
imbichimoyiyaanu,ഇമ്പിച്ചിമോയിയാണ്
nashtamundaavunnunu,നഷ്ടമുണ്ടാവുന്നുണ്
samshleshikkaanulla,സംശ്ളേഷിക്കാനുള്ള
pithrtharppanavum,പിതൃതർപ്പണവും
kapadamalla,കപടമല്ല
saaypraneet,സായ്പ്രണീത്
saved,സേവ്ഡ്
haathimiloode,ഹാതിമിലൂടെ
uthbudharaakki,ഉത്ബുദ്ധരാക്കി
perumaariyavante,പെരുമാറിയവന്റെ
aroonnoorolam,അറൂന്നൂറോളം
aswasthathakalumokke,അസ്വസ്ഥതകളുമൊക്കെ
padikkaatheyo,പഠിക്കാതെയോ
kkaanetthiyavare,ക്കാനെത്തിയവരെ
rashteeyalokam,രാഷ്ടീയലോകം
podiyidalumaanennum,പൊടിയിടലുമാണെന്നും
samkramippichaalu,സംക്രമിപ്പിച്ചാല്
khaadimaayi,ഖാദിമായി
cheyyillaayirunno,ചെയ്യില്ലായിരുന്നോ
samarppichittunda,സമർപ്പിച്ചിട്ടുണ്ട
thezhuthunilkkukayum,തെഴുത്തുനിൽക്കുകയും
shathakodeeswaranumaanu,ശതകോടീശ്വരനുമാണ്
aachaarathinte,ആചാരത്തിന്റെ
tvyudeyo,ടിവിയുടെയോ
rakshappettennath,രക്ഷപ്പെട്ടെന്നത്
maladaivangalum,മലദൈവങ്ങളും
jiazuddin,ജിയാസുദ്ദീന്
thelinjathaanennu,തെളിഞ്ഞതാണെന്ന്
offeesaakatte,ഓഫീസാകട്ടെ
paramasaathvikanaayi,പരമസാത്വികനായി
pesahaykku,പെസഹയ്ക്കു
paaremaathaavineppole,പാറേമാതാവിനെപ്പോലെ
pedaatheyaayirunnu,പെടാതെയായിരുന്നു
maathrusamghaamgangalude,മാതൃസംഘാംഗങ്ങളുടെ
manchalpur,മഞ്ചൽപുർ
shoonyamaya,ശൂന്യമായ
sydriverude,സിഡ്രൈവറുടെ
vinodamaakunnu,വിനോദമാകുന്നു
mattumupayogichaanu,മറ്റുമുപയോഗിച്ചാണ്
chettakalum,ചെറ്റകളും
chakkaykkullil,ചക്കയ്ക്കുള്ളിൽ
naipuratti,നെയ്പുരട്ടി
bengaluruvumaanu,ബംഗളുരുവുമാണ്
chendakal,ചെണ്ടകൾ
securityaayathu,സെക്യൂരിറ്റിയായത്
rahoja,റഹോജ
lesso,ലെസ്സോ
muthukalulla,മുത്തുകളുള്ള
prakyekatha,പ്രക്യേകത
kondidichum,കൊണ്ടിടിച്ചും
muhoorthatthilum,മുഹൂർത്തത്തിലും
kuranjashampalamaayi,കുറഞ്ഞശമ്പളമായി
shobhanamallenna,ശോഭനമല്ലെന്ന
phenotype,ഫീനോടൈപ്പ്
karayilaanengil,കരയിലാണെങ്കിൽ
siminu,സിമിനു
pothinjuninna,പൊതിഞ്ഞുനിന്ന
pranayikkoo,പ്രണയിക്കൂ
achattaavumennu,അച്ചട്ടാവുമെന്നു
veettupanakkam,വീട്ടുപണക്കം
chuttimuruki,ചുറ്റിമുറുകി
kikkstaartt,കിക്ക്സ്റ്റാർട്ട്
thangalishtappedunna,തങ്ങളിഷ്ടപ്പെടുന്ന
velliyazhchayaavatte,വെള്ളിയാഴ്ചയാവട്ടെ
arikeyude,അരികെയുടെ
vayukaariyaan,വയുകാരിയാണ്
pinneetoraksharam,പിന്നീടൊരക്ഷരം
oororutharudayum,ഓരോരുത്തരുടയും
pongaalayittathode,പൊങ്കാലയിട്ടതോടെ
mardhanatheppatti,മർദ്ദനത്തെപ്പറ്റി
soshyalmediyude,സോഷ്യൽമീഡിയുടെ
roopappeduthaanaavum,രൂപപ്പെടുത്താനാവും
kshethrangalila,ക്ഷേത്രങ്ങളിലാ
nikuthiyilidakkam,നികുതിയിലിടക്കം
apahaasyamennu,അപഹാസ്യമെന്നു
uyarchayennaal,ഉയർച്ചയെന്നാൽ
peduthunnathaayi,പെടുത്തുന്നതായി
kannuchuttichu,കണ്ണുചുറ്റിച്ചു
veliyilethikkunna,വെളിയിലെത്തിക്കുന്ന
samghathilaayirunnu,സംഘത്തിലായിരുന്നു
utharenthyakkaaro,ഉത്തരേന്ത്യക്കാരോ
vaidyuthivaangi,വൈദ്യുതിവാങ്ങി
sabhaasekrattariyumaayi,സഭാസെക്രട്ടറിയുമായി
bhajju,ഭജ്ജു
kshemathinumaayum,ക്ഷേമത്തിനുമായും
pilarnnupoyi,പിളർന്നുപോയി
ithellengil,ഇതെല്ലെങ്കിൽ
kizhakkubhaagathaayaanu,കിഴക്കുഭാഗത്തായാണ്
sidcock,സിഡ്കോക്ക്
rogakaariyum,രോഗകാരിയും
malsarikkunnathalla,മത്സരിക്കുന്നതല്ല
kumish,കുമിഷ്
vidyaakaimaattam,വിദ്യാകൈമാറ്റം
cherkkaruthenna,ചേർക്കരുതെന്ന
pikkukalkk,പിക്കുകൾക്ക്
yogyathaykkaavashyamaaya,യോഗ്യതയ്ക്കാവശ്യമായ
chithrangalaayirunna,ചിത്രങ്ങളായിരുന്ന
arunakshanu,അരുണാക്ഷന്
urappilaanennu,ഉറപ്പിലാണെന്ന്
pizhavukalkkapuram,പിഴവുകൾക്കപ്പുറം
paniyullath,പനിയുള്ളത്
punasamghadayil,പുനഃസംഘടയിൽ
puranjaanile,പുറഞ്ഞാണിലെ
athbhuthangaleyellaam,അത്ഭുതങ്ങളെയെല്ലാം
tharaarundennu,തരാറുണ്ടെന്നു
bekkaaminethire,ബെക്കാമിനെതിരെ
bikkinikalumaninju,ബിക്കിനികളുമണിഞ്ഞ്
mahavirus,മഹാവൈറസ്
valiyachoodum,വലിയചൂടും
paranjathennonnum,പറഞ്ഞതെന്നൊന്നും
riyaayirunnu,റിയായിരുന്നു
lambtante,ലാംബ്ടന്റെ
paramathmavi,പരമാത്മാവി
vanyathakale,വന്യതകളെ
trapurayile,ത്രപുരയിലെ
yukeyilaadyamaayi,യുകെയിലാദ്യമായി
azhimukhathuninnu,അഴിമുഖത്തുനിന്നു
bhranthaavesham,ഭ്രാന്താവേശം
sreeraaminullathaayi,ശ്രീറാമിനുള്ളതായി
daarakalilaayaanu,ധാരകളിലായാണ്
offeesilekkilla,ഓഫീസിലേക്കില്ല
previewkalaayi,പ്രിവ്യൂകളായി
vidaghasamghavumaayi,വിദഗ്ധസംഘവുമായി
rudraakshamanikal,രുദ്രാക്ഷമണികൾ
swaanthanavumaayi,സ്വാന്തനവുമായി
oppuvaykkaruthennu,ഒപ്പുവയ്ക്കരുതെന്നു
ariyikkukuyum,അറിയിക്കുകുയും
saakshyatheyum,സാക്ഷ്യത്തെയും
aadhikaarika,ആധികാരിക
rachinu,രച്ചിന്
packer,പാക്കർ
visarjyamaaya,വിസർജ്യമായ
kodukile,കൊടുകിലെ
melpaalathilundaaya,മേല്പാലത്തിലുണ്ടായ
jyeshtasahodarane,ജ്യേഷ്ഠസഹോദരനെ
kurishinaduthu,കുരിശിനടുത്ത്
ullavaraayirikku,ഉള്ളവരായിരിക്കു
nilaanikkethire,നിലാനിക്കെതിരെ
faroe,ഫറോ
samghattanangalundaayathu,സംഘട്ടനങ്ങളുണ്ടായത്
poothulanjamarangalum,പൂത്തുലഞ്ഞമരങ്ങളും
alswabaahinte,അൽസ്വബാഹിന്റെ
ninnalalavaraan,നിന്നളളവരാണ്
chernnathile,ചേർന്നതിലെ
vivaramenkilum,വിവരമെങ്കിലും
