mwnlwnga,मोनलोङा
nwitikebkwobw,नैथिखेबखौबो
saotu,सावथु
bjpni,बिजेपिनि
jataifwrni,जाथायफोरनि
wngtiyanw,ओंथियानो
raoninw,रावनिनो
bekeojanaiabw,बेखेवजानायाबो
factoriao,फेक्टरियाव
beremwdwi,बेरेमोदै
laimwnkwobw,लाइमोनखौबो
simpjiyam,सिम्पजियाम
nujatidwngmwn,नुजाथिदोंमोन
raikom,रायकम
maoakwi,मावाखै
dapudwngmwn,दाफुदोंमोन
lorin,लरिन
jatikwo,जाथिखौ
dispuranw,दिसपुरानो
fangiri,फानगिरि
khungtai,खुंथाइ
flsni,एफएलएसनि
beje,बेजे
pwsabkangnaini,फोसाबखांनायनि
swlwngtwonai,सोलोंथौनाय
raoyanw,रावयानो
gongtam,गंथाम
judayaripra,जुदायारिफ्रा
rajtaonipwrni,राजथावनिफोरनि
bajiao,बाजिआव
bijirsonggiri,बिजिरसंगिरि
rajywanw,राज्योयानो
engnternational,इंन्टारनेशनेल
bwkarbai,बोखारबाय
beraminw,बेरामिनो
lakigwnni,लाखिगोननि
sasti,सास्ति
baoswmnaini,बावसोमनायनि
baidila,बाइदिला
sufungnaiao,सुफुंनायाव
lainw,लायनो
gwglwinaimwn,गोग्लैनायमोन
kulaywinw,खुलायैनो
brekdown,ब्रेकदाउन
jujinanwi,जुजिनानै
counslo,काउनस्ल
nangwlni,नांगोलनि
maopwipindw,मावफैफिनदो
bharatao,भारताव
hwbtanangwo,होबथानांगौ
swrdingwra,सोरदिंगोरा
masbad,मासबाद
jamugurini,जामुगुरिनि
sipaidwngmwnblabw,सिफाइदोंमोनब्लाबो
umiyam,उमियाम
sonmilniah,सनमिलनिआ
pendel,पेन्डेल
girifwra,गिरिफोरा
gahaipwrni,गाहायफोरनि
barswmna,बारसोमना
akuni,आखुनि
fwrangra,फोरांग्रा
awnswlnifrai,ओन्सोलनिफ्राय
lainainiprai,लाइनायनिफ्राय
bifanjwng,बिफानजों
beywdi,बेयोदि
hantiyaripwra,हान्थियारिफोरा
najanaipwra,नाजानायफोरा
simulusapuri,सिमुलुसापुरि
fwsaobwdwng,फोसावबोदों
bhartaripwrni,भारतारिफोरनि
raini,रायनि
baijwywi,बायजोयै
sudung,सुदुं
bortakur,बरताकुर
jwosang,जौसां
ganwi,गानै
vobesh,भबेश
trejary,ट्रेजारि
kandhamaljwng,कन्धमालजों
kworanggirini,खौरांगिरिनि
komblabw,खमब्लाबो
musur,मुसुर
sulemanjwng,सुलेमानजों
latao,लाथाव
bwkhangdhwng,बोखांदों
gangpa,गांफा
bris,ब्रिस
muakwo,मुवाखौ
dibla,दिब्ला
bodis,बदिस
bangsaonaini,बांसावनायनि
dwla,दोला
dorongni,दरंनि
territorial,टेरिटरियेल
kalambai,खालामबाय
sinaijlainai,सिनायज्लायनाय
laywiao,लायैयाव
congrejni,कंग्रेजनि
karw,खारो
hwgrwnangwn,होग्रोनांगोन
nesnes,नेसनेस
nujatihwidwng,नुजाथिहैदों
undubai,उन्दुबाय
swrkwoba,सोरखौबा
hapwrkhou,हाफोरखौ
tanghwnangasinw,थांहोनांगासिनो
sigangbwnailai,सिगांबोनायलाय
tangnangnaya,थांनांनाया
moirabari,मयराबारि
maogiri,मावगिरि
kworanglai,खौरांलाइ
jajwbgwn,जाजोबगोन
garlainaini,गारलायनायनि
habjanai,हाबजानाय
maobwnai,मावबोनाय
udis,उदिस
tungebai,थुंगेबाय
langwnayal,लांगोनायाल
baskar,बास्कर
siddika,सिद्दिका
bikhani,बिखानि
bibangirikwo,बिबानगिरिखौ
tilising,थिलिसिं
labwdwngmwnnw,लाबोदोंमोननो
cigaret,सिगारेट
senaya,सेनाया
japungsarlangdwngmwn,जाफुंसारलांदोंमोन
dihuna,दिहुना
surnanwi,सुरनानै
aogaibwdwng,आवगायबोदों
kintana,खिन्थाना
ninw,निनो
chorto,चर्त
rwngwti,रोंगोथि
ditakando,दिताकान्ड
jabrobtaipwra,जाब्रबथायफोरा
stationniprai,स्टेसननिफ्राय
boragadhwi,बरागाधै
butarlaibai,बुथारलायबाय
jhakaya,झाकाया
khanikor,खानिकर
parilaiaoseptember,फारिलाइयावसेप्टेम्बर
swmjini,सोमजिनि
siduld,सिदुल्द
habhwibai,हाबहैबाय
somsim,समसिम
filefwra,फाइलफोरा
laikangnangwo,लाइखांनांगौ
dadara,दादारा
kwmadwngbla,खोमादोंब्ला
kalarkali,खालारखालि
swlifugasinw,सोलिफुगासिनो
jontor,जन्तर
bijatianw,बिजाथिआनो
lokrani,लख्रानि
mojamil,मजामिल
songkripwrkwo,संक्रिफोरखौ
nwjwrbwgiripwrkwo,नोजोरबोगिरिफोरखौ
sikwnni,सिखोननि
timni,टिमनि
skimkwo,स्किमखौ
songw,सङो
mododni,मददनि
tejpurni,तेजपुरनि
gyanendra,ग्यानेन्ड्र
nangtao,नांथाव
gejeraobw,गेजेरावबो
mansifranw,मानसिफ्रानो
bayanai,बायानाय
sansumwini,सानसुमैनि
kolamdwng,खलामदों
harani,हारानि
silgaguri,सिलगागुरि
cylinderkwo,सिलिन्डारखौ
edinbraho,एदिनब्राह
shangmaya,सांमाया
gaisong,गायसं
vutiachango,भुटियाचांग
japinnw,जाफिन्नो
samlaitini,सामलायथिनि
gwnkwari,गोनखोआरि
nepalipwrni,नेफालिफोरनि
simapwrni,सिमाफोरनि
dintisaliao,दिन्थिसालियाव
cargonw,कार्गनो
finalkwo,फाइनेलखौ
cricketkwobw,क्रिकेटखौबो
dansrangdwng,दानस्रांदों
carpetni,कार्पेटनि
novemberkwo,नबेम्बरखौ
masikwo,मासिखौ
falongi,फालंगि
mwkangting,मोखांथिं
jobrani,जब्रानि
jayaswi,जायासै
baonanggwokai,बावनांगौखाय
grohosa,ग्रहसा
mesikwo,मेसिखौ
sulungao,सुलुंङाव
tue,तुइ
tisongiria,थिसनगिरिआ
karbrenanwi,खारब्रेनानै
horhori,हरहरि
dongsinwmwn,दंसिनोमोन
lagainai,लागायनाय
aogailangbai,आवगायलांबाय
gohwjabai,गहोजाबाय
commandni,कामान्डनि
kalek,खालेक
jataifwr,जाथायफोर
gunpwra,गुनफोरा
bangsinwi,बांसिनै
tribalni,ट्राइबेलनि
karkwmanaikwo,खारखोमानायखौ
swdangnwbw,सोदांनोबो
kabukw,खाबुखो
danthi,दान्थि
maopariao,मावफारिआव
bengiripwrni,बेंगिरिफोरनि
dwidenlangw,दैदेनलांङो
absent,एबसेन्ट
jwogahwnangwoni,जौगाहोनांगौनि
farajah,फाराजआ
jakartasim,जाखार्तासिम
fungaonw,फुंआवनो
ukhummao,उखुममाव
firangi,फिरांगि
sungnaijwng,सुंनायजों
dwntumnw,दोनथुमनो
kongiria,खनगिरिया
bengalornipra,बेंगालरनिफ्रा
aogainai,आवगायनाय
aduwaasw,आदुवाआसो
hayamwn,हायामोन
langkwmanai,लांखोमानाय
ainafwrkwo,आइनाफोरखौ
bwiswpwrni,बैसोफोरनि
fahamnw,फाहामनो
tasariao,थासारिआव
gubung,गुबुं
tractorpwrjwng,ट्रेक्टरफोरजों
tarlaywi,थारलायै
jogan,जगान
laiphang,लाइफां
swmjrwjrw,सोमज्रोज्रो
boruani,बरुवानि
takwmadwngmwntai,थाखोमादोंमोनथाय
shankardeo,शंकरदेव
fap,फाप
guwahatiyao,गुवाहाटीयाव
baonangw,बावनानै
townao,टाउनआव
netherlandnifrai,नेडारलेण्डनिफ्राय
mongolbar,मंगलबार
agsiparse,आगसिफारसे
hadwrgirifwrni,हादोरगिरिफोरनि
bungkadwng,बुंखादों
haywlabw,हायोलाबो
sagu,सागु
sungbu,सुंबु
bahaijana,बाहायजाना
mwngiripwrkhou,मोनगिरिफोरखौ
dimasapwrni,दिमासाफोरनि
ontaifwrni,अन्थायफोरनि
gwnangtipwrkwo,गोनांथिफोरखौ
sansumwifranw,सानसुमैफ्रानो
gwgelwinanwi,गोगेलैनानै
mairongkwo,माइरंखौ
guwahatiaonw,गुवाहाटीआवनो
janasni,जानासनि
swmausarnaiya,सोमावसारनाया
dhundiraj,धुन्दिराज
bijen,बिजेन
oraitarwi,अरायथारै
mwnsekwo,मोनसेखौ
maokulini,मावखुलिनि
jabwnw,जाबोनो
hajorikanw,हाजरिकानो
raijwao,राज्योयाव
fwtaialaba,फोथायालाबा
kwnaywblanw,खोनायोब्लानो
gwbakrobnanwi,गोबाख्रबनानै
onsungtai,अनसुंथाइ
maosarnainiprai,मावसारनायनिफ्राय
risu,रिसु
siribangwi,सिरिबाङै
dhwhwrmkwo,धोहोरमखौ
gwhwao,गोहोआव
policeniprai,पुलिसनिफ्राय
raijanai,रायजानाय
opareting,अपारेथिं
policepwrabw,पुलिसफोराबो
damao,डेमाव
naidingna,नायदिंना
saoraijelayw,सावरायजेलायो
pujani,फुजानि
jibkrifwrao,जिबख्रिफोराव
sobhayaobw,सभायावबो
habayao,हाबायाव
mensing,मेनसिं
parlarao,पार्लाराव
gaoglunghorw,गावग्लुंहरो
songkri,संक्रि
mwkangjwng,मोखांजों
mwnnainiprainw,मोन्नायनिफ्रायनो
rujunpanw,रुजुनफानो
orpona,अर्पना
narswm,नारसोम
rajayabw,राजायाबो
cristomas,क्रिस्टमास
kolita,कलिथा
abhaoa,आबहावा
hataipwrkwo,हाथायफोरखौ
nwngtangnw,नोंथांनो
bwkangbai,बोखांबाय
sapakh,सापाख
maitaniprai,मायथानिफ्राय
niyaijwng,नियाइजों
babular,बाबुलार
borpulni,बरपुलनि
rajbongsipwrnw,राजबंसिफोरनो
dwidengiripwrabw,दैदेनगिरिफोरआबो
ditayao,दिथायाव
uddinkwo,उद्दिनखौ
udang,उदां
melemjibijwng,मेलेमजिबिजों
nerswn,नेर्सोन
kufungjanw,खुफुंजानो
reportao,रिपर्टआव
mitisarhwyw,मिथिसारहोयो
wnswlaofwrao,ओनसोलावफोराव
phiul,फिउल
bemarini,बेमारिनि
afadgiriyao,आफादगिरियाव
jwokwndwanw,जौखोन्दोआनो
nokonni,नखननि
khungdrikangdwng,खुंद्रिखांदों
karitipwrni,खारिथिफोरनि
gwlangosin,गोलांवसिन
dahwnw,दाहोनो
dehapahamsalia,देहाफाहामसालिआ
hapinna,हाफिन्ना
bwnangwoni,बोनांगौनि
fwgwmnw,फोगोमनो
fuginangnaini,फुगिनांनायनि
pitai,फिथाइ
lafwidwngmwn,लाफैदोंमोन
senanwi,सेनानै
gaisongnanwi,गाइसंनानै
agwi,आगै
baiglidwngmwn,बायग्लिदोंमोन
naijirnaikwo,नायजिरनायखौ
maokoa,मावखआ
chartkwo,चार्टखौ
narsinnaikwo,नारसिन्नायखौ
gwdwglabdwngmwn,गोदोग्लाबदोंमोन
gogwn,गगोन
garabla,गाराब्ला
hwjw,होजो
tungiywi,थुंगियै
pholwar,फलवार
khutu,खुथु
mithingaya,मिथिंगाया
miliyo,मिलिय
draptokwo,द्राप्तखौ
janaiswi,जानायसै
assomia,असमीया
gotaipinnw,गथायफिन्नो
kamanipwra,खामानिफोरा
poraisulipwrnw,फरायसुलिफोरनो
gajrimwnnai,गाज्रिमोन्नाय
jilapwrni,जिलाफोरनि
hwgwnkwo,होगोनखौ
badaidwngmwn,बादायदोंमोन
japindwngmwn,जाफिनदोंमोन
hwnangwomwnblabw,होनांगौमोनब्लाबो
mimorandom,मिमरेन्डम
dwnnainiprai,दोन्नायनिफाय
salaigrajwng,सालायग्राजों
songnaya,संनाया
swbaonanwi,सोबावनानै
habsonw,हाबसन्नो
hadorfwrkwo,हादरफोरखौ
bibannifrai,बिबाननिफ्राय
fabnifrai,फाबनिफ्राइ
chiment,चिमेन्ट
wngkainw,ओंखायनो
badiywisw,बादियैसो
lwbbagwnang,लोबबागोनां
falitai,फालिथाइ
fwrbwyaobw,फोर्बोयावबो
fehertaiao,फेहेरथायआव
rockstarni,राकस्टारनि
jotainangwn,जथायनांगोन
jwtwngiripwrni,जोथोनगिरिफोरनि
korsajwng,खर्साजों
nomayaonw,नमायावनो
sanjwng,सानजों
khalamaibw,खालामैबो
gebru,गेब्रु
ayepwrni,आयेफोरनि
sorbopolli,सर्बपल्ली
beao,बेआव
brindabono,ब्रिन्डाबन
nabinogor,नाबिनगर
kamanifwrkwo,खामानिफोरखौ
jafunghwnw,जाफुंहोनो
binaikwo,बिनायखौ
khantiao,खान्थिआव
publickni,पाब्लिकनि
mansifwrnw,मानसिफोरनो
nagarlangnaikwo,नागारलांनायखौ
falangiya,फालांगिया
fwsaonailai,फोसावनायलाय
beltainanwi,बेल्थायनानै
kwnasonghwyw,खोनासंहोयो
omela,अमेला
lubwibaodwngdi,लुबैबावदोंदि
sieansniprai,सियेनसनिफ्राय
subidatipwrkwo,सुबिदाथिफोरखौ
releap,रिलिप
dwori,दौरि
jwsua,जोसुआ
kwmanangw,खोमानाङो
rongjanainiprai,रंजानायनिफ्राय
nurch,नार्च
buhuma,बुहुमा
somniprai,समनिफ्राइ
rajbongsipwrkwo,राजबंसिफोरखौ
nujagwn,नुजागोन
soraibil,सरायबिल
tangakwi,थाङाखै
hiren,हिरेन
lakanayao,लाखानायाव
sahila,साहिला
salini,सालिनि
ambulance,एम्बुलेन्स
switwtikwo,सैथोथिखौ
wnswlpwraobw,ओनसोलफोरावबो
jiraidwng,जिरायदों
teowljwng,थेवोलजों
dimakuchi,डिमाकुची
bujilainaini,बुजिलाइनायनि
kalamgwnni,खालामगोननि
dintipungnayao,दिन्थिफुंनायाव
baikw,बायखो
bodel,बडेल
sakhapara,साखाफारा
meghalai,मेघालय
japunghwnai,जाफुंहोनाय
jimmanifrai,जिम्मानिफ्राय
swmaoglunglangdwng,सोमावग्लुंलांदों
bigyangiri,बिगियानगिरि
lupunanwi,लुफुनानै
goalswjennw,गलसोजेनो
doshmi,दशमि
sufungnangwn,सुफुंनांगोन
kulinaikwo,खुलिनायखौ
maogluhwnaijwng,मावग्लुहोनायजों
saorainaya,सावरायनाया
premsing,प्रेमसिं
aprilao,एप्रिलाव
tabata,थाबाथा
kwklwibaodwng,खोख्लैबावदों
kalamakwiguwahati,खालामाखैगुवाहाटी
luhwnw,लुहोनो
raijwniprai,राइज्योनिफ्राय
lanaiswi,लानायसै
townfwr,टाउनफोर
tui,तुइ
udpfniprai,इउडिपिएफनिफ्राय
hamnaibw,हामनायबो
daharkwo,दाहारखौ
dwntumonkuli,दोनथुमनखुलि
haidorabadao,हाइदराबादाव
jonojati,जनजाति
pwn,पोन
bihorhwyw,बिरहोयो
burag,बुराग
jillapwrkwo,जिल्लाफोरखौ
jokomjanai,जखमजानाय
dwitaihorjananwi,दैथायहरजानानै
fwrmananw,फोरमानआनो
swgwmsar,सोगोमसार
baherayaobw,बाहेरायावबो
khworanglai,खौरांलाइ
raoswlaigrapwr,रावसोलायग्राफोर
hwgwnna,होगोनना
arisim,आरिसिम
tagibiyabw,थागिबियाबो
laosir,लाउसिर
risluson,रिसलुसन
khontaika,खन्थायखा
doyaya,दयाया
foraigirikwo,फरायगिरिखौ
obostetrik,अबस्तेत्रिक
dapunghwdwngmwn,दाफुंहोदोंमोन
janangwoki,जानांगौखि
detapwrkwo,देटाफोरखौ
francenifrai,फ्रान्सनिफ्राय
bwswrnwisw,बोसोरनैसो
niyaya,नियाया
sombhabna,समभाबना
nipraisw,निफ्रायसो
katainw,खाथायनो
tisonhwnai,थिसनहोनाय
barayabw,बारायाबो
jakwmanaiao,जाखोमानायाव
kalanw,खालानो
mwnkwmadwngmwn,मोनखोमादोंमोन
prosasonkwo,प्रसासनखौ
funangla,फुनांला
kuwalifier,कुवालिफायार
bergaoni,बेरगावनि
samajfwsaugrafwrni,समाजफोसावग्राफोरनि
mongoldwiao,मंगलदैआव
pwinayao,फैनायाव
bungw,बुङो
bwkarhora,बोखारहरा
gaolainaya,गावलायनाया
subungtai,सुबुंथाइ
mehergwnangywi,मेहेरगोनांयै
urisya,उरिस्या
btckwo,बीटीसीखौ
litarsw,लिथारसो
pirpilaya,फिरफिलाया
kamanipwrni,खामानिफोरनि
salainaijwng,सालायनायजों
mwnilai,मोनिलाय
tamwnta,थामोन्था
fwrmainangwn,फोरमायनांगोन
fwrwngirifwr,फोरोंगिरिफोर
rwoniyaphwra,रौनियाफोरा
swnari,सोनारि
swrkaranw,सोरखारानो
ainsali,आइनसालि
hwnangsigwn,होनांसिगोन
amwlao,आमोलाव
gubungnaini,गुबुंनायनि
saglijhar,साग्लिझार
sannwisw,सान्नैसो
paritipwrkwo,फारिथिफोरखौ
khwnasongakhisai,खोनासङाखिसै
audiance,अडियेन्स
japungwnkwo,जाफुंगोनखौ
saikel,साइखेल
dutangni,दुथांनि
dwnna,दोनना
pahamtaisaliao,फाहामथायसालियाव
pwinangnwi,फैनांनै
balahama,बालाहामा
pwilaikwo,फैलायखौ
laywmwnbla,लायोमोनब्ला
hwnbla,होनब्ला
samanwi,सामानै
gwrwblaina,गोरोबलायना
poraiswyw,फरायसोयो
lakibaiyo,लाखिबायय
hukajwng,हुखाजों
kamanipwrniprai,खामानिफोरनिफ्राय
kantipwrjwngnw,खान्थिफोरजोंनो
mwntamjwng,मोनथामजों
kamanni,खामाननि
jwogakanaika,जौगाखानायखा
maitainiprainw,माइथायनिफ्रायनो
kwnasongdwng,खोनासंदों
bahaya,बाहाया
younisper,इउनिसफर
pahampinnai,फाहामफिन्नाय
storeao,स्टरआव
garifwrabw,गारिफोराबो
bibungirifwrjwng,बिबुंगिरिफोरजों
hukapwrjwng,हुखाफोरजों
falinanwi,फालिनानै
gubu,गुबु
simangkwo,सिमांखौ
nokorniprai,नखरनिफ्राय
bengirimwn,बेंगिरिमोन
asongo,आसंग
fwjwngra,फोजोंग्रा
mwntaikwo,मोनथायखौ
kamanihwnaini,खामानिहोनायनि
besadfwr,बेसादफोर
orgeng,अरगें
torni,तरनी
junarwrkwo,जुनारोरखौ
bilasiparani,बिलासिपारानि
heta,हेथा
mwitong,मैथं
bitangki,बिथांखि
metaya,मेथाया
banjaidwngmwn,बान्जायदोंमोन
chinkwo,चिनखौ
pwjwokangwn,फोजौखांगोन
gaglwbjabai,गाग्लोबजाबाय
tandwiya,थान्दैआ
jwngniaobw,जोंनिआवबो
bitangnao,बिथांनाव
seoranah,सेवरानआ
nisimbw,निसिमबो
labwlai,लाबोलाइ
kuntiyapwra,खुन्थियाफोरा
tamulpur,तामुलपुर
swodaolainayao,सौदावलायनायाव
kalamnaibw,खालामनायबो
aganaonw,आगानावनो
mwidernw,मैदेरनो
sotropwra,सत्रफोरा
hasinakwo,हासिनाखौ
lakinanwi,लाखिनानै
bharatyarifwrnifrai,भारतयारिफोरनिफ्राय
bandapwrniprai,बान्दाफोरनिफ्राय
banggladesni,बांग्लादेसनि
benggirikwobw,बेंगिरिखौबो
langkarnaini,लांखारनायनि
najabwnaikwo,नाजाबोनायखौ
dabidar,दाबिदार
tangnangwobla,थांनांगौब्ला
bijirajaswi,बिजिराजासै
dosesom,दसेसम
robibarniprai,रबिबारनिफ्राय
tanakwo,थानाखौ
jagaijennainiphrai,जागायजेननायनिफ्राय
mwija,मैजा
somanwi,समानै
jwngha,जोंहा
gidingnaijwng,गिदिंनायजों
fangnwi,फांनै
abadarifra,आबादारिफ्रा
gagrajwng,गाग्राजों
plateform,प्लेटफर्म
rosim,रसिम
wngkarbai,ओंखारबाय
gwtarwi,गोथारै
dotayao,दथायाव
bhaoraguri,भावरागुरि
dharani,धारानि
musurnai,मुसुरनाय
steve,स्टिव
tamti,थामथि
maninangdwng,मानिनांदों
gelenayaonw,गेलेनायावनो
gosongnangwo,गसंनांगौ
serbiani,सार्बियानि
swrjina,सोरजिना
swpanai,सोफानाय
kanamukh,खानामुख
dariminkwo,दारिमिनखौ
rahatipwrni,राहाथिफोरनि
mansaogari,मानसावगारि
domisailo,दमिसाइल
srabani,श्राबनी
daharpwrkwo,दाहारफोरखौ
lwgwseyainw,लोगोसेयैनो
menej,मेनेज
swmwndwgwnang,सोमोन्दोगोनां
gaoglunghornai,गावग्लुंहरनाय
tibai,थिबाय
nehatari,नेहातारि
bungpwrnanwi,बुंफोरनानै
calenderniprai,केलेन्डारनिफ्राय
latarnangwo,लाथारनांगौ
homjlaigwn,हमज्लायगोन
sannanwinw,सान्नानैनो
hwbwla,होबोला
gisinanwibw,गिसिनानैबो
mansaogarimwnpa,मानसावगारिमोनफा
jahajaa,जाहाजआ
raokanti,रावखान्थि
maojabgra,मावजाबग्रा
dihunnw,दिहुननो
korajar,कराजार
palong,पालं
bungpinnw,बुंफिननो
tangsigwn,थांसिगोन
boardni,बर्डनि
jabwyw,जाबोयो
saorainaikwobw,सावरायनायखौबो
twinagwokwo,थैनागौखौ
hingsayaripwrni,हिंसायारिफोरनि
nonglia,नंलिया
gwdwi,गोदै
bahirani,बाहिरानि
bijuli,बिजुलि
neosigarnanwi,नेवसिगारनानै
gajridi,गाज्रिदि
productionjwng,प्रडाक्शनजों
laolangnw,लावलांनो
mushalpurjwng,मुसलपुरजों
batulni,बाथुलनि
jagaidwngmwn,जागायदोंमोन
mesinao,मेसिनाव
somori,समरि
gwrwblangw,गोरोबलाङो
bwkabaimwn,बोखाबायमोन
ustat,अस्थाट
mwikham,मैखाम
nainw,नाइनो
beljiyama,बेलजियामा
dugwigra,दुगैग्रा
padmalachan,पद्मलचन
somor,समर
prokaj,प्रकाज
naigirbwyw,नायगिरबोयो
technicol,टेकनिकल
bipanapwrabw,बिफानाफोराबो
dolang,दलां
alomkwo,आलमखौ
onjalia,अनजालिआ
besnejmen,बेस्नेजमेन
khwmsiao,खोमसिआव
komaibwdwngmwn,खमायबोदोंमोन
swmwnangnainifrai,सोमोनांनायनिफ्राय
bhangadhor,भांगाधर
talangnw,थालांनो
gusebtar,गुसेबथार
bordhoman,बर्धमान
farkingfwrao,फार्किंफोराव
sungdoywi,सुंदयै
tagibipwrho,थागिबिफोरह
sandwngmwnblabw,सान्दोंमोनब्लाबो
balistic,बेलिस्तिक
somdev,समदेब
mwnnangwobla,मोननांगौब्ला
nanghwyw,नांहोयो
salakatiao,सालाकातीआव
jwbti,जोबथि
apur,आपुर
nepolitan,नेपलिटान
gotokwo,गथखौ
jadw,जादो
sorkanao,सरकानाव
lwgwpwrkwo,लोगोफोरखौ
nwgwt,नोगोत
daogabwdwng,दावगाबोदों
maokangnaikwo,मावखांनायखौ
himanto,हिमान्थ
niramish,निरामिच
saorainangwo,सावरायनांगौ
geolangsarnai,गेवलांसारनाय
dwntumnaini,दोनथुमनायनि
iranjwng,इरानजों
aijw,आइजो
gaglwbgiripwrkwo,गाग्लोबगिरिफोरखौ
posongtanpwrkwo,फसंथानफोरखौ
somiron,समिरन
tripurayao,त्रिपुरायाव
sonoala,सनवाला
jibkripwrni,जिबख्रिफोरनि
munghwjanai,मुंहोजानाय
golafwrao,गलाफोराव
fwiyw,फैयो
ayenfwrkwo,आयेनफोरखौ
abadjwng,आबादजों
lwikwn,लैखोन
wnswlni,ओनसोलनि
gwnangtibadiywi,गोनांथिबादियै
jahwdwngmwn,जाहोदोंमोन
rajbari,राजबारि
sorakar,सराकार
berfrunaikwo,बेरफ्रुनायखौ
bajrumni,बाज्रुमनि
habjayakwimwn,हाबजायाखैमोन
gaohornw,गावहरनो
didwmsri,दिदोमस्रि
mwntihwyi,मोन्थिहोयि
bipod,बिपद
sorbima,सर्बिमा
hazowary,हाजवारी
nujatidwng,नुजाथिदों
tisonla,थिसनला
kalamdulabaidwng,खालामद्लाबायदों
portogaljwng,पर्तगालजों
maninaini,मानिनायनि
sahapatni,साहाफाटनि
dwhwo,दोहौ
maopungiri,मावफुंगिरि
bibanga,बिबाङा
naikwmananwi,नायखोमानानै
rajli,राजलि
atala,आथाला
jariful,जारिफुल
swrangsri,सोरांस्रि
fcya,एफसीआ
siphainw,सिफायनो
lubwyw,लुबोयो
dhonta,धन्ता
sibiyarimwnblabw,सिबियारीमोनब्लाबो
jutumsaliniprai,जथुमसालिनिफ्राय
fwrmaitia,फोरमायथिआ
lamayaobw,लामायावबो
bpfa,बिपिएफआ
baisrengnw,बायस्रेंनो
panchami,पान्चामि
naidingwra,नायदिंगोरा
kishor,किशर
dramani,द्रामानि
chalea,चेलआ
dangabajini,दाङाबाजिनि
ansungtaini,आन्सुंथायनि
swlaihwnanwi,सोलायहोनानै
lapladwng,लाफ्लादों
gaywi,गायै
sohwinanwi,सहैनानै
lahwinangwo,लाहैनांगौ
ranjanha,रन्जनहा
mohorwi,महरै
golegoleta,गलेगलेथा
hwkarnaini,होखारनायनि
rajasekor,राजासेकर
jaigafwrkwo,जायगाफोरखौ
kudiyakwo,खुदियाखौ
khunghwgwn,खुंहोगोन
chinema,चिनेमा
saorailaibai,सावरायलायबाय
bondona,बन्दना
belebeje,बेलेबेजे
tukwisrang,थुखैस्रां
nursepwrni,नार्चफोरनि
dambraya,दामब्राया
pejenhwnanwi,फेजेनहोनानै
terminology,टार्मिनलजि
kungkaini,खुंखायनि
cyclekwobw,साइकेलखौबो
twndwngmwn,थोनदोंमोन
collegefwrnikrui,कलेजफोरनिख्रुइ
ohomninw,अहमनिनो
tereng,तेरें
jwtwn,जोथोन
subhram,सुभ्रम
ndfb,एनडिएफबि
bisirsalini,बिसिरसालिनि
twngjwngwi,थोंजोङै
jahajpwrkwo,जाहाजफोरखौ
betaryniprai,बेटारिनिफ्राय
neosiyw,नेवसियो
agdajwng,आगदाजों
mwnnanwi,मोन्नानै
dhakaao,धाकाआव
raijyabhordon,राज्यभरदन
osmita,असमिता
saikwlkwo,साइखोलखौ
haoli,हाउलि
bijabmela,बिजाबमेला
blasto,ब्लास्त
jherdan,झेरदान
kalampinnangwo,खालामफिन्नांगौ
kedarpwra,केदारफोरा
faragtia,फारागथिआ
nagarnangwo,नागारनांगौ
meriyej,मेरियेज
rabhapwr,राभाफोर
moken,मकेन
palidwngmwn,फालिदोंमोन
japungsarhwnw,जाफुंसारहोनो
naikoah,नायकआ
surnayao,सुरनायाव
tabai,थाबाय
tirangtani,थिरांथानि
hariaripwrniprai,हारियारिफोरनिफ्राय
sayaosw,सायावसो
anjadpwrni,आन्जादफोरनि
fwinayao,फैनायाव
lubwinaipwrkwo,लुबैनायफोरखौ
girijwng,गिरिजों
gannangwo,गाननांगौ
jwnghabnai,जोंहाबनाय
tisonjabpanw,थिसनजाबफानो
beraigrapwrkwo,बेरायग्राफोरखौ
dangsani,दांसानि
sangomai,सांगमाइ
dikangnw,दिखांनो
sorkarabw,सरकाराबो
forestar,फरेस्तार
harimwnh,हारिमोनः
companypwrkwo,खम्पानिफोरखौ
maternity,मेटारनिटी
mediajwng,मीडियाजों
gundwi,गुन्दै
ahadwrsakwo,आहादोरसाखौ
swpanaijwng,सोफानायजों
bodwpa,बदोफा
maotaki,मावथाखि
dibhaidarjwng,दिभाइदारजों
mwnnangwoni,मोननांगौनि
maopu,मावफु
komlai,खमलाय
jwogahwnaikwo,जौगाहोनायखौ
gidinglangasinw,गिदिंलांगासिनो
gwjwnhwnaiti,गोजोनहोनायति
lupungnaiao,लुफुंनायाव
angkalblabw,आंखालब्लाबो
baolunai,बावलुनाय
bwswrswni,बोसोरसोनि
gwsarlayw,गोसारलायो
gibisarikwo,गिबिसारिखौ
bungtigiria,बुंथिगिरिआ
mugwitaona,मुगैथावना
mediamjwng,मेडियामजों
figarao,फिगाराव
bochongw,बचङो
khananwi,खानानै
saniprai,सानिफ्राय
harifwri,हारिफोरि
anjumni,अन्जुमनि
berfrunanwi,बेरफ्रुनानै
bigraiyaripwrni,बिग्रायरारिफोरनि
dwitaihorwini,दैथायहरैनि
nujatidwngmwnblabw,नुजाथिदोंमोनब्लाबो
berpugra,बेरपुग्रा
gotummani,गथुम्मानि
bajini,बाजिनि
dikwo,दिखौ
utkaripwrniprai,उतखारिफोरनिफ्राय
