frental,فرنٹل
qesman,قٕسمَن
vaaziyah,واضیٚح
kawakhtiyar,کواختیار
najem,نجم
kehkerona,کہکرونا
kathna,کٹھنا
dohdish,دۄدِش
engenciyon,انجنسیوں
ekhlaqiyatas,ایٚخلاقیاتَس
homan,ہومن
nehgaaran,نہگارن
kaamil,کامل
hiv,ہِوۍ
karav,کرَو
oruzi,عوٚروٗضی
gashrawaan,گاشراوان
albasharki,البشرکی
parlag,پرلگ
akhbaarek,اخبارکِ
nasaan,نسان
karnaham,کرناہم
khaets,کھٔژ
ehba,احبا
ganjaam,گنجام
bhamber,بھامبر
rahmate,رحمتہ
kruuth,کرٛوٗٹھ
ramfad,رمفاد
jistejuas,جِستجوس
bagola,بگولا
dalne,ڈالنہٕ
eshward,ایشورڈ
tabseere,تبصرٕ
pargaran,پرگرن
tav,تَو
kapaband,کاپابند
sargerdeh,سرگردہ
aarseri,آرسری
yehbiyan,یہبیان
mutesirbhi,متاثربھی
karb,کرب
zeyid,زٲیِد
warey,ورٲے
beheemiyat,بہیمیت
sheeraaz,شیٖراز
paanath,پانتھ
bonjva,بونجوا
garwajne,گرواجنہِ
sashmadivi,سشمادیوی
hinjaal,ہنجال
sakisho,ساکشو
parharkasi,پرہرکسی
yehund,یہند
romalo,رومالو
parmajmoyi,پرمجموعی
ekhtiyar,ایٚختیار
akshiyat,اکشیت
jazbaath,جذباتھ
laaga,لاگا
rakhlaaf,رخلاف
siwai,سیوایہِ
meshrut,مشروط
padhnah,پڑھناہ
vyoth,ویوٚٹھ
selran,سیلرن
alnihaar,النہار
baadshaho,بادشاہو
ankhee,انکھی
bakeide,باقٲیدٕ
chhadag,چھڑگ
vojudey,ووٚجوٗدٕے
bolzam,بولزم
mayaaraat,معیارات
maarah,ماراہ
itnaziyadah,اتنازیادہ
havte,ہاوتہٕ
fekheyn,پھیٚکٮ۪ن
wadas,وادس
koframosh,کوفراموش
vadgaam,وڈگام
kuji,کُجِہ
kamojab,کاموجب
mekane,مَکانہٕ
wuhan,وُہَن
tsopear,ژۄپٲرۍ
sharaf,شرٛپھ
talmilaat,تلملات
baadshahas,بادشاہس
myenun,مینُن
complet,کمپلیٹ
kafiya,قافیہ
perzenavne,پَرزناونہٕ
prayas,پرایس
ikhtirsahib,اخترصاحب
nambran,نمبرن
fedreshanz,فیڈریشنز
hyech,ہیچھ
tsirkale,زِیٔژکالہٕ
watesdiq,وتصدیق
netkhaab,نتخاب
ahaatas,احاطس
likharen,لِکھارٮ۪ن
paristish,پرستش
ranmgiyal,رنمگیال
paingal,پینگل
pyer,پیر
aaveze,آویزٕ
anarko,انارکو
shish,شیش
selaani,سیلانی
parshor,پرشور
remp,ریمپ
jaraat,جرات
kerekh,کٔرٕکھ
jandaal,جندال
kampree,کمپری
rakhaal,رکھال
sarwarker,سارورکر
javenga,جاونگا
shej,شٲج
izherko,اظہرکو
jensentas,جنسنٹس
stagez,سٹیجز
siyaasath,سیاسَتھ
hawawroh,ہواوروہ
makalas,مقالَس
wonmut,ووتمُت
vardaat,وردات
karvanas,کاروانَس
mogliya,مُغلیہ
isvy,عیٖسوی
kahalvaat,کہلوات
komanfard,کومنفرد
khoar,خۄر
panjitaran,پنجتارن
hion,ہیوٚن
heraan,حٲران
baniov,بنٮ۪و
diktas,ڈکٹس
myanyev,میانٮ۪و
thamna,تھامنا
komolangma,کومولنگما
iqtisadiyat,اقتصادیات
nitazir,نتاظر
hekeekath,حقیٖقَتھ
parmanand,پرمانند
zorawarsangh,زوراورسنگھ
parkhana,پرکھانا
doshvani,دوٚشوٕنۍ
shadeedbarefbari,شدیدبرفباری
mashgalon,مشغلوں
dunyahas,دُنیاہس
hechnichi,ہیٚچھِنٕچہِ
kopabandi,کوپابندی
dehlijavahir,دہلیجواہر
naklaan,نکلان
nasimni,نسیمنہِ
aflaas,افلاس
pasma,پسما
chhekraawaan,چھٔکراوان
akath,اکٹھ
zona,زونا
qaalas,کالَس
ekterpon,ایکٹرپون
ponee,پونی
daleelih,دلیٖلہٕ
meetra,میترا
nozukh,نوزُکھ
mashooqe,معشوقہٕ
ralavaan,رلاوان
sehbaton,صحبتوں
faruhat,فروحت
kokchalna,کوکچلنا
janisar,جانثار
thera,ٹھیرا
nafhek,نفہٕکۍ
wataavaan,وَرتاوان
sehath,صٮ۪حَتھ
izhaaruk,اِظہارُک
kokashmirtak,کوکشمیرتک
naawe,ناوٕ
vahrevith,وَہرٲوِتھ
paray,پرٛایہِ
sajniyat,سجنیت
felarha,پھیلارہا
safeedi,سفیدی
aamleen,عاملین
sapdith,سپدِتھ
milta,ملتا
sapednas,سَپَدنَس
tawereekhew,توٲریٖخوَ
manglori,منگلوری
qarze,قرضہٕ
janwarka,جانورکا
misalon,مثالوں
masbaah,مصباح
javaaban,جوابَن
taskheeri,تسخیری
itfak,اِتفاق
asloobuk,اسلوٗبکُ
anith,ٲنِتھ
giriftartek,گرفتارتک
marnaal,مرنال
khorath,خورتھ
concertas,کنسرٹس
mowmut,نوومُت
asliyats,اَصلیٔژ
vagraam,وگرام
bhakshew,بھکشو
jogel,جوگل
temirat,تعمیرات
sadhvi,سادھوی
aagun,آنگُن
bastron,بستروں
tolernas,ٹولرنس
kew,کوٚ
raheton,راحتوں
inkosnajatatha,انکوسناجاتاتھا
vaakh,واکھ
zanne,زاننہ
vehlaak,وہلاک
sawale,سوالہٕ
heyse,حٮ۪سہٕ
wetshe,وژٕھ
nandresh,نندریش
aawazas,آوازس
referend,ریفرنڈ
brehmanan,برٛہمنَن
banalo,بنالو
aksarko,اکثرکو
alreq,الریک
shabat,شبت
pakwakar,پکواکر
voz,وۄز
lorinas,لورینس
hekaw,ہٮ۪کو
dejwan,دجوان
vakal,وکل
tamta,تمتا
ameedwarmeedan,امیدوارمیدان
danapuri,داناپوری
akyoshan,اکیوشن
afzai,افزٲیٔ
zorurath,ضرورتھ
zeer,زیر
wamtiyazkrisk,وامتیازکرسک
balisahib,بالاصاحب
preznaawni,پرٛزناونہٕ
kagezas,کاغذس
khardbard,خردبرد
lachman,لچھمن
abdulazeez,عبدالعزیز
dostak,دوستاک
bathanahoga,بٹھاناہوگا
pasmandgi,پسماندگی
godniki,گۄڈنکہِ
fankarbhi,فنکاربھی
rabada,ربادا
nigaro,نگارو
nadaaran,نادارَن
vabadmaashi,وبدمعاشی
andazas,اندازس
bonjwar,بونجوار
infocerment,انفوسرمنٹ
ankah,انکاہ
badkhaslath,بدخصلتھ
lacturer,لیکچرر
nimav,نمِو
bapal,بپل
anfira,انفرا
raathar,راٹھر
jolakhna,جولکھنا
mulkek,مُلکٕکۍ
iqbalas,اقبالس
haqeeqas,حقیٖقَس
panchem,پنچم
pathras,پتھرس
karlayajata,کارلایاجاتا
niunam,نیوٗنَم
qahrubpakran,قہربپاکرن
denshal,ڈینشل
argard,ارگرد
misr,مصر
krantishar,کرانتشار
sahibazdegan,صاحبزدگان
qesmeyt,قسمٕتۍ
dunyakwapan,دنیاکواپن
ralowukh,رَلووُکھ
padhatah,پڑھاتاہ
narsehma,نرسہما
detol,ڈیٹول
veprevith,وٮ۪پرٲوِتھ
kulangaam,کلنگام
tsoonth,ژوٗنٛٹھ
prahmara,پرہمارا
darbadrechal,دربدرچل
kaalak,کالک
zorpekadta,زورپکڑتا
balbalan,بلبلن
ikhyar,اخیار
fiziakl,فزیکل
waajeyn,واجیٚنۍ
kules,کُلِس
kosambhaal,کوسنبھال
raagbat,راغبت
sherwaad,شیرواد
chhadti,چھڑتی
yedrents,یڈرنٹس
anaara,انارا
achariya,اچاریہ
moher,مۄہرٕ
bawe,باوٕ
mushtemil,مشتمل
wetshney,وٮ۪ژھنَے
razas,رازس
baz,بعض
bhatakna,بھٹکنا
rozniyamukhota,روزنیامکھوٹا
kalangaz,کلنگز
breadcoal,بریڈکول
reyaze,ریاضہٕ
manawan,مناوان
jabrotashdid,جبروتشدد
qaafas,قافس
jawang,جوانگ
zeev,زیٖو
doctortesting,ڈاکٹرٹیسٹنگ
tsaai,ژاۓ
shereek,شریک
netno,نتنو
bhagaadan,بھگاڑن
hareeri,حریری
qadkhalqat,قدخلقت
homut,ہوومُت
faezil,فٲضِل
baardi,باردی
rohjanas,روٚحجانٔس
abhaa,ابھا
porahva,پوراہوا
ardah,ارداہ
taqaal,تقال
alkhaas,الخاص
vichhonpadiyon,وچھونپڑیوں
mavalgarh,موالگڑھ
konun,قونوٗن
kehtato,کہتاتو
bajeng,بجنگ
alzehrah,الزہراہ
vazne,وزنہٕ
maddekriskitah,مددکرسکتاہ
butan,بوٹن
rishtas,رشتس
aksaradbi,اکثرادبی
reheeq,رحیق
muqasid,مقاصد
kunih,کُنہِ
shakhin,شخین
hishre,ہِشرٕے
sawaan,سوان
lokchaaruk,لۄکچارُک
koyonyorsti,کویونیورسٹی
zeniskaar,زنسکار
parpori,پرپوری
gandna,گنڈنا
meneofecturang,مینیوفیکچرنگ
moman,مومن
yehne,یٚہِنہ
chajwal,چھجوال
alaabdeenas,العابدینَس
manmaniyon,منمانیوں
ruzmits,روٗزمٕژ
mamtaza,ممتازا
komishtarak,کومشترک
eligelity,ایلیجلیٹی
fesle,فٲصلہِ
stending,سٹینڈنگ
rozgarfrahm,روزگارفراہم
albeli,البیلی
jhaadaw,جھاڑو
baghwaan,بھگوان
dyobandiyat,دیوبندیت
vasthra,وستھرا
mutehdehpakistan,متحدہپاکستان
harbaar,ہربار
manfer,منفر
pormut,پوٚرمُت
covidaled,کوویڈیلڈ
hindostanas,ہنٛدُستانَس
tawaja,توجہ
aleshan,علیشان
behterhotahkomat,بہترہوتاحکومت
revi,رٲوی
maqalme,مکالمہٕ
koslekt,کوسلیکٹ
faran,پِھران
dograh,ڈوگراہ
yatomunafiqat,یاتومنافقت
pascal,پاسکل
hetsan,ہیٚژٕن
ahenger,آہنگر
gandgi,گندگی
zabanai,زبانٕے
rongit,رونگت
dhola,ڈھولا
taemir,تعمیٖر
wakhen,واکھن
tikiyazi,تِکیٚازِ
kashmiraspeshal,کشمیرسپیشل
darlukhlafe,دارلخلافہ
kaloro,کلورو
agwan,اگون
jigras,جگرس
rejeshwar,راجیشور
harsomojud,ہرسوموجود
kyaar,کیار
zewi,زیوٚہ
khosusiyati,خصوٗصیتہٕ
qarardadon,قراردادوں
badhasht,بدھشت
bawakh,باوَکھ
chaleki,چالٲکی
pepnes,پَپنس
seetna,سیٹنا
lagun,لاگُن
yidokar,یڈوکر
rabano,ربانو
temples,ٹیمپلس
maraba,مُربع
collegete,کالیجیٹ
baajer,باجر
masdas,مسدس
khatlaaf,ختلاف
tehqiqas,تحقیٖقس
ishtiyeri,اِستعارٲتی
aavur,آوُر
panshan,پنشن
baharhokralt,باہرہوکرالٹ
avlen,اولین
kayadatein,قیادتیں
khususiyets,خصوٗصیٔژ
parlee,پرلی
pasra,پسرا
kartaras,کرترس
travuk,ترٛاوُک
almenira,المنیرا
kefil,کفیل
rakhaalg,رکھالگ
kalaas,کلاس
bartaja,برتاجا
sabaskera,سبسکرا
qorbani,قُربٲنۍ
lolerey,لولرے
defalter,ڈفالٹر
renak,رینک
orpak,اورپاک
maqsudmoman,مقصودمومن
mashirte,مشیٖرتہٕ
pajwaal,پجوال
intiqadbab,انتقادباب
khususiyati,خوٚصوٗصیتہٕ
kakhraab,کاخراب
tehkikas,تحقیقس
publisherharper,پبلشرہارپر
sapol,سپول
kopoliyas,کوپولیس
samangal,سمنگل
retshi,ریٚژِھ
ii,ییِ
etiqad,اعتقاد
vetravun,وٮ۪تراوُن
thawarchandgehlot,تھاورچندگہلوت
darka,درکا
marhalaat,مرحلات
kalbargyozeer,کلبرگیوزیر
naavech,ناوٕچ
wartaawun,ورتاوُن
rozas,روزس
khotuune,خوتونہٕ
yuurpas,یوٗرپَس
yatyuk,یتُک
tyoot,تیوٚت
gadpada,گڑپڑا
izharhona,اظہارہونا
chhen,چھَن
nakaltah,نکلتاہ
tedaadan,تعدادن
muhabatas,موٚحبتَس
kyagyajas,کیاگیاجس
krishnia,کرشنیا
hetsan,ہیٚژن
emagez,ایمیجز
wemey,ومٚے
phur,پھور
kherjiyeth,خٲرجِیَتھ
sharmaati,شرماتی
chhattoram,چھتورام
mustehbat,مستحبات
kachlan,کچلن
riveyti,روایتی
harharmodi,ہرہرمودی
teiz,تیز
afshan,افشان
kathyavad,کاٹھیاواڑ
sarangi,سارنگی
alpesh,الپیش
tanqeedkeran,تنقیدکرن
zargarak,زرگرک
doctorlohiya,ڈاکٹرلوہیا
meriage,میریج
gajraapan,گجراپن
lehron,لہروں
taqriban,تقریٖباً
madgaskarki,مڈغاسکرکی
ziw,زیٖو
ardhna,اردھنا
tarmutalibon,ترمطالبوں
choshol,چوشول
tamosladar,تاموسلادار
dokandariya,دوکانداریہ
vatsun,وَژُن
kamadal,کماڈل
hotato,ہوتاتو
enz,أنزۍ
daph,ڈاف
kunov,کُنو
alasniyan,الاثنین
motuk,موتُک
jumaa,جُمعہ
fanan,فَنَن
tehqeekati,تحقیٖقتہٕ
darwaaze,دروازٕ
baeqei,بٲقٕے
asrandazi,اثراندازی
izherki,اظہرکی
ameedwarjiyat,امیدوارجیت
pehlwa,پہلوا
intikha,انتخا
bastigarh,بستگڑھ
wetshnawith,وٮ۪ژٕھنٲوِتھ
awaam,عوام
keshren,کٲشرٮ۪ن
marjaat,مرجات
madhra,مدھرا
prenis,پرٛٲنِس
aansobehan,آنسوبہان
miutha,میوٗٹھاہ
valhamdillah,والحمدللہ
kahawets,کہاؤژ
womeid,وۄمید
manov,منوو
paraftan,پرفتن
panjre,پنجرٕ
nangerhar,ننگرہار
mohabte,محَبتہٕ
taqriran,تقریٖرن
raftaaras,رفتارس
hyotun,ہیوٚتُن
gleemar,گلیمر
sazgeri,سازگری
tarbiyatha,تربیتھا
benawni,بناونہِ
tou,تَو
pardhawabolat,پردھاوابولت
izaafiyat,اضافیت
emblonas,ایمبلونس
bandkerdiya,بندکردیا
marshad,مرشد
basio,باسیوو
biljiyat,بلجیت
qalmaar,قلمار
tanjur,تنجور
homastaqabal,ہومستقبل
kamnasib,کامناسب
yaqinaqabil,یقیناقابل
jandarandaz,جاندارانداز
tehriki,تحریکہِ
sadersarfraz,صدرسرفراز
pargenahon,پرگناہوں
spartas,سپارٹس
kalrav,کلرو
sajiyat,سجیت
kirchilta,کرچلتا
raawnas,راونَس
mafeed,مفید
panpat,پنپت
dildaan,دلدان
siriph,صرف
haspital,ہسپتال
tavriyasti,توریاستی
varaey,ورٲے
tariqe,طریقہٕ
kohiy,کۄہہِ
mahajer,مہاجِر
medeyn,مٲدٲنۍ
orenas,اورینس
sochnabhi,سوچنابھی
dasemberjo,دسمبرجو
sawaminathan,سوامیناتھن
chatarpaal,چترپال
guftarak,گفتارک
unio,یونیو
pehchaan,پہچان
orkarona,اورکرونا
hovmy,ہوومیٚہ
thaajal,تھاجل
esikh,ٲسِکھ
radastavezi,ردستاویزی
karmem,کرمم
karsharma,کارشرما
jojensi,جوجنسی
arbiyas,عربیس
iqdaadmaat,اقدادمات
iskwapan,اسکواپن
meporport,میپورپورٹ
parkoching,پرکوچنگ
likha,لِکھا
pakhtunkhwa,پختونخواہ
radla,ردلا
nehat,نہت
panthal,پنتھال
bolaya,بولایا
sapnen,سپنَن
taerikhas,تٲرایٖخس
qarnam,کارنامن
mohenjo,موہنجو
kulyis,کُلِس
nakadas,نقادس
muhafizat,محافظت
repenelkenz,ریپنلکنز
garvajne,گرواجنہِ
wusath,وُسَتھ
abdaat,عبدات
wenee,وٲنی
shabenam,شبنم
manzeleh,مٔنزلہٕ
tayinat,تعینات
imtenahi,امتناہی
feshioni,فیشنی
mavaazne,موازنہٕ
wowmut,وومُت
temnei,تِمنٕے
parmazehmati,پرمزاحمتی
kawasra,کواسرا
doshvey,دۄشوے
shazem,شازم
baathe,باتِھ
mubseriyan,مبصرین
maqdah,مقدہ
lambarak,لمبارک
hindustein,ہِنٛدستٲنۍ
aljazira,الجزیرا
lekhav,لٮ۪کھو
mushtiqat,مشتقات
bajay,بجایہ
jafat,جفت
husneyk,حُسنٕکۍ
nejaar,نجار
nawadar,نوادر
mezamin,مضامین
zamardeh,زمردہ
makruur,مقرور
doctravarasharaf,ڈاکٹراوراشرف
mandhan,مندھن
aasak,آسک
kankashan,کنکشن
vaalar,والر
gulshanan,گلشنن
wekhtse,وٮ۪کھژٕ
badlev,بدلیوٚ
machaal,مچال
mafhamat,مفہامت
rectorsical,ریکٹرسکل
bemaran,بٮ۪مارن
manqel,منقل
sagdi,سگدی
aneh,ٲنہٕ
mohadesiyan,محدثین
muzafarahasan,مظفراحسن
baaleg,بالٮ۪غ
kamaly,کمالٕے
markezi,مرکٔزی
wazirchandra,وزیرچندر
darakh,درخ
balrampuri,بلرامپوری
politics,پولیٹکس
vyetali,ویٖتالہٕ
naamukas,نامکس
taqreerko,تقریرکو
gopalganj,گوپالگنج
wasaan,وسان
shawam,شوام
fenkna,پھینکنا
retshren,رٔژھرَن
shumaliyati,شمالیاتی
lukaaw,لوٗکَو
zaayi,ضایِہ
banayagiyaqanon,بنایاگیاقانون
quvat,قۄوتھ
faryaadsanti,فریادسنتی
panzgam,پنزگام
dimagas,دماغس
prey,پرٛی
banarkha,بنارکھاہ
banaavnas,بناونَس
istilahan,اصطلاحن
tabe,تابع
kenzeerveshan,کنزیرویشن
alhefiz,الحفیظ
emeyk,امِکۍ
amaamas,امامس
commissionerk,کمشنرک
toth,ٹوٹھ
ambarich,اَنبارٕچ
sakoonech,سوٚکوٗنٕچ
qraal,کرٛال
sardha,سردھا
arnesha,ارنیشا
rajyopuri,راجیوپوری
jochindi,جوچندی
chhodkritmam,چھوڑکرتمام
kangposh,کنگپوش
pethey,پٮ۪ٹھےَ
shiraaz,شیراز
kraal,کرٛال
anwardha,انوردھا
beye,بیہ
rangret,رنگریٹ
bawarkaranachahti,باورکراناچاہتی
buzargov,بزرگو
sarkaaran,سرکارن
panenih,پننہِ
baalaana,بالانا
hechhan,ہیٚچھان
dostaan,دوستان
tezan,تیزان
lehak,لہک
radiyr,ردٔرۍ
baqawali,بکاولی
karloz,کارلوز
pochka,پوچکا
maamun,مامون
compessionet,کمپیشنیٹ
heitin,ہیٚتِن
balaho,بالاہو
sonchel,سونچل
mumken,مُمکِن
eshnav,ٲشناو
vandran,واندرن
chandramohan,چندرموہن
ehmedana,احمدنا
almufteriyan,المفترین
sochey,سۄچھٚے
elaamtee,علامٔتی
parhindustan,پرہندوستان
hidaya,ہدایا
maharashtrah,مہاراشٹرہ
zanaab,زناب
peteh,پتہٕ
bharahoga,بھراہوگا
bechhnes,بیچھنَس
maarish,مارش
kesmich,قٕسمچ
munificturcompanyon,منیفکچرکمپنیوں
waren,وارٮ۪ن
kyesh,کیش
arreheem,الرحیم
varya,واریا
izharpakistan,اظہارپاکستان
anharen,انہارن
kaajas,کاجس
ehenden,أہٕنٛدٮ۪ن
naadim,نادم
hoger,ہوگر
sitaad,ستاد
orkhabargeeri,اورخبرگیری
alwasaat,الوساط
style,سٹایل
jantee,جنتی
gujratas,گُجراتَس
alaako,علاقو
kesenz,کٕسنٛز
aadarshon,آدرشوں
ghotkeepakistan,گھوٹکیپاکستان
insafas,انصٲفَس
sanaryo,سناریو
hamar,ہمر
fikarmandi,فکرمندی
sarenta,سرنتا
qomiyaton,قومیتوں
sonas,سونس
munhadem,منہدم
kathar,کتھر
coxtodien,کاکسٹوڈین
magrisab,مگرسب
chuv,چھوُ
hasbak,حسبک
yuig,یوٗگۍ
wakane,وکانٛہہ
deyes,دیَس
kozmistan,کوزمستان
waaris,وارس
machhi,مَچِھ
nirawan,نِراوان
kyamatarif,کیامتعارف
parpanchayat,پرپنچایت
zapla,زپلا
adkara,ادکارا
murafiqeen,مرافقین
univarti,یونیورٹی
nasremein,نثرمیں
taanta,تانتا
sheerhogi,شیرہوگی
norsha,نورشاہ
zual,زول
komalayaja,کوملایاجا
discussion,ڈسکشن
taqviyat,تقویت
komarshal,کومرشل
ratem,رتم
wasfan,وصفَن
tsavhaba,ژاوحبہ
valsa,والسا
pramar,پرامر
khavaeni,خوٲنی
bidasht,بداشت
bajgira,باجگیرا
mozuke,موضوٗعکِہ
mataanat,متانت
bunyadprapan,بنیادپراپن
oajh,اوجھ
vichlav,وچھلاو
lekhun,لیکھُن
dherev,دھیرو
namgiyal,نمگیال
asule,اصولہٕ
munesibatas,مناسبتس
shabash,شباش
tereequk,طریقُک
istifham,استفہام
wujare,وُجارٕ
tsandan,ژھانڈان
harfiyat,حرفیات
samjine,سمجنہٕ
pasport,پاسپورٹ
mukhtelef,مُختلِف
electorva,الیکٹروا
myoto,میوٹو
awrafadiyat,اورافادیت
sifa,صفا
krishpa,کرشپا
tarqeb,ترکیٖب
samjhaja,سمجھاجا
vuchhin,وُچھِن
tajruban,تجرُبَن
chadiya,چھڑیا
mafkiron,مفکروں
infiredi,اِنفِرٲدی
rashidjehangir,راشدجہانگیر
besti,بستی
achgam,اچھگام
dinuk,دِنُک
infokaam,انفوکام
naedi,نٲڑی
dhot,ڈھوت
waz,وعظ
jawaban,جوابَن
rozalgata,روزلگاتا
concentrators,کنسنٹریٹرس
telime,تٲلیمہِ
bashret,بشرط
panor,پنور
muqalat,مقالات
lashauras,لاشوٚعوٗرس
banaja,بناجا
qataar,قطار
sarkesh,سرکش
prodets,پروڈیژ
hotamhosh,ہوتامہوش
parkab,پرکب
karbel,کربل
laaya,لایا
secularulabaral,سیکولرلبرل
sringralbration,سرینگرلبریشن
banyin,بننٕۍ
chhotna,چھوٹنا
takhleeqe,تخلیٖقہٕ
imdedferaham,امدادفراہم
thetral,تھیٹرل
waqen,واقعن
asmiglarz,اسمگلرز
heytsan,ہیٚژن
wehshmat,وحشمت
adeebi,أدیٖبہ
chaanchan,چانچن
khazim,خزیم
raagar,راگر
byakh,بیاکھ
embuldeniya,ایمبلڈینیا
phanphlavni,پھانٛپھلاونہٕ
nazuk,نوزُک
tsiun,ژیوٗن
ibaadat,عبادت
gyashehri,گیاشہری
dispenser,ڈسپینسر
patori,پٹوری
traavneik,ترٛاونٕکۍ
keashris,کٲشِرس
kadmeh,قدمہٕ
jaruk,جارُک
honapada,ہوناپڑا
zeba,زیبا
albati,البتَہ
dyosthan,دیوستھان
broanhy,برۄنہٕے
barbadho,بربادہو
redicla,ریڈیکلا
satarbarason,ستربرسوں
zardaan,زردان
ishjaar,اشجار
vaqaatan,واقعاتن
ziraqitdar,زیراقتدار
alsader,الصدر
andremahander,اندرمہندر
khaljan,خلجان
fotar,فوٹر
tevsi,توسیٖع
thavnuk,تھاونُک
ishariyat,اشاریات
domus,دُموس
kogzarish,کوگزارش
mustehazer,مستحضر
kobarbadkird,کوبربادکرد
vakaane,وکانٛہہ
tasgeer,تصغیر
chandrabhano,چندربھانو
banon,بنون
communalism,کمیونلزم
seheth,صٮ۪حَتھ
kazakistan,قزاقستان
kamutaliba,کامطالبہ
mahrini,مہریٚنۍ
karobarkofrog,کاروبارکوفروغ
nazeryi,نظٔریہِ
chokha,چوکھا
jantan,جنتن
havavarjas,ہواورجس
ikhtisarech,اختصارٕچ
saladeen,سلادین
mandlati,منڈلاتی
nankana,ننکانا
izharekyah,اظہارکیاہ
pelven,پَلوَن
amritpaal,امرتپال
sarshaam,سرشام
hainavardusri,ہیںاوردوسری
almuzalim,المظالم
pehnaja,پہناجا
zared,زرد
kishtewari,کشتوٲری
globalization,گلوبلایزیشن
kanomoro,کانومورو
chaag,چھاگ
hogakhwa,ہوگاخواہ
chaad,چھاڑ
karso,کرسو
khandas,کھنڈس
riyastan,ریاستن
banor,بنور
aaftab,آفتاب
luaket,لۄکٕٹ
dramahas,ڈرامَہس
petimyen,پٔتۍمٮ۪ن
darulhukumat,دارالحکومت
ranar,رنر
kahani,کہانی
dilwakir,دلواکر
alsaalmiyan,السالمین
khasheyr,کھِشرۍ
naamaw,نامو
baasi,باسِہ
sheikher,شیخر
ragh,رگھ
stemp,سٹمپ
lagaat,لگات
nigresiyon,نگریسیوں
shumalas,شُمالس
romeshwar,رومیشور
gulsher,گلشیر
bhadrehvi,بھدرہوی
shehzaadon,شہزادوں
nayen,نیٚن
wet,وٲتۍ
ibadete,عبادتہٕ
yire,یِرٕ
sombrewith,سۄٚمبرأوِتھ
vaklaan,وکلان
songhan,سونگھن
jabriyatuk,جبریتُک
hindustanas,ہِنٛدُستانَس
poras,پورس
senjeedgy,سٔنجیٖدگی
syedzadgan,سیدزادگان
tyarkarnatobehat,تیارکرناتوبہت
rabaar,ربار
munoshan,منوشن
koshremesarkardiya,کوشرمسارکردیا
hainawriya,ہیںاوریہ
ameedwarbhi,امیدواربھی
bajer,بجر
kaarhan,کارہن
chhewith,چھٲوِتھ
kakhob,کاخوب
koshandarkhraj,کوشاندارخراج
trenar,ٹرینر
galaami,غلامی
repornema,رپورنیما
mahritasadiq,مہرتصدیق
revish,رٔوِشَن
gizaar,گذار
narseema,نرسیما
dukaanan,دُکانن
yiheynd,یہندۍ
professionalism,پروفیشنلزم
idaab,اداب
dohle,دۄہلہِ
yadkiyaja,یادکیاجا
halats,حالژٕ
vadaar,ودار
kahaha,کہاہا
trainers,ٹرینرس
donojavan,دونوجوان
wentnering,ونٹنرنگ
avkeyn,اَوٕکنۍ
habliyas,حبلیس
badnazari,بدنظری
ikhtisaras,اختصارس
mansuuran,منصورن
idare,ادارٕ
agriya,اگریہ
khansahib,خانصاحب
parsaari,پرساری
yeprofesar,یپروفیسر
fanuk,فانُک
hukumnaam,حکمنام
mehool,محول
mutaebik,مُطٲبق
behfazat,بحفاظت
kostra,کوسٹرا
bhajpakumastard,بھاجپاکومسترد
funuk,فنُک
karkhane,کارخانہٕ
nafeesan,نفیسن
maslihat,مصلحت
ehmat,اہمت
waqtiyk,وقتِکۍ
kanveenas,کنوینس
elecotral,الیکوٹرل
sawalas,سوالس
tsomrewmits,ژوٚمرٲومٕژ
altariqat,الطریقت
perzenawun,پرزٕناوُن
kahakya,کہاکیا
seyaam,سیام
bajwasan,بجواسن
balwaal,بلوال
kawajagarkriti,کواجاگرکرتی
ijra,اِجرا
khapolo,کھپولو
zannas,زاننس
aksarwaldin,اکثروالدین
romanticism,رومانٹسِزم
isteqbaal,استٮ۪قبال
ameedjezbat,امیدجذبات
thulas,ٹھوٗلَس
zorpekadti,زورپکڑتی
talsami,طلسمی
thanamandi,تھانامندی
chaleh,چَلہٕ
jhagdalo,جھگڑالو
akshat,اکشت
incleso,انکلسو
aqad,عقد
treking,ٹریکنگ
raeyv,رٲوۍ
wotlaawnuk,وۄتلاونُک
script,سکرپٹ
moleyl,مۄلٕلۍ
guftugu,گفتگو
hoardingas,ہورڈنگس
dentiyar,دینتیار
akhyarpur,اخیارپور
varei,ورٲے
intikaam,انتقام
waatnaawun,واتناوُن
srinagarjung,سرینگرجنگ
parbandubast,پربندوبست
parwagan,پرواگن
vartaavun,ورتاوُن
orkawash,اورکاوش
bhageedari,بھاگیداری
zehida,زٲہدا
oasus,اوسُس
kawasfal,کواسفل
beytir,بیتر
masaale,مثالٕہ
martand,مارتنڈ
univarosti,یونیوروسٹی
haqeersiyasat,حقیرسیاست
thow,تھوٚ
sharaham,شراہم
shahras,شہرس
wetshnaw,وٮ۪ژھناو
oryoti,اوریوٹی
barhem,برہم
parakhna,پرکھنا
sadust,سدوست
prastaanik,پرستانٕکۍ
shirazki,شیرازکی
tith,تِتھ
vaz,وعظ
paramparget,پرمپرگت
haenz,ہٲنز
praznith,پرٛزنتھ
kryahni,کرٛٮ۪ہنہِ
onhari,اوہنٮ۪ری
talwarmari,تلوارماری
rozlal,روزلال
aver,اوٕر
vayakam,وایاکم
kabehterandazmein,کابہتراندازمیں
constator,کنسٹیٹر
masruurath,مسرورتھ
