maaraataddu,ಮಾರಾಟದ್ದು
aarambhisiddaayitu,ಆರಂಭಿಸಿದ್ದಾಯಿತು
nathulal,ನಾಥುಲಾಲ್
hudukikottidde,ಹುಡುಕಿಕೊಟ್ಟಿದ್ದೆ
solisikolluva,ಸೋಲಿಸಿಕೊಳ್ಳುವ
kalathoon,ಕಲತೂನ್
somarigalannagisive,ಸೋಮಾರಿಗಳನ್ನಾಗಿಸಿವೆ
netronmeelana,ನೇತ್ರೋನ್ಮೀಲನ
benedicto,ಬೆನೆಡಿಕ್ಟೋ
kamalanagaradinda,ಕಮಲನಗರದಿಂದ
kaadittendare,ಕಾಡಿತ್ತೆಂದರೆ
bittuttiveyallave,ಬಿತ್ತುತ್ತಿವೆಯಲ್ಲವೇ
chandrasinghya,ಚಂದ್ರಸಿಂಗ್ಯ
kugguttene,ಕುಗ್ಗುತ್ತೇನೆ
vadaka,ವಡಕ
vaartaavaahinigalalli,ವಾರ್ತಾವಾಹಿನಿಗಳಲ್ಲಿ
vishayagalannagi,ವಿಷಯಗಳನ್ನಾಗಿ
hidisoodigalu,ಹಿಡಿಸೂಡಿಗಳು
maidaanadalliddendu,ಮೈದಾನದಲ್ಲಿದ್ದೆಂದು
natini,ನಟಿನಿ
sallisuttirava,ಸಲ್ಲಿಸುತ್ತಿರವ
abhivraddhipadisuvudu,ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದು
nigadipadisabekittu,ನಿಗದಿಪಡಿಸಬೇಕಿತ್ತು
ondasarti,ಒಂದಸರ್ತಿ
utkarshagonditu,ಉತ್ಕರ್ಷಗೊಂಡಿತು
pulina,ಪುಲಿನಾ
durgadeviyannu,ದುರ್ಗಾದೇವಿಯನ್ನು
matukategalagiruttave,ಮಾತುಕತೆಗಳಾಗಿರುತ್ತವೆ
upadhyakshagalu,ಉಪಾಧ್ಯಕ್ಷಗಳು
spardhisuvantte,ಸ್ಪರ್ಧಿಸುವಂತ್ತೆ
samudaayakkendu,ಸಮುದಾಯಕ್ಕೆಂದು
kalisivudu,ಕಲಿಸಿವುದು
kannita,ಕಣ್ಣಿತ
saakida,ಸಾಕಿದ
aadarshapraayavaagaballa,ಆದರ್ಶಪ್ರಾಯವಾಗಬಲ್ಲ
radiological,ರೇಡಿಯೊಲಾಜಿಕಲ್
jaftige,ಜಫ್ತಿಗೆ
apekshisiddare,ಅಪೇಕ್ಷಿಸಿದ್ದಾರೆ
kushalanagaradalli,ಕುಶಲನಗರದಲ್ಲಿ
garjisutali,ಗರ್ಜಿಸುತಲಿ
arpitakhan,ಅರ್ಪಿತಾಖಾನ್
mahmudullah,ಮಹಮದುಲ್ಲಾ
pranakoduve,ಪ್ರಾಣಕೊಡುವೆ
mugummaagiddaarendu,ಮುಗುಮ್ಮಾಗಿದ್ದಾರೆಂದು
vraatavemba,ವ್ರಾತವೆಂಬ
deserrate,ಡೆಸೆರೆಟ್
vashadallittu,ವಶದಲ್ಲಿಟ್ಟು
padaarthagaleradakkoo,ಪದಾರ್ಥಗಳೆರಡಕ್ಕೂ
sripa,ಶ್ರೀಪ
kaanunannaadaroo,ಕಾನೂನನ್ನಾದರೂ
dakre,ಡಕ್ರೆ
shashina,ಶಶಿನಾ
degulavo,ದೇಗುಲವೋ
nijayatiyinda,ನಿಜಾಯತಿಯಿಂದ
banaswadi,ಬನಸ್ವಾಡಿ
osaruvede,ಒಸರುವೆಡೆ
bhedagalaagiruvuvu,ಭೇದಗಳಾಗಿರುವುವು
natakkal,ನಾಟಕ್ಕಲ್
baganigutavagalide,ಬಗನಿಗೂಟವಾಗಲಿದೆ
utthaanavaagabekaadare,ಉತ್ಥಾನವಾಗಬೇಕಾದರೆ
bagidinda,ಬಾಗಿದಿಂದ
kambalaabhimaanigalu,ಕಂಬಳಾಭಿಮಾನಿಗಳು
agamisuttave,ಆಗಮಿಸುತ್ತವೆ
parikaravanne,ಪರಿಕರವನ್ನೇ
granthalayada,ಗ್ರಂಥಾಲಯದ
hasirelegale,ಹಸಿರೆಲೆಗಳೇ
veshagalu,ವೇಶಗಳು
eradala,ಎರಡಾಲ
lakkanadandeshana,ಲಕ್ಕಣದಂಡೇಶನ
moodisittaadaru,ಮೂಡಿಸಿತ್ತಾದರು
kalyaanaadhikaariyavaru,ಕಲ್ಯಾಣಾಧಿಕಾರಿಯವರು
aalbamvondannu,ಆಲ್ಬಂವೊಂದನ್ನು
dmptu,ಡಿಎಂಪಿಟಿಯು
vaadakarellaroo,ವಾದಕರೆಲ್ಲರೂ
gonzen,ಗಾನ್ಜೆನ್
vartisuttiddaaremba,ವರ್ತಿಸುತ್ತಿದ್ದಾರೆಂಬ
vidhaanasabhaadhyaksharinda,ವಿಧಾನಸಭಾಧ್ಯಕ್ಷರಿಂದ
ombattakkoo,ಒಂಬತ್ತಕ್ಕೂ
navyakaavyaprayoga,ನವ್ಯಕಾವ್ಯಪ್ರಯೋಗ
vishvagaanakkinta,ವಿಶ್ವಗಾನಕ್ಕಿಂತ
samruddhigalive,ಸಮೃದ್ಧಿಗಳಿವೆ
turkel,ಟರ್ಕೆಲ್
baiderugala,ಬೈದೆರುಗಳ
shiptanalli,ಶಿಪ್ಟನಲ್ಲಿ
gaadhavaagisuttade,ಗಾಢವಾಗಿಸುತ್ತದೆ
taddinnam,ತದ್ದಿನ್ನಂ
kalachibeeluttive,ಕಳಚಿಬೀಳುತ್ತಿವೆ
chithrakaaryadalli,ಚಿತ್ರಕಾರ್ಯದಲ್ಲಿ
manassiddagale,ಮನಸ್ಸಿದ್ದಾಗಲೇ
soolege,ಸೂಲೆಗೆ
kaiyettiralilla,ಕೈಯೆತ್ತಿರಲಿಲ್ಲ
eechaghattadalli,ಈಚಘಟ್ಟದಲ್ಲಿ
shandi,ಶಾಂಡಿ
tatavatagala,ತಟವಟಗಳ
nodanoduttiruvante,ನೋಡನೋಡುತ್ತಿರುವಂತೆ
nirdharasiddaare,ನಿರ್ಧರಸಿದ್ದಾರೆ
goupyavagirabekada,ಗೌಪ್ಯವಾಗಿರಬೇಕಾದ
chitravel,ಚಿತ್ರವೇಲ್
nereyaadare,ನೇರೆಯಾದರೆ
suluhugalive,ಸುಳುಹುಗಳಿವೆ
ontigaloo,ಒಂಟಿಗಳೂ
birugaliyannebbisi,ಬಿರುಗಾಳಿಯನ್ನೆಬ್ಬಿಸಿ
kanasin,ಕನಸಿನ್
dalliruvudaagi,ದಲ್ಲಿರುವುದಾಗಿ
ippattentaadaru,ಇಪ್ಪತ್ತೆಂಟಾದರೂ
chalayisuvudalla,ಚಲಾಯಿಸುವುದಲ್ಲ
hortensius,ಹಾರ್ಟೆನ್ಸಿಯಸ್
malagidaagalella,ಮಲಗಿದಾಗಲೆಲ್ಲ
seledubiduttaare,ಸೆಳೆದುಬಿಡುತ್ತಾರೆ
mettilugalalliruva,ಮೆಟ್ಟಿಲುಗಳಲ್ಲಿರುವ
vyaadhanige,ವ್ಯಾಧನಿಗೆ
pitrupakshavu,ಪಿತೃಪಕ್ಷವು
kunshan,ಕುನ್ಶನ್
assistem,ಅಸಿಸ್ಟೆಂ
vayaskararige,ವಯಸ್ಕರರಿಗೆ
mahantaswamy,ಮಹಂತಸ್ವಾಮಿ
hasirumayavagalu,ಹಸಿರುಮಯವಾಗಲು
kelasagaarikeyallina,ಕೆಲಸಗಾರಿಕೆಯಲ್ಲಿನ
abhiprayavideye,ಅಭಿಪ್ರಾಯವಿದೆಯೇ
tilidukollalaayitu,ತಿಳಿದುಕೊಳ್ಳಲಾಯಿತು
tandukondavaralla,ತಂದುಕೊಂಡವರಲ್ಲ
naduvanadalli,ನಡುವಣದಲ್ಲಿ
athleetgaagi,ಅಥ್ಲೀಟ್ಗಾಗಿ
tantigala,ತಂತಿಗಳ
nagnaavataaravannu,ನಗ್ನಾವತಾರವನ್ನು
abhyasabeku,ಅಭ್ಯಾಸಬೇಕು
raashiyavarigondu,ರಾಶಿಯವರಿಗೊಂದು
abakhari,ಅಬಖಾರಿ
shakyavaguttiralilla,ಶಕ್ಯವಾಗುತ್ತಿರಲಿಲ್ಲ
parihaarakramagalu,ಪರಿಹಾರಕ್ರಮಗಳು
billionaire,ಬಿಲಿಯನಿಯರ್
tulasida,ತುಳಸಿದ
dhoomavarana,ಧೂಮಾವರಣ
prataapasimhana,ಪ್ರತಾಪಸಿಂಹನ
saralagonditu,ಸರಳಗೊಂಡಿತು
pritiyide,ಪ್ರೀತಿಯಿದೆ
bennelubugalaagive,ಬೆನ್ನೆಲುಬುಗಳಾಗಿವೆ
nenapaadantaaytu,ನೆನಪಾದಂತಾಯ್ತು
kattale,ಕಟ್ಟಲೆ
matrurajyakke,ಮಾತೃರಾಜ್ಯಕ್ಕೆ
shaastrasaahityavu,ಶಾಸ್ತ್ರಸಾಹಿತ್ಯವು
maddaagi,ಮದ್ದಾಗಿ
edeyella,ಎದೆಯೆಲ್ಲ
maaduvantirutte,ಮಾಡುವಂತಿರುತ್ತೆ
presentation,ಪ್ರೆಸೆಂಟೆಶನ್
poojeke,ಪೂಜೆಕೆ
khaayileyaagiddarinda,ಖಾಯಿಲೆಯಾಗಿದ್ದರಿಂದ
naliyabahudaagide,ನಲಿಯಬಹುದಾಗಿದೆ
nodkondidda,ನೋಡ್ಕೊಂಡಿದ್ದ
spashtapadisiyendu,ಸ್ಪಷ್ಟಪಡಿಸಿಯೆಂದು
garishtapadisuva,ಗರಿಷ್ಠಪಡಿಸುವ
mukhamaadiruva,ಮುಖಮಾಡಿರುವ
hemagire,ಹೇಮಗಿರೆ
tudimodalilla,ತುದಿಮೊದಲಿಲ್ಲ
phineas,ಫಿನೇಸ್
adhyatmavembudu,ಅಧ್ಯಾತ್ಮವೆಂಬುದು
vidyudamshavirada,ವಿದ್ಯುದಂಶವಿರದ
odanaadiddu,ಒಡನಾಡಿದ್ದು
kaanuvantaagabahudu,ಕಾಣುವಂತಾಗಬಹುದು
bahuvarnadante,ಬಹುವರ್ಣದಂತೆ
bhutti,ಭುತ್ತಿ
torkeyantagiddaru,ತೋರ್ಕೆಯಂತಾಗಿದ್ದರು
durbalateye,ದುರ್ಬಲತೆಯೇ
galisalillavemba,ಗಳಿಸಲಿಲ್ಲವೆಂಬ
jalasagarada,ಜಲಸಾಗರದ
sevanege,ಸೇವನೆಗೆ
markendeyaninda,ಮಾರ್ಕೆಂಡೇಯನಿಂದ
pattanaviddu,ಪಟ್ಟಣವಿದ್ದು
haradutteve,ಹರಡುತ್ತೇವೆ
nagalebekada,ನಗಲೇಬೇಕಾದ
prapatagalive,ಪ್ರಪಾತಗಳಿವೆ
rafale,ರಫೆಲ್
ilikeyagideyendu,ಇಳಿಕೆಯಾಗಿದೆಯೆಂದು
samskrutavaayitu,ಸಂಸ್ಕೃತವಾಯಿತು
aashcharyagondiddaare,ಆಶ್ಚರ್ಯಗೊಂಡಿದ್ದಾರೆ
badalapurina,ಬದಲಾಪೂರಿನ
kapolabhagadol,ಕಪೋಲಭಾಗದೊಳ್
nrupatiya,ನೃಪತಿಯ
viruddhavadavaru,ವಿರುದ್ಧವಾದವರು
shilakrutigalige,ಶಿಲಾಕೃತಿಗಳಿಗೆ
sainasnondige,ಸೈನಸ್ನೊಂದಿಗೆ
naamaankitadindale,ನಾಮಾಂಕಿತದಿಂದಲೇ
berpadka,ಬೇರ್ಪಡ್ಕ
samputakkagi,ಸಂಪುಟಕ್ಕಾಗಿ
campassugalallina,ಕ್ಯಾಂಪಸ್ಸುಗಳಲ್ಲಿನ
horahoguvavaru,ಹೊರಹೋಗುವವರು
deerghaviruva,ದೀರ್ಘವಿರುವ
kaviyavara,ಕವಿಯವರ
gunisabekaguttade,ಗುಣಿಸಬೇಕಾಗುತ್ತದೆ
avakaashavaadadalli,ಅವಕಾಶವಾದದಲ್ಲಿ
raktanaalagaliruvaru,ರಕ್ತನಾಳಗಳಿರುವರು
sachetanarannu,ಸಚೇತನರನ್ನು
tantiyuktavaada,ತಂತಿಯುಕ್ತವಾದ
belesuwalli,ಬೆಳೆಸುವಲ್ಲಿ
bhayyapur,ಭಯ್ಯಾಪುರ
vaasidiletargalannu,ವಾಸಿಡಿಲೇಟರ್ಗಳನ್ನು
belegereyavarige,ಬೆಳೆಗೆರೆಯವರಿಗೆ
oladaariyalli,ಒಳದಾರಿಯಲ್ಲಿ
nilakuranji,ನೀಲಕುರಂಜಿ
hanchinala,ಹಂಚಿನಾಳ
paripoornavaagiruttave,ಪರಿಪೂರ್ಣವಾಗಿರುತ್ತವೆ
praarthanegalannu,ಪ್ರಾರ್ಥನೆಗಳನ್ನು
nudiyuvadu,ನುಡಿಯುವದು
nudidaane,ನುಡಿದಾನೆ
tingagalugalalli,ತಿಂಗಗಳುಗಳಲ್ಲಿ
blythville,ಬ್ಲೈಥ್ವಿಲ್ಲೆ
sollapuradalli,ಸೊಲ್ಲಾಪುರದಲ್ಲಿ
antardrushtige,ಅಂತರ್ದೃಷ್ಟಿಗೆ
raktanaalagaliddu,ರಕ್ತನಾಳಗಳಿದ್ದು
daivishaktigala,ದೈವಿಶಕ್ತಿಗಳ
viscassin,ವಿಸ್ಕಸಿನ್
gaurica,ಗೌರಿಕಾ
nandeshwarada,ನಂದೇಶ್ವರದ
pratisvardhiyagalide,ಪ್ರತಿಸ್ವರ್ಧಿಯಾಗಲಿದೆ
uttarisuvudantu,ಉತ್ತರಿಸುವುದಂತೂ
bhaashaashaastragnaroo,ಭಾಷಾಶಾಸ್ತ್ರಜ್ಞರೂ
kadunallara,ಕಡುನಲ್ಲರ
ebbisuvudiddalli,ಎಬ್ಬಿಸುವುದಿದ್ದಲ್ಲಿ
monachagiyoo,ಮೊನಚಾಗಿಯೂ
tunneling,ಟನಲಿಂಗ್
ullanghaneyaguvudu,ಉಲ್ಲಂಘನೆಯಾಗುವುದು
kavisammelanada,ಕವಿಸಮ್ಮೇಳನದ
kelabhaagadallive,ಕೆಳಭಾಗದಲ್ಲಿವೆ
tenginamaragalive,ತೆಂಗಿನಮರಗಳಿವೆ
vindhyachala,ವಿಂಧ್ಯಾಚಲ
mooladravyagalannu,ಮೂಲದ್ರವ್ಯಗಳನ್ನು
aivarakandapura,ಐವರಕಂಡಪುರ
santorum,ಸ್ಯಾಂಟೊರಮ್
elizavita,ಎಲಿಜಾವಿಟಾ
sapamagarisa,ಸಪಮಗರಿಸ
prabedhavaagi,ಪ್ರಬೇಧವಾಗಿ
adenayitendare,ಅದೇನಾಯಿತೆಂದರೆ
mathavagidda,ಮಠವಾಗಿದ್ದ
moggugalantaha,ಮೊಗ್ಗುಗಳಂತಹ
muchchuttiddavu,ಮುಚ್ಚುತ್ತಿದ್ದವು
meelukeelillada,ಮೇಲುಕೀಳಿಲ್ಲದ
anvarthanaamada,ಅನ್ವರ್ಥನಾಮದ
hidiyode,ಹಿಡಿಯೋದೆ
hoyyisuva,ಹೊಯ್ಯಿಸುವ
utsukanaadanu,ಉತ್ಸುಕನಾದನು
bangladeshaddu,ಬಾಂಗ್ಲಾದೇಶದ್ದು
tondareyiruvarige,ತೊಂದರೆಯಿರುವರಿಗೆ
vahisabekennuvudu,ವಹಿಸಬೇಕೆನ್ನುವುದು
khaasageeda,ಖಾಸಗೀದ
dharmashastrangalum,ಧರ್ಮಶಾಸ್ತ್ರಂಗಳುಂ
vichaaradhaareyallina,ವಿಚಾರಧಾರೆಯಲ್ಲಿನ
parampareyuddakkoo,ಪರಂಪರೆಯುದ್ದಕ್ಕೂ
madhyavayaskaru,ಮಧ್ಯವಯಸ್ಕರು
mechchisiddaane,ಮೆಚ್ಚಿಸಿದ್ದಾನೆ
duditadindaagi,ದುಡಿತದಿಂದಾಗಿ
kanisikondanantara,ಕಾಣಿಸಿಕೊಂಡನಂತರ
tippaniyide,ಟಿಪ್ಪಣಿಯಿದೆ
tagatare,ತಗತಾರೆ
moreyittenu,ಮೊರೆಯಿಟ್ಟೆನು
vikelas,ವಿಕೆಲಾಸ್
kachchikondiddu,ಕಚ್ಚಿಕೊಂಡಿದ್ದು
borer,ಬೋರರ್
putadantide,ಪುಟದಂತಿದೆ
citiyalliruva,ಸಿಟಿಯಲ್ಲಿರುವ
saasakarige,ಸಾಸಕರಿಗೆ
sukhamayavaagiruvudilla,ಸುಖಮಯವಾಗಿರುವುದಿಲ್ಲ
vyaapisatodagiddu,ವ್ಯಾಪಿಸತೊಡಗಿದ್ದು
narasimhayyanallige,ನರಸಿಂಹಯ್ಯನಲ್ಲಿಗೆ
spectramnallina,ಸ್ಪೆಕ್ಟ್ರಮ್ನಲ್ಲಿನ
aaghaatavuntaadaaga,ಆಘಾತವುಂಟಾದಾಗ
naatyavoo,ನಾಟ್ಯವೂ
aalamada,ಆಳಮದ
janapriyavagabeku,ಜನಪ್ರಿಯವಾಗಬೇಕು
gouravisuvudarinda,ಗೌರವಿಸುವುದರಿಂದ
goddutanada,ಗೊಡ್ಡುತನದ
purodevi,ಪುರೋದೇವಿಯ
appaniddaane,ಅಪ್ಪನಿದ್ದಾನೆ
gadiyondannu,ಗಡಿಯೊಂದನ್ನು
maahitiyindaagide,ಮಾಹಿತಿಯಿಂದಾಗಿದೆ
rajakumaranende,ರಾಜಕುಮಾರನೆಂದೇ
soundaryaanubhavakkoo,ಸೌಂದರ್ಯಾನುಭವಕ್ಕೂ
aakarshisalaagade,ಆಕರ್ಷಿಸಲಾಗದೆ
tavagirutte,ತವಾಗಿರುತ್ತೆ
seridavalallavendu,ಸೇರಿದವಳಲ್ಲವೆಂದು
vijrumbhisitu,ವಿಜೃಂಭಿಸಿತು
akhandavagiddare,ಅಖಂಡವಾಗಿದ್ದರೆ
vichchidrakaarakadalli,ವಿಚ್ಛಿದ್ರಕಾರಕದಲ್ಲಿ
vechchamadabekaguvudu,ವೆಚ್ಚಮಾಡಬೇಕಾಗುವುದು
kaledukolluttave,ಕಳೆದುಕೊಳ್ಳುತ್ತವೆ
upayogakaravaagiruttade,ಉಪಯೋಗಕರವಾಗಿರುತ್ತದೆ
drohavagalide,ದ್ರೋಹವಾಗಲಿದೆ
kharasuranemba,ಖರಾಸುರನೆಂಬ
jatayuva,ಜಟಾಯುವ
yuvigilla,ಯುವಿಗಿಲ್ಲ
karnoolu,ಕರ್ನೂಲು
henditaya,ಹೆಂಡಿತಯ
bisaadaballadu,ಬಿಸಾಡಬಲ್ಲದು
nambalebekagittu,ನಂಬಲೇಬೇಕಾಗಿತ್ತು
paksheeyarinda,ಪಕ್ಷೀಯರಿಂದ
spaasthya,ಸ್ಪಾಸ್ಥ್ಯ
vrattanaamagalu,ವೃತ್ತನಾಮಗಳು
grabs,ಗ್ರಾಬ್ಸ್
rampyari,ರಾಮಪ್ಯಾರಿ
adagidalindina,ಅಡಗಿದಳಿಂದಿನ
balagollutide,ಬಲಗೊಳ್ಳುತಿದೆ
cherkapara,ಚೆರ್ಕಪಾರ
saadhyategalideyendu,ಸಾಧ್ಯತೆಗಳಿದೆಯೆಂದು
muntaadudara,ಮುಂತಾದುದರ
baluvaagi,ಬಲುವಾಗಿ
triyambakeshwaradinda,ತ್ರಿಯಂಬಕೇಶ್ವರದಿಂದ
dashakaaladalli,ದಶಕಾಲದಲ್ಲಿ
praveshisuttadeyo,ಪ್ರವೇಶಿಸುತ್ತದೆಯೊ
vijayavadadallina,ವಿಜಯವಾಡದಲ್ಲಿನ
visheshanavalla,ವಿಶೇಷಣವಲ್ಲ
vargavaneyagutte,ವರ್ಗಾವಣೆಯಾಗುತ್ತೆ
modalirabahudu,ಮೊದಲಿರಬಹುದು
mahishiyavaru,ಮಹಿಷಿಯವರು
innitarakkinta,ಇನ್ನಿತರಕ್ಕಿಂತ
molgaliginta,ಮೋಲ್ಗಳಿಗಿಂತ
chennadka,ಚೆನ್ನಡ್ಕ
aarogyakendragala,ಆರೋಗ್ಯಕೇಂದ್ರಗಳ
vaijusha,ವೈಜುಶಾ
navikarisikondive,ನವೀಕರಿಸಿಕೊಂಡಿವೆ
likith,ಲಿಖಿತ್
malebaadhitavaagiruva,ಮಳೆಬಾಧಿತವಾಗಿರುವ
kottemullu,ಕೊಟ್ಟೆಮುಳ್ಳು
durastimaaduttade,ದುರಸ್ತಿಮಾಡುತ್ತದೆ
kiruhesaru,ಕಿರುಹೆಸರು
bernadine,ಬರ್ನಡೈನ್
bhilad,ಭಿಲಾಡ್
geddubiduttene,ಗೆದ್ದುಬಿಡುತ್ತೇನೆ
anarhagondaga,ಅನರ್ಹಗೊಂಡಾಗ
underspinnondige,ಅಂಡರ್ಸ್ಪಿನ್ನೊಂದಿಗೆ
constitutive,ಕಾನ್ಸ್ಟಿಟ್ಯೂಟಿವ್
natarakshasa,ನಟರಾಕ್ಷಸ
jivakoshada,ಜೀವಕೋಶದ
tiddikondantide,ತಿದ್ದಿಕೊಂಡಂತಿದೆ
purasabhegendu,ಪುರಸಭೆಗೆಂದು
amshagaladdu,ಅಂಶಗಳದ್ದು
huttiddenalla,ಹುಟ್ಟಿದ್ದೇನಲ್ಲ
veeranan,ವೀರನನ್
kallanotadalli,ಕಳ್ಳನೋಟದಲ್ಲಿ
sarvavyaapigalendare,ಸರ್ವವ್ಯಾಪಿಗಳೆಂದರೆ
svaamitvavu,ಸ್ವಾಮಿತ್ವವು
licensom,ಲೈಸೆನ್ಸಾಂ
sairandhriyagi,ಸೈರಂಧ್ರಿಯಾಗಿ
giridharalaala,ಗಿರಿಧರಲಾಲ
ulisalide,ಉಳಿಸಲಿದೆ
batanchitrada,ಬಾಟಂಚಿತ್ರದ
hanimini,ಹನಿಮಿನಿ
mukhyabhaagavendare,ಮುಖ್ಯಭಾಗವೆಂದರೆ
dummikko,ದುಮ್ಮಿಕ್ಕೋ
electrodannu,ಎಲೆಕ್ಟ್ರೋಡನ್ನು
lokane,ಲೋಕನೇ
raajyasarkaaradindalu,ರಾಜ್ಯಸರ್ಕಾರದಿಂದಲೂ
youvanayuta,ಯೌವನಯುತ
paadapeetavannu,ಪಾದಪೀಠವನ್ನು
bandiyagisi,ಬಂದಿಯಾಗಿಸಿ
vidhyaavantanoo,ವಿಧ್ಯಾವಂತನೂ
olavuvannu,ಒಲವುವನ್ನು
bharatavyapi,ಭಾರತವ್ಯಾಪಿ
saakashtukramagalannu,ಸಾಕಷ್ಟುಕ್ರಮಗಳನ್ನು
aabhimaanigalondige,ಆಭಿಮಾನಿಗಳೊಂದಿಗೆ
pathyavagirabeku,ಪಠ್ಯವಾಗಿರಬೇಕು
aaliginta,ಆಲಿಗಿಂತ
vipatkaarakavaada,ವಿಪತ್ಕಾರಕವಾದ
sarvakaaryagalige,ಸರ್ವಕಾರ್ಯಗಳಿಗೆ
badalayisikollabedi,ಬದಲಾಯಿಸಿಕೊಳ್ಳಬೇಡಿ
arakkonam,ಅರಕ್ಕೊನಮ್
jatibhavavannoo,ಜಾತಿಭಾವವನ್ನೂ
nammaneyoru,ನಮ್ಮನೆಯೋರು
shaasradalli,ಶಾಸ್ರದಲ್ಲಿ
owadje,ಒವಾಡ್ಜೆ
pustakamale,ಪುಸ್ತಕಮಾಲೆ
shamarimalege,ಶಮರಿಮಲೆಗೆ
umashriyavarinda,ಉಮಾಶ್ರೀಯವರಿಂದ
keredukolluttidda,ಕೆರೆದುಕೊಳ್ಳುತ್ತಿದ್ದ
vaadanagaleradaralloo,ವಾದನಗಳೆರಡರಲ್ಲೂ
uttirnaralli,ಉತ್ತೀರ್ಣರಲ್ಲಿ
mosner,ಮೊಸ್ನರ್
mokshapradavaada,ಮೋಕ್ಷಪ್ರದವಾದ
chama,ಚಾಮಾ
hattiradallirabeku,ಹತ್ತಿರದಲ್ಲಿರಬೇಕು
amrutavaadudu,ಅಮೃತವಾದುದು
gullebbisidaru,ಗುಲ್ಲೆಬ್ಬಿಸಿದರು
horaduvikeyannu,ಹೊರಡುವಿಕೆಯನ್ನು
asthipanjaravagiddalu,ಅಸ್ಥಿಪಂಜರವಾಗಿದ್ದಳು
kraapugalu,ಕ್ರಾಪುಗಳು
oddaaduvudannoo,ಒದ್ದಾಡುವುದನ್ನೂ
palavu,ಪಾಲವು
panchghar,ಪಂಚಘರ್
chinnavidda,ಚಿನ್ನವಿದ್ದ
manibhushan,ಮಣಿಭೂಷಣ್
ranaghora,ರಣಘೋರ
masidigalalli,ಮಸೀದಿಗಳಲ್ಲಿ
gopalakrishnanagi,ಗೋಪಾಲಕೃಷ್ಣನಾಗಿ
eradaneyavaragirabeku,ಎರಡನೆಯವರಾಗಿರಬೇಕು
mukhaputaviro,ಮುಖಪುಟವಿರೋ
soluttiddene,ಸೋಲುತ್ತಿದ್ದೇನೆ
ghatakadalliruvaga,ಘಟಕದಲ್ಲಿರುವಾಗ
chakitaraguvante,ಚಕಿತರಾಗುವಂತೆ
abhimanavirabeke,ಅಭಿಮಾನವಿರಬೇಕೆ
baralagakke,ಬರಲಾಗಕ್ಕೆ
poomaleyam,ಪೂಮಾಲೆಯಂ
aavarisikondudara,ಆವರಿಸಿಕೊಂಡುದರ
silkisi,ಸಿಲ್ಕಿಸಿ
sthaaniyaagi,ಸ್ಥಾನಿಯಾಗಿ
bhikkhuna,ಭಿಕ್ಖುನಾ
modaligarenisidaru,ಮೊದಲಿಗರೆನಿಸಿದರು
nahed,ನಾಹೆದ್
pratibhegalindale,ಪ್ರತಿಭೆಗಳಿಂದಲೇ
lumin,ಲೂಮಿನ್
nayakarannagisi,ನಾಯಕರನ್ನಾಗಿಸಿ
nishyabdavaagiruvaaga,ನಿಶ್ಯಬ್ದವಾಗಿರುವಾಗ
samsaarayaatana,ಸಂಸಾರಯಾತನ
ireyire,ಇರೆಯಿರೆ
nivasiyobbarannu,ನಿವಾಸಿಯೊಬ್ಬರನ್ನು
dombia,ದೊಂಬಿಯಾ
noyisuvudannu,ನೋಯಿಸುವುದನ್ನು
pickings,ಪಿಕಿಂಗ್ಸ್
epipigalalli,ಎಪಿಪಿಗಳಲ್ಲಿ
anoonyavaada,ಅನೂನ್ಯವಾದ
securityindale,ಸೆಕ್ಯುರಿಟಿಯಿಂದಲೇ
pritisuttiruttade,ಪ್ರೀತಿಸುತ್ತಿರುತ್ತದೆ
hambavide,ಹಂಬವಿದೆ
tiruvudalu,ತಿರುವುದಳು
tiraskarisidavarannu,ತಿರಸ್ಕರಿಸಿದವರನ್ನು
koljenu,ಕೋಲ್ಜೇನು
balishtagolisabekagide,ಬಲಿಷ್ಟಗೊಳಿಸಬೇಕಾಗಿದೆ
vyaapisikollalu,ವ್ಯಾಪಿಸಿಕೊಳ್ಳಲು
aarugantegella,ಆರುಗಂಟೆಗೆಲ್ಲ
nambuvantirabeku,ನಂಬುವಂತಿರಬೇಕು
abhaavavaagittu,ಅಭಾವವಾಗಿತ್ತು
saggave,ಸಗ್ಗವೆ
tannadagisikollabeku,ತನ್ನದಾಗಿಸಿಕೊಳ್ಳಬೇಕು
sahodyogigalashte,ಸಹೋದ್ಯೋಗಿಗಳಷ್ಟೇ
gurutvadinda,ಗುರುತ್ವದಿಂದ
kadeganisalagiruva,ಕಡೆಗಣಿಸಲಾಗಿರುವ
hegaleratodagidaaga,ಹೆಗಲೇರತೊಡಗಿದಾಗ
pustukavanna,ಪುಸ್ತುಕವನ್ನ
mulapranama,ಮೂಲಪ್ರಣಮ
devavaaru,ದೇವವಾರು
balatkaravendare,ಬಲಾತ್ಕಾರವೆಂದರೆ
kalakappa,ಕಾಳಕಪ್ಪ
patniyarinda,ಪತ್ನಿಯರಿಂದ
subhadranemba,ಸುಭದ್ರನೆಂಬ
aleyuvalle,ಅಳೆಯುವಲ್ಲೇ
suddigaliginta,ಸುದ್ದಿಗಳಿಗಿಂತ
kareganteyendu,ಕರೆಗಂಟೆಯೆಂದು
armagnox,ಆರ್ಮ್ಯಾಗ್ನಾಕ್ಸ್
kramita,ಕ್ರಮಿತ
