mathanggi,ꯃꯊꯪꯒꯤ
ngairaba,ꯉꯥꯢꯔꯕ
matamsi,ꯃꯇꯝꯁꯤ
paanglakkhi,ꯄꯥꯡꯂꯛꯈꯤ
gamestasutani,ꯒꯦꯝꯁꯇꯁꯨꯇꯅꯤ
haatnaribasidi,ꯍꯥꯠꯅꯔꯤꯕꯁꯤꯗꯤ
nifumanga,ꯅꯤꯐꯨꯃꯉꯥ
humfumangaa,ꯍꯨꯝꯐꯨꯃꯉꯥ
kalen,ꯀꯥꯂꯦꯟ
sangkuplei,ꯁꯪꯀꯨꯞꯂꯩ
leisen,ꯂꯩꯁꯦꯟ
kayaagasu,ꯀꯌꯥꯒꯁꯨ
loinana,ꯂꯣꯢꯅꯅ
mayekni,ꯃꯌꯦꯛꯅꯤ
leiribaa,ꯂꯩꯔꯤꯕꯥ
pandabi,ꯄꯥꯟꯗꯕꯤ
asingba,ꯑꯁꯤꯡꯕ
moriri,ꯃꯣꯔꯤꯔꯤ
phaonalon,ꯐꯥꯎꯅꯂꯣꯟ
phaoraknaba,ꯐꯥꯎꯔꯛꯅꯕ
hanba,ꯍꯟꯕ
taraamari,ꯇꯔꯥꯃꯔꯤ
fesbuk,ꯐꯦꯁꯕꯨꯛ
yanadabasidagisu,ꯌꯥꯅꯗꯕꯁꯤꯗꯒꯤꯁꯨ
chaagi,ꯆꯥꯒꯤ
kanglaa,ꯀꯪꯂꯥ
pisatao,ꯄꯤꯁꯥꯇꯥꯎ
changna,ꯆꯥꯡꯅ
ferzaulni,ꯐꯦꯔꯓꯥꯎꯜꯅꯤ
satanpa,ꯁꯥꯇꯥꯟꯄ
yotpaa,ꯌꯣꯠꯄꯥ
khuraigi,ꯈꯨꯔꯥꯢꯒꯤ
saion,ꯁꯥꯢꯑꯣꯟ
jaammu,ꯖꯥꯝꯃꯨ
phadigom,ꯐꯗꯤꯒꯣꯝ
tangna,ꯇꯥꯡꯅ
sumhatyai,ꯁꯨꯝꯍꯠꯌꯥꯢ
esheisinggi,ꯏꯁꯩꯁꯤꯡꯒꯤ
ngayare,ꯉꯥꯌꯔꯦ
jesusna,ꯖꯤꯖꯁꯅ
chanade,ꯆꯥꯅꯗꯦ
shorokhaibam,ꯁꯣꯔꯣꯛꯈꯥꯢꯕꯝ
mahammada,ꯃꯍꯝꯃꯗ
badgam,ꯕꯥꯗꯒꯥꯝ
teraapawaar,ꯇꯦꯔꯥꯄꯋꯥꯔ
khingbada,ꯈꯤꯡꯕꯗ
leikhom,ꯂꯩꯈꯣꯝ
taasinlaba,ꯇꯥꯁꯤꯟꯂꯕ
laampina,ꯂꯥꯝꯄꯤꯅ
chattharakliba,ꯆꯠꯊꯔꯛꯂꯤꯕ
sagolband,ꯁꯒꯣꯜꯕꯟ
eibu,ꯑꯩꯕꯨ
nupi,ꯅꯨꯄꯤ
lambelda,ꯂꯝꯕꯦꯜꯗ
tamodusu,ꯇꯥꯃꯣꯗꯨꯁꯨ
aduga,ꯑꯗꯨꯒ
jagoisaabi,ꯖꯒꯣꯢꯁꯥꯕꯤ
waakatcheiye,ꯋꯥꯀꯠꯆꯩꯌꯦ
kayatsidagi,ꯀꯌꯥꯠꯁꯤꯗꯒꯤ
anishi,ꯑꯅꯤꯁꯤ
loumigi,ꯂꯧꯃꯤꯒꯤ
eraan,ꯏꯔꯥꯟ
laanjao,ꯂꯥꯟꯖꯥꯎ
furupasinggi,ꯐꯨꯔꯨꯄꯁꯤꯡꯒꯤ
chibon,ꯆꯤꯕꯣꯟ
houjikphao,ꯍꯧꯖꯤꯛꯐꯥꯎ
pude,ꯄꯨꯗꯦ
yaobi,ꯌꯥꯎꯕꯤ
mafamsingga,ꯃꯐꯝꯁꯤꯡꯒ
matamdugi,ꯃꯇꯝꯗꯨꯒꯤ
atuki,ꯑꯇꯨꯀꯤ
khunung,ꯈꯨꯅꯨꯡ
museumda,ꯃ꯭ꯌꯨꯖꯤꯌꯝꯗ
madugi,ꯃꯗꯨꯒꯤ
rangda,ꯔꯪꯗ
taloibusu,ꯇꯥꯂꯣꯢꯕꯨꯨꯁꯨ
faada,ꯐꯥꯗ
matungdagidi,ꯃꯇꯨꯡꯗꯒꯤꯗꯤ
nungshibilaktagi,ꯅꯨꯡꯁꯤꯕꯤꯂꯛꯇꯒꯤ
longjam,ꯂꯣꯡꯖꯝ
sagardighira,ꯁꯥꯒꯔꯗꯤꯘꯤꯔ
saktakpham,ꯁꯛꯇꯥꯛꯐꯝ
phamlon,ꯐꯝꯂꯣꯟ
maphamga,ꯃꯐꯝꯒ
lakchei,ꯂꯥꯛꯆꯩ
pomchanba,ꯄꯣꯝꯆꯟꯕ
khangnaba,ꯈꯪꯅꯕ
lousilli,ꯂꯧꯁꯤꯜꯂꯤ
inga,ꯏꯉꯥ
geyagi,ꯒꯦꯌꯥꯒꯤ
ichakheina,ꯏꯆꯥꯈꯩꯅ
mateksinggi,ꯃꯇꯦꯛꯁꯤꯡꯒꯤ
mapaangsingna,ꯃꯄꯥꯡꯁꯤꯡꯅ
luipaa,ꯂꯨꯢꯄꯥ
kokphai,ꯀꯣꯛꯐꯥꯢ
khanggadaba,ꯈꯪꯒꯗꯕ
kuhei,ꯀꯨꯍꯩ
rasidentni,ꯔꯥꯁꯤꯗꯦꯟꯠꯅꯤ
carineada,ꯀꯦꯔꯤꯅꯤꯌꯥꯗ
lourakphamni,ꯂꯧꯔꯛꯐꯝꯅꯤ
lamlengi,ꯂꯝꯂꯦꯟꯒꯤ
lotkhidringei,ꯂꯣꯠꯈꯤꯗ꯭ꯔꯤꯉꯩ
humfumaapan,ꯍꯨꯝꯐꯨꯃꯥꯄꯟ
minglendi,ꯃꯤꯡꯂꯦꯟꯗꯤ
tajiki,ꯇꯥꯖꯤꯀꯤ
thaajanei,ꯊꯥꯖꯅꯩ
laobini,ꯂꯥꯎꯕꯤꯅꯤ
achana,ꯑꯆꯥꯅ
phao,ꯐꯥꯎ
swarga,ꯁ꯭ꯋꯔꯒ
kabya,ꯀꯥꯕ꯭ꯌ
khumancha,ꯈꯨꯃꯟꯆꯥ
manglamnida,ꯃꯥꯡꯂꯝꯅꯤꯗꯥ
yumnaam,ꯌꯨꯝꯅꯥꯝ
pokfam,ꯄꯣꯛꯐꯝ
laigi,ꯂꯥꯢꯒꯤ
pangthoklagi,ꯄꯥꯡꯊꯣꯛꯂꯒꯤ
pamheibagi,ꯄꯥꯝꯍꯩꯕꯒꯤ
kwaakna,ꯀ꯭ꯋꯥꯛꯅ
sindam,ꯁꯤꯟꯗꯝ
thamna,ꯊꯝꯅꯥ
mathel,ꯃꯊꯦꯜ
omsinduna,ꯑꯣꯝꯁꯤꯟꯗꯨꯅ
khainakhibagi,ꯈꯥꯢꯅꯈꯤꯕꯒꯤ
saklonni,ꯁꯛꯂꯣꯟꯅꯤ
adugumba,ꯑꯗꯨꯒꯨꯝꯕ
leecha,ꯂꯤꯆꯥ
suremphada,ꯁꯨꯔꯦꯝꯐꯥꯗ
mashuni,ꯃꯁꯨꯅꯤ
epuki,ꯏꯄꯨꯀꯤ
ipemma,ꯏꯄꯦꯝꯃ
kworagi,ꯀ꯭ꯋꯣꯔꯥꯒꯤ
mapaalgi,ꯃꯄꯥꯜꯒꯤ
phunggaawaarigi,ꯐꯨꯡꯒꯥꯋꯥꯔꯤꯒꯤ
okram,ꯑꯣꯀ꯭ꯔꯝ
leishak,ꯂꯩꯁꯛ
chupli,ꯆꯨꯞꯂꯤ
atingkok,ꯑꯇꯤꯡꯀꯣꯛ
saannaroising,ꯁꯥꯟꯅꯔꯣꯢꯁꯤꯡ
fabonga,ꯐꯕꯣꯉꯥ
donaal,ꯗꯣꯅꯥꯜ
awaashabasi,ꯑꯋꯥꯁꯕꯁꯤ
uitharure,ꯎꯏꯊꯔꯨꯔꯦ
hesiod,ꯍꯦꯁꯤꯌꯣꯗ
raski,ꯔꯥꯁꯀꯤ
phaaduna,ꯐꯥꯗꯨꯅ
loukhatlaga,ꯂꯧꯈꯠꯂꯒ
goutamkumaarna,ꯒꯧꯇꯝꯀꯨꯃꯥꯔꯅ
thamba,ꯊꯝꯕ
tudi,ꯇꯨꯗꯤ
bolum,ꯕꯣꯂꯨꯝ
panggallamba,ꯄꯥꯡꯒꯜꯂꯝꯕ
chaobana,ꯆꯥꯎꯕꯅ
naire,ꯅꯥꯢꯔꯦ
ristagi,ꯔꯤꯁꯇꯒꯤ
shenjam,ꯁꯦꯟꯖꯝ
lingkhatkhiba,ꯂꯤꯡꯈꯠꯈꯤꯕ
hellas,ꯍꯦꯜꯂꯥꯁ
najadi,ꯅꯖꯗꯤ
phantharaganu,ꯐꯟꯊꯔꯒꯅꯨ
taksinlami,ꯇꯛꯁꯤꯟꯂꯝꯏ
oigani,ꯑꯣꯢꯒꯅꯤ
laanmisinggi,ꯂꯥꯟꯃꯤꯁꯤꯡꯒꯤ
ayampa,ꯑꯌꯥꯝꯄ
sakhenbigi,ꯁꯛꯍꯦꯟꯕꯤꯒꯤ
thaapaalon,ꯊꯥꯄꯥꯂꯣꯟ
taoloinai,ꯇꯥꯎꯂꯣꯢꯅꯥꯢ
mukosa,ꯃꯨꯀꯣꯁꯥ
pangjaba,ꯄꯥꯡꯖꯕ
ing,ꯏꯪ
ilatpa,ꯏꯂꯥꯠꯄ
kachinda,ꯀꯥꯆꯤꯟꯗ
saapa,ꯁꯥꯄ
waangaang,ꯋꯥꯉꯥꯡ
athubaa,ꯑꯊꯨꯕꯥ
khullaakpigi,ꯈꯨꯜꯂꯥꯛꯄꯤꯒꯤ
phutbol,ꯐꯨꯠꯕꯣꯜ
nujaa,ꯅꯨꯖꯥ
wilhel,ꯋꯤꯜꯍꯦꯜ
sabbath,ꯁꯥꯕꯥꯊ
leingakka,ꯂꯩꯉꯥꯛꯀ
samchin,ꯁꯝꯆꯤꯟ
giftet,ꯒꯤꯐꯇꯦꯠ
achai,ꯑꯆꯥꯢ
latchaba,ꯂꯥꯠꯆꯕ
leikaak,ꯂꯩꯀꯥꯛ
ngambasi,ꯉꯝꯕꯁꯤ
ethatsing,ꯏꯊꯠꯁꯤꯡ
awataar,ꯑꯋꯇꯥꯔ
taraahumdoi,ꯇꯔꯥꯍꯨꯝꯗꯣꯢ
egyptki,ꯏꯖꯤꯞꯀꯤ
ojaasinggi,ꯑꯣꯖꯥꯁꯤꯡꯒꯤ
malia,ꯃꯥꯂꯤꯌꯥ
kaalakta,ꯀꯥꯂꯛꯇ
statesing,ꯁ꯭ꯇꯦꯠꯁꯤꯡ
ayaambadi,ꯑꯌꯥꯝꯕꯗꯤ
fatikom,ꯐꯇꯤꯀꯣꯝ
anini,ꯑꯅꯤꯅꯤ
thoudoklaga,ꯊꯧꯗꯣꯛꯂꯒ
melei,ꯃꯦꯂꯩ
ukhuna,ꯎꯈꯨꯅ
thoumeesingna,ꯊꯧꯃꯤꯁꯤꯡꯅ
sovetta,ꯁꯣꯚꯦꯠꯇ
humfutaraanipaan,ꯍꯨꯝꯐꯨꯇꯔꯥꯅꯤꯄꯥꯟ
achoubani,ꯑꯆꯧꯕꯅꯤ
chinaa,ꯆꯤꯅꯥ
hirenbu,ꯍꯤꯔꯦꯟꯕꯨ
maikeida,ꯃꯥꯢꯀꯩꯗ
chaanade,ꯆꯥꯅꯗꯦ
dragonsing,ꯗ꯭ꯔꯦꯒꯟꯁꯤꯡ
faduna,ꯐꯥꯗꯨꯅ
saogatli,ꯁꯥꯎꯒꯠꯂꯤ
pipaa,ꯄꯤꯄꯥ
umangda,ꯎꯃꯪꯗ
phanayamba,ꯐꯅꯌꯥꯝꯕ
mukni,ꯃꯨꯛꯅꯤ
hiktokpaa,ꯍꯤꯛꯇꯣꯛꯄꯥ
leikhaarol,ꯂꯩꯈꯥꯔꯣꯜ
mayanglangbam,ꯃꯌꯥꯡꯂꯥꯡꯕꯝ
radesi,ꯔꯥꯗꯦꯁꯤ
makhaagisingsini,ꯃꯈꯥꯒꯤꯁꯤꯡꯁꯤꯅꯤ
phongkha,ꯐꯣꯡꯈ
athoubabu,ꯑꯊꯧꯕꯕꯨ
queue,ꯀ꯭ꯌꯨ
langkagi,ꯂꯪꯀꯥꯒꯤ
hainu,ꯍꯥꯢꯅꯨ
ibi,ꯏꯕꯤ
birennaa,ꯕꯤꯔꯦꯟꯅꯥ
pegasus,ꯄꯦꯒꯥꯁꯁ
thamnanaba,ꯊꯝꯅꯅꯕ
machaibemma,ꯃꯆꯥꯏꯕꯦꯝꯃ
lairembina,ꯂꯥꯢꯔꯦꯝꯕꯤꯅ
maphamsidagi,ꯃꯐꯝꯁꯤꯗꯒꯤ
khudinggi,ꯈꯨꯗꯤꯡꯒꯤ
lepluba,ꯂꯦꯞꯂꯨꯕ
atekpa,ꯑꯇꯦꯛꯄ
thadoklamle,ꯊꯥꯗꯣꯛꯂꯝꯂꯦ
yenkondagi,ꯌꯦꯟꯀꯣꯟꯗꯒꯤ
puthokpusin,ꯄꯨꯊꯣꯛꯄꯨꯁꯤꯟ
anantanega,ꯑꯅꯟꯇꯅꯦꯒ
kharanadi,ꯈꯔꯅꯗꯤ
warriorgi,ꯋꯥꯔꯤꯌꯔꯒꯤ
waaheipareng,ꯋꯥꯍꯩꯄꯔꯦꯡ
nongmaigi,ꯅꯣꯡꯃꯥꯢꯒꯤ
jagoisabi,ꯖꯒꯣꯢꯁꯥꯕꯤ
houjik,ꯍꯧꯖꯤꯛ
thibada,ꯊꯤꯕꯗ
matouno,ꯃꯇꯧꯅꯣ
laanjaogi,ꯂꯥꯟꯖꯥꯎꯒꯤ
saahing,ꯁꯥꯍꯤꯡ
lairikki,ꯂꯥꯢꯔꯤꯛꯀꯤ
lailik,ꯂꯥꯢꯂꯤꯛ
awangba,ꯑꯋꯥꯡꯕ
laalhoulup,ꯂꯥꯜꯍꯧꯂꯨꯞ
mahaakna,ꯃꯍꯥꯛꯅ
mitamsingsu,ꯃꯤꯇꯝꯁꯤꯡꯁꯨ
wairakpam,ꯋꯥꯢꯔꯥꯛꯄꯝ
thaanaagi,ꯊꯥꯅꯥꯒꯤ
sikhare,ꯁꯤꯈꯔꯦ
namoinu,ꯅꯃꯣꯢꯅꯨ
singkhambam,ꯁꯤꯡꯈꯥꯡꯕꯝ
thijin,ꯊꯤꯖꯤꯟ
khaanongchupta,ꯈꯥꯅꯣꯡꯆꯨꯞꯇ
ladestadi,ꯂꯥꯗꯦꯁꯇꯗꯤ
matamsiga,ꯃꯇꯝꯁꯤꯒ
irenpungjao,ꯏꯔꯦꯟꯄꯨꯡꯖꯥꯎ
ning,ꯅꯤꯡ
laangban,ꯂꯥꯡꯕꯟ
humfutaramari,ꯍꯨꯝꯐꯨꯇꯔꯥꯃꯔꯤ
laakpagi,ꯂꯥꯛꯄꯒꯤ
puwaarigi,ꯄꯨꯋꯥꯔꯤꯒꯤ
paokhumjei,ꯄꯥꯎꯈꯨꯝꯖꯩ
uefa,ꯌꯨꯏꯑꯦꯐꯑꯦ
wahei,ꯋꯥꯍꯩ
sinotibetan,ꯁꯤꯅꯣꯇꯤꯕꯦꯇꯥꯟ
houchongba,ꯍꯧꯆꯣꯡꯕ
kangleichasing,ꯀꯪꯂꯩꯆꯥꯁꯤꯡ
chenbagidamak,ꯆꯦꯟꯕꯒꯤꯗꯃꯛ
unionda,ꯌꯨꯅꯤꯌꯟꯗ
thadatlu,ꯊꯗꯠꯂꯨ
sylhetta,ꯁꯤꯂꯦꯠꯇ
bagalaamukhi,ꯕꯒꯂꯥꯃꯨꯈꯤ
thoidingjam,ꯊꯣꯢꯗꯤꯡꯖꯝ
utlaga,ꯎꯠꯂꯒ
sardabagi,ꯁꯔꯗꯕꯒꯤ
thakpi,ꯊꯛꯄꯤ
anji,ꯑꯟꯖꯤ
sek,ꯁꯦꯛ
bachelor,ꯕꯦꯆꯤꯂꯔ
montu,ꯃꯣꯟꯇꯨ
romin,ꯔꯣꯃꯤꯟ
haangni,ꯍꯥꯡꯅꯤ
saktaakki,ꯁꯛꯇꯥꯛꯀꯤ
changba,ꯆꯪꯕ
olympico,ꯑꯂꯤꯝꯄꯤꯀꯣ
taabada,ꯇꯥꯕꯗ
sanalei,ꯁꯅꯥꯂꯩ
khangatlaba,ꯈꯟꯒꯠꯂꯕ
mayongi,ꯃꯌꯣꯟꯒꯤ
laanpao,ꯂꯥꯟꯄꯥꯎ
phangnaba,ꯐꯪꯅꯕ
sakambhari,ꯁꯥꯀꯝꯚꯔꯤ
fijol,ꯐꯤꯖꯣꯜ
takpadu,ꯇꯥꯛꯄꯗꯨ
marileinaba,ꯃꯔꯤꯂꯩꯅꯕ
khokngaangbi,ꯈꯣꯛꯉꯥꯡꯕꯤ
melem,ꯃꯦꯂꯦꯝ
makhoinina,ꯃꯈꯣꯢꯅꯤꯅ
chathok,ꯆꯥꯊꯣꯛ
meitreng,ꯃꯩꯇ꯭ꯔꯦꯡ
ruwari,ꯔꯨꯋꯥꯔꯤ
meeyaamne,ꯃꯤꯌꯥꯝꯅꯦ
khoriphabagi,ꯈꯣꯔꯤꯐꯥꯕꯒꯤ
yetnap,ꯌꯦꯠꯅꯞ
yaabasi,ꯌꯥꯕꯁꯤ
epuna,ꯏꯄꯨꯅ
phambaal,ꯐꯝꯕꯥꯜ
coley,ꯀꯣꯂꯤ
khundaribasing,ꯈꯨꯟꯗꯥꯔꯤꯕꯁꯤꯡ
khom,ꯈꯣꯝ
shanglen,ꯁꯪꯂꯦꯟ
unshagi,ꯎꯟꯁꯥꯒꯤ
maliyaapham,ꯃꯂꯤꯌꯥꯐꯝ
khundari,ꯈꯨꯟꯗꯥꯔꯤ
echaogi,ꯏꯆꯥꯎꯒꯤ
chuppada,ꯆꯨꯞꯄꯗ
thokpaa,ꯊꯣꯛꯄꯥ
yelhou,ꯌꯦꯜꯍꯧ
chaadiyan,ꯆꯥꯗꯤꯌꯟ
ashemwari,ꯑꯁꯦꯝꯋꯥꯔꯤ
pakpada,ꯄꯥꯛꯄꯗ
solelsangpam,ꯁꯣꯂꯦꯜꯁꯪꯄꯝ
maturumsi,ꯃꯇꯨꯔꯨꯝꯁꯤ
hinghanli,ꯍꯤꯡꯍꯟꯂꯤ
sanatona,ꯁꯅꯥꯇꯣꯅ
nungsikhraba,ꯅꯨꯡꯁꯤꯈ꯭ꯔꯕ
tarahumdoi,ꯇꯔꯥꯍꯨꯝꯗꯣꯢ
paksanna,ꯄꯥꯛꯁꯟꯅ
thambaal,ꯊꯝꯕꯥꯜ
matouni,ꯃꯇꯧꯅꯤ
ipuna,ꯏꯄꯨꯅ
eduna,ꯏꯗꯨꯅ
kollaga,ꯀꯣꯜꯂꯒ
yumnaak,ꯌꯨꯝꯅꯥꯛ
uthum,ꯎꯊꯨꯝ
laalhoulakpagi,ꯂꯥꯜꯍꯧꯂꯛꯄꯒꯤ
laangliba,ꯂꯥꯡꯂꯤꯕ
numitmata,ꯅꯨꯃꯤꯠꯃꯥꯇ
fanjai,ꯐꯟꯖꯥꯢ
mathun,ꯃꯊꯨꯟ
pigi,ꯄꯤꯒꯤ
waphamsi,ꯋꯥꯐꯝꯁꯤ
mayummakei,ꯃꯌꯨꯝꯃꯀꯩ
leiroi,ꯂꯩꯔꯣꯢ
laiyeng,ꯂꯥꯢꯌꯦꯡ
khaaki,ꯈꯥꯀꯤ
eroiganba,ꯏꯔꯣꯢꯒꯟꯕ
iratnarammi,ꯏꯔꯥꯠꯅꯔꯝꯃꯤ
chaanna,ꯆꯥꯟꯅ
siki,ꯁꯤꯀꯤ
narasingha,ꯅꯔꯁꯤꯡꯍ
nonggaron,ꯅꯣꯡꯒꯥꯔꯣꯟ
sihai,ꯁꯤꯍꯥꯢ
khuntaaleitaaramba,ꯈꯨꯟꯇꯥꯂꯩꯇꯥꯔꯝꯕ
thabaanda,ꯊꯕꯥꯟꯗ
lipid,ꯂꯤꯄꯤꯗ
manin,ꯃꯅꯤꯟ
ashumna,ꯑꯁꯨꯝꯅ
wangbadi,ꯋꯥꯡꯕꯗꯤ
yashoda,ꯌꯁꯣꯗꯥ
emaalon,ꯏꯃꯥꯂꯣꯟ
gavin,ꯒꯥꯚꯤꯟ
utkhi,ꯎꯠꯈꯤ
chingshubam,ꯆꯤꯡꯁꯨꯕꯝ
saataanpa,ꯁꯥꯇꯥꯟꯄ
supi,ꯁꯨꯄꯤ
athenski,ꯑꯦꯊꯦꯟꯁꯀꯤ
akaan,ꯑꯀꯥꯟ
ocena,ꯑꯣꯁꯤꯅꯥ
semlakpaga,ꯁꯦꯝꯂꯛꯄꯒ
juno,ꯖꯨꯅꯣ
poulomi,ꯄꯧꯂꯣꯃꯤ
landarakpada,ꯂꯥꯟꯗꯥꯔꯛꯄꯗ
ucheksingda,ꯎꯆꯦꯛꯁꯤꯡꯗ
loubukki,ꯂꯧꯕꯨꯛꯀꯤ
numidang,ꯅꯨꯃꯤꯗꯥꯡ
uroknaa,ꯎꯔꯣꯛꯅꯥ
ramayanda,ꯔꯥꯃꯥꯌꯟꯗ
khongtekchaa,ꯈꯣꯡꯇꯦꯛꯆꯥ
manaonupaa,ꯃꯅꯥꯎꯅꯨꯄꯥ
ipungngo,ꯏꯄꯨꯡꯉꯣ
edringeida,ꯏꯗ꯭ꯔꯤꯉꯩꯗ
eng,ꯏꯡ
laiyamsinggi,ꯂꯥꯢꯌꯥꯝꯁꯤꯡꯒꯤ
elai,ꯏꯂꯥꯢ
ufcda,ꯌꯨꯑꯦꯐꯁꯤꯗ
bharattiya,ꯚꯥꯔꯠꯇꯤꯌ
kangbuda,ꯀꯥꯡꯕꯨꯗ
yeiduna,ꯌꯩꯗꯨꯅ
chingjaosinggi,ꯆꯤꯡꯖꯥꯎꯁꯤꯡꯒꯤ
laoduna,ꯂꯥꯎꯗꯨꯅ
palchana,ꯄꯥꯜꯆꯥꯅ
kaanglupsingda,ꯀꯥꯡꯂꯨꯞꯁꯤꯡꯗ
thawaipanba,ꯊꯋꯥꯢꯄꯥꯟꯕ
ropical,ꯔꯣꯄꯤꯀꯦꯜ
thaadoknaraga,ꯊꯥꯗꯣꯛꯅꯔꯒ
liteng,ꯂꯤꯇꯦꯡ
kunthraamari,ꯀꯨꯟꯊ꯭ꯔꯥꯃꯔꯤ
angaangni,ꯑꯉꯥꯡꯅꯤ
ngaangba,ꯉꯥꯡꯕ
masanou,ꯃꯁꯥꯅꯧ
uheikol,ꯎꯍꯩꯀꯣꯜ
nakaamotonasu,ꯅꯀꯥꯃꯣꯇꯣꯅꯁꯨ
tambiri,ꯇꯝꯕꯤꯔꯤ
amai,ꯑꯃꯥꯢ
mamei,ꯃꯃꯩ
pangkhaa,ꯄꯪꯈꯥ
chatthabani,ꯆꯠꯊꯕꯅꯤ
kupnabasetpa,ꯀꯨꯞꯅꯕꯁꯦꯠꯄ
hurallaktuna,ꯍꯨꯔꯥꯜꯂꯛꯇꯨꯅ
asit,ꯑꯁꯤꯠ
haotongla,ꯍꯥꯎꯇꯣꯡꯂꯥ
sopdu,ꯁꯣꯞꯗꯨ
senli,ꯁꯦꯟꯂꯤ
litpa,ꯂꯤꯠꯄ
upugumba,ꯎꯄꯨꯒꯨꯝꯕ
puwaalisu,ꯄꯨꯋꯥꯂꯤꯁꯨ
kaahanduna,ꯀꯥꯍꯟꯗꯨꯅ
khangiba,ꯈꯪꯏꯕ
khutshaa,ꯈꯨꯠꯁꯥ
kandamata,ꯀꯟꯗꯃꯥꯇꯥ
thoui,ꯊꯧꯏ
panglagi,ꯄꯥꯡꯂꯒꯤ
phaajin,ꯐꯥꯖꯤꯟ
teraa,ꯇꯦꯔꯥ
irombada,ꯏꯔꯣꯝꯕꯗ
khongyaambi,ꯈꯣꯡꯌꯥꯝꯕꯤ
oibisingna,ꯑꯣꯢꯕꯤꯁꯤꯡꯅ
puwaali,ꯄꯨꯋꯥꯂꯤ
leiyek,ꯂꯩꯌꯦꯛ
palemni,ꯄꯂꯦꯝꯅꯤ
eseinachingbaga,ꯏꯁꯩꯅꯆꯤꯡꯕꯒ
semgatnarami,ꯁꯦꯝꯒꯠꯅꯔꯝꯏ
ebungo,ꯏꯕꯨꯉꯣ
pibasingsi,ꯄꯤꯕꯥꯁꯤꯡꯁꯤ
masunupaa,ꯃꯁꯨꯅꯨꯄꯥ
leikhaiyi,ꯂꯩꯈꯥꯢꯌꯤ
chanam,ꯆꯟꯅꯝ
indonesiagi,ꯏꯟꯗꯣꯅꯦꯁꯤꯌꯥꯒꯤ
sembasing,ꯁꯦꯝꯕꯁꯤꯡ
niphunipan,ꯅꯤꯐꯨꯅꯤꯄꯥꯟ
phangliba,ꯐꯪꯂꯤꯕ
kangluplakta,ꯀꯥꯡꯂꯨꯞꯂꯛꯇ
pukkeigi,ꯄꯨꯛꯀꯩꯒꯤ
thiyathou,ꯊꯤꯌꯥꯊꯧ
kayatni,ꯀꯌꯥꯠꯅꯤ
nongdi,ꯅꯣꯡꯗꯤ
maheisaa,ꯃꯍꯩꯁꯥ
shaasinggi,ꯁꯥꯁꯤꯡꯒꯤ
shakpi,ꯁꯛꯄꯤ
mathandani,ꯃꯊꯟꯗꯅꯤ
paangpham,ꯄꯥꯡꯐꯝ
ledanledan,ꯂꯦꯗꯟꯂꯦꯗꯟ
fangbasing,ꯐꯪꯕꯁꯤꯡ
kayaatsidagi,ꯀꯌꯥꯠꯁꯤꯗꯒꯤ
atum,ꯑꯇꯨꯝ
lamkhai,ꯂꯝꯈꯥꯢ
industa,ꯏꯟꯗꯁꯇ
historical,ꯍꯤꯁꯇꯣꯔꯤꯀꯦꯜ
thambaalgi,ꯊꯝꯕꯥꯜꯒꯤ
semgatchaba,ꯁꯦꯝꯒꯠꯆꯕ
atiyada,ꯑꯇꯤꯌꯥꯗ
pamludre,ꯄꯥꯝꯂꯨꯗ꯭ꯔꯦ
sakpi,ꯁꯛꯄꯤ
ngamkhidaba,ꯉꯝꯈꯤꯗꯕ
walu,ꯋꯥꯂꯨ
tamajaningai,ꯇꯃꯖꯅꯤꯉꯥꯢ
ngaksenduna,ꯉꯥꯛꯁꯦꯟꯗꯨꯅ
epaakki,ꯏꯄꯥꯛꯀꯤ
phampak,ꯐꯝꯄꯥꯛ
thambalnu,ꯊꯝꯕꯥꯜꯅꯨ
maangbagi,ꯃꯥꯡꯕꯒꯤ
saaphonghankhibi,ꯁꯥꯐꯣꯡꯍꯟꯈꯤꯕꯤ
shaktaakli,ꯁꯛꯇꯥꯛꯂꯤ
yaoi,ꯌꯥꯎꯏ
wosret,ꯋꯣꯁ꯭ꯔꯦꯠ
chaaba,ꯆꯥꯕ
rojek,ꯔꯣꯖꯦꯛ
yenglagadi,ꯌꯦꯡꯂꯒꯗꯤ
satli,ꯁꯥꯠꯂꯤ
khambal,ꯈꯝꯕꯜ
mapalda,ꯃꯄꯥꯜꯗ
thajaduna,ꯊꯥꯖꯗꯨꯅ
achotpa,ꯑꯆꯣꯠꯄ
warengsing,ꯋꯥꯔꯦꯡꯁꯤꯡ
lamsi,ꯂꯝꯁꯤ
paallamba,ꯄꯥꯜꯂꯝꯕ
afaoba,ꯑꯐꯥꯎꯕ
heisingba,ꯍꯩꯁꯤꯡꯕ
olympico,ꯑꯣꯂꯤꯝꯄꯤꯀꯣ
ningsinglubada,ꯅꯤꯡꯁꯤꯡꯂꯨꯕꯗ
laiyaamsinggi,ꯂꯥꯢꯌꯥꯝꯁꯤꯡꯒꯤ
sorokkhaibam,ꯁꯣꯔꯣꯛꯈꯥꯢꯕꯝ
aphrodite,ꯑꯦꯐ꯭ꯔꯣꯗꯥꯢꯠ
laamsinlaga,ꯂꯥꯝꯁꯤꯟꯂꯒ
lude,ꯂꯨꯗꯦ
bagan,ꯕꯥꯒꯥꯟ
imaada,ꯏꯃꯥꯗ
