uthithanti,ଉଠିଥାଆନ୍ତି
hackersmananku,ହ୍ୟାକର୍ସମାନଙ୍କୁ
infrastocture,ଇନ୍ଫ୍ରାଷ୍ଟକଚର
harapamanapreetanka,ହରପମନପ୍ରୀତଙ୍କ
digicienka,ଡିଜିସିଏଙ୍କ
durgostsaba,ଦୁର୍ଗୋତ୍ସବ
netam,ନେତମ
sandipana,ସନ୍ଦୀପନା
mahadarure,ମହାଦାରୁରେ
biramane,ବୀରମାନେ
intell,ଇଣ୍ଟେଲ୍
jogu,ଜୋଗୁ
parasuthiba,ପରସୁଥିବା
gulmargarh,ଗୁଲମାର୍ଗର
unnatilagi,ଉନ୍ନତିଲାଗି
hao,ହାଓ
swayampragya,ସ୍ୱୟଂପ୍ରଜ୍ଞା
prastaramaya,ପ୍ରସ୍ତରମୟ
machalo,ମାଛାଲୋ
irelander,ଆୟରଲ୍ୟାଣ୍ଡର
pihaniare,ପିହାଣିଆରେ
swidenara,ସ୍ୱିଡେନର
upajogitara,ଉପଯୋଗିତାର
blakaranka,ବ୍ଲାକରଙ୍କ
aparadhiku,ଅପରାଧିକୁ
tentabrijathaare,ଟେଣ୍ଟବ୍ରିଜଠାରେ
mrudulanka,ମୃଦୁଳଙ୍କ
bayoshree,ବୟୋଶ୍ରୀ
kantrolaraku,କଣ୍ଟ୍ରୋଲରକୁ
ligathila,ଲିଗାଥିଲା
brahmeshwaradebanka,ବ୍ରହ୍ମେଶ୍ୱରଦେବଙ୍କ
piera,ପିଏର
cgs,ସିଜିଏସ୍
zaragoza,ଜାରାଗୋଜା
suchananujayee,ସୁଚନାନୁଯାୟୀ
jibhare,ଜିଭରେ
charifutia,ଚାରିଫୁଟିଆ
pahanchaini,ପହଞ୍ଚାଇନି
dokanagudika,ଦୋକାନଗୁଡିକ
tabor,ତାବୋର
lahareeku,ଲହରୀକୁ
sourjyachakrare,ସୌର୍ଯ୍ୟଚକ୍ରରେ
tahasilaku,ତହସିଲକୁ
gandhabatira,ଗନ୍ଧବତୀର
sirajjuddhina,ସିରାଜ୍ଜୁଦ୍ଧିନ
lagauthanti,ଲଗାଉଥାନ୍ତି
sosalmedia,ସୋସାଲମିଡିଆ
nababarsa,ନବବର୍ଷ
posable,ପୋଜେବଲ୍
lekhagudikara,ଲେଖାଗୁଡ଼ିକର
majabhutaku,ମଜଭୁତକୁ
bujhiparilani,ବୁଝିପାରିଲାନି
lohaninku,ଲୋହାନିଙ୍କୁ
dwiguneeta,ଦ୍ୱିଗୁଣୀତ
abasarabele,ଅବସରବେଳେ
janiparithau,ଜାଣିପାରିଥାଉ
uthajibara,ଉଠାଯିବାର
aathaletikare,ଆଥଲେଟିକରେ
manalire,ମନାଲିରେ
tamama,ତମାମା
rastanathibaru,ରାସ୍ତାନଥିବାରୁ
chandilire,ଚାନ୍ଦିଲିରେ
gomansha,ଗୋମାଂଶ
sadhanakarmee,ସାଧନକର୍ମୀ
aajamal,ଆଜମଲ୍
joggers,ଜଗର୍ସ
mirka,ମିର୍କା
katahoigala,କଟାହୋଇଗଲା
pukimska,ପୁକିମସ୍କା
baktabyaru,ବକ୍ତବ୍ୟରୁ
tejapurare,ତେଜପୁରରେ
daakani,ଡାକନି
uttaradayitwabodha,ଉତ୍ତରଦାୟିତ୍ୱବୋଧ
jaundhar,ଜଉନ୍ଧର
jathabata,ଯଥାବତ
chatuhparshara,ଚତୁଃପାର୍ଶର
bachhabicharaku,ବାଛବିଚାରକୁ
antarbhuktikaranare,ଅନ୍ତର୍ଭୁକ୍ତିକରଣରେ
thisaranka,ଥିସାରାଙ୍କ
khatika,ଖଟିକ
mahabalabana,ମହାବଳବାନ
bhogaon,ଭୋଗାଓଁ
moiunuddin,ମୋଇନୁଦ୍ଦିନ
gontia,ଗୋନ୍ତିଆ
chauliaganjsthita,ଚାଉଳିଆଗଞ୍ଜସ୍ଥିତ
dkf,ଡିକେଏଫ୍
jamieson,ଜେମିସନ୍
shreelankabaseenka,ଶ୍ରୀଲଙ୍କାବାସୀଙ୍କ
nalda,ନାଲଦା
superspot,ସୁପରସ୍ପୋଟ୍
padmaranjan,ପଦ୍ମରଞ୍ଜନ
patshag,ପାଟଶାଗ
celife,ସେଲିଫ
mahadurniteera,ମହାଦୁର୍ନିତୀର
kudus,କୁଦୁସ
karithaen,କରିଥାଏଁ
janakidas,ଜାନକୀଦାସ
sadarna,ସଦର୍ଣ୍ଣ
artharashitharu,ଅର୍ଥରାଶିଠାରୁ
rastramantreera,ରାଷ୍ଟ୍ରମନ୍ତ୍ରୀର
singapurarod,ସିଙ୍ଗାପୁରରୋଡ୍
shailpika,ଶୈଳ୍ପିକ
purbatanamantri,ପୁର୍ବତନମନ୍ତ୍ରୀ
ratnabati,ରତ୍ନାବତୀ
saburu,ସବୁରୁ
kakhyajae,କକ୍ଷଯାଏ
padichhe,ପଡିଛେ
shreemadbhagabat,ଶ୍ରୀମଦ୍ଭାଗବତ୍
sureebabunka,ସୁରୀବାବୁଙ୍କ
ageichalithiba,ଆଗେଇଚାଲିଥିବା
rahirkar,ରାହିରକର
chennaiku,ଚେନ୍ନାଇକୁ
swadhwee,ସ୍ୱାଧ୍ୱୀ
pentapati,ପେନ୍ତାପତି
nakholajiba,ନଖୋଲାଯିବା
milibare,ମିଳିବାରେ
byadhitharu,ବ୍ୟାଧିଠାରୁ
janataku,ଜନତାକୁ
tareira,ତରେଇର
nigha,ନିଘା
bandei,ବନ୍ଦେଇ
boxica,ବକ୍ସିକା
asadharanbhabe,ଅସାଧାରଣଭାବେ
ranapa,ରଣପା
abhijogakari,ଅଭିଯୋଗକାରୀ
jipmer,ଜିପମର
bebylonia,ବେବିଲୋନିଆ
sehijananka,ସେହିଜଣଙ୍କ
atadare,ଅତଡ଼ାରେ
bhagaphalare,ଭାଗଫଳରେ
gabeshakadalara,ଗବେଷକଦଳର
manabajukta,ମାନବଯୁକ୍ତ
niyamabali,ନିୟମାବଳି
malawi,ମାଲାୱି
dolipurare,ଡୋଲିପୁରରେ
prakrutithu,ପ୍ରକୃତିଠୁ
upararaigada,ଉପରରାଇଗଡା
accident,ଆକ୍ସିଡେଂଟ
technician,ଟେକନିସିୟାନ୍
refress,ରିଫ୍ରେସ
depatment,ଡିପାଟମେଣ୍ଟ୍
altimatum,ଅଲ୍ଟିମେଟମ
setharaprati,ସେଥରପ୍ରତି
uleikundira,ଉଲେଇକୁଣ୍ଡିର
bisashatah,ବିଶଷତଃ
banijyaka,ବାଣିଜ୍ୟକ
rahiluni,ରହିଲୁଣି
tomy,ଟୋମୀ
yunabhasiti,ୟୁନଭସିଟି
kaduani,କାଦୁଆଣି
garnis,ଗାର୍ନିସ
prachandaru,ପ୍ରଚଣ୍ଡରୁ
saraswatipuja,ସରସ୍ୱତୀପୂଜା
railbaiku,ରେଲବାଇକୁ
bismitaku,ବିସ୍ମିତାକୁ
linch,ଲିଞ୍ଚ
baksaramane,ବକ୍ସରମାନେ
ashchirjya,ଆଶ୍ଚିର୍ଯ୍ୟ
airdifence,ଏୟାରଡିଫେନ୍ସ
laparoscopy,ଲାପ୍ରୋସ୍କୋପି
istanabul,ଇସ୍ତାନାବୁଲ
dakithibaru,ଡାକିଥିବାରୁ
aparadhajanita,ଅପରାଧଜନିତ
astopachara,ଅସ୍ତୋପଚାର
piajauthiba,ପିଆଯାଉଥିବା
bhimabarase,ଭୀମବାରସେ
chattered,ଚାଟର୍ଡ
jonga,ଜୋଙ୍ଗ
postingaku,ପୋଷ୍ଟିଙ୍ଗକୁ
kauchi,କାଉଚି
nirbodha,ନିର୍ବୋଧ
ujwalataku,ଉଜ୍ୱଳତାକୁ
bhumibolanka,ଭୂମିବୋଲଙ୍କ
papalaku,ପପଲାକୁ
golaparu,ଗୋଲାପରୁ
kinunathibaru,କିଣୁନଥିବାରୁ
mafiamane,ମାଫିଆମାନେ
pathriku,ପାଥ୍ରିକୁ
shataddhire,ଶତାଦ୍ଧିରେ
swiminga,ସ୍ବିମିଙ୍ଗ
ayushmantri,ଆୟୁଷମନ୍ତ୍ରୀ
janagahaliru,ଜନଗହଳିରୁ
abajektibh,ଅବଜେକ୍ଟିଭ୍
kusumadihire,କୁସୁମଡିହିରେ
abhakta,ଅଭକ୍ତ
julaiku,ଜୁଲାଇକୁ
rahasyadiku,ରହସ୍ୟାଦିକୁ
segudaka,ସେଗୁଡାକ
shirshasana,ଶୀର୍ଷାସନ
subarnapur,ସୁବର୍ଣ୍ଣପୁରର
oushadhathu,ଔଷଧଠୁ
nandanabiharabasi,ନନ୍ଦନବିହାରବାସୀ
achaljanita,ଅଚଳଜନିତ
jatropharu,ଜାଟ୍ରୋଫାରୁ
karjyapantha,କାର୍ଯ୍ୟପନ୍ଥ
arthabisheshagya,ଅର୍ଥବିଶେଷଜ୍ଞ
delhira,ଦିଲ୍ଲୀର
aaintah,ଆଇନ୍ତଃ
huaiku,ହୁଆଇକୁ
dekheibaku,ଦେଖେଇବାକୁ
bhalubahal,ଭାଲୁବାହାଲ
jalasta,ଜଳସ୍ତ
chandradhar,ଚନ୍ଦ୍ରଧର
bhagabateepurare,ଭଗବତୀପୁରରେ
shagrahanakareenka,ଶଗ୍ରହଣକାରୀଙ୍କ
saito,ସାଇଟୋ
hommer,ହୋମର
samitimananku,ସମିତିମାନଙ୍କୁ
farhadi,ଫରହାଦୀ
kantabahala,କଣ୍ଟାବାହାଳ
shashcomenter,ଶାସକମେଣ୍ଟର
mahakei,ମହକେଇ
jyertibidya,ଜ୍ୟେର୍ତିବିଦ୍ୟା
bansidhari,ବଂଶୀଧାରୀ
suchanaku,ସୁଚନାକୁ
ramalalanka,ରାମଲାଲାଙ୍କ
jotsa,ଜୋତ୍ସା
lokamanankapakhare,ଲୋକମାନଙ୍କପାଖରେ
kriketaramane,କ୍ରିକେଟରମାନେ
ratnaprabha,ରତ୍ନପ୍ରଭା
hoirahipariba,ହୋଇରହିପାରିବ
hoisudha,ହୋଇସୁଦ୍ଧା
anusaranakareenka,ଅନୁସରଣକାରୀଙ୍କ
kulikam,କୁଳିକାମ
shubhijae,ଶୁଭିଯାଏ
tsahita,ତ୍ସାହିତ
junedanka,ଜୁନେଦଙ୍କ
naliranga,ନାଲିରଙ୍ଗ
bigyaptinku,ବିଜ୍ଞପ୍ତିଙ୍କୁ
sachibanka,ସଚ୍ଚିବଙ୍କ
kurumpuri,କୁରୁମପୁରୀ
bankhidi,ବାଙ୍ଖିଡି
patranama,ପତ୍ରନାମା
gynaecology,ଗାଇନାକୋଲୋଜି
parbata,ପାର୍ବତ
janiparina,ଜାଣିପାରିନ
matraku,ମାତ୍ରାକୁ
dhanmati,ଧନମତି
pirika,ପିରିକା
siddhisankalpa,ସିଦ୍ଧିସଂକଳ୍ପ
pahanchaidebaku,ପହଞ୍ଚାଇଦେବାକୁ
tankite,ଟଙ୍କିଟେ
phlecharanka,ଫ୍ଲେଚରଙ୍କ
tenpin,ଟେନପିନ୍
aswasalare,ଅଶ୍ୱଶାଳାରେ
payalshree,ପାୟଲଶ୍ରୀ
jhaduapadara,ଝାଡ଼ୁଆପଡ଼ାର
kundukela,କୁଣ୍ଡୁକେଲା
uparajhaapi,ଉପରଝାପି
actib,ଆକ୍ଟିବ୍
bargayning,ବାର୍ଗେନିଂ
kanamaraj,କାନାମରାଜ
biswapasiddha,ବିଶ୍ୱପସିଦ୍ଧ
mahasamaraku,ମହାସମରକୁ
debapurusa,ଦେବପୁରୁଷ
aalasyapana,ଆଳସ୍ୟପଣ
rasthrapati,ରାଷ୍ଠ୍ରପତି
centralized,ସେଣ୍ଟ୍ରାଲାଇଜଡ
mariappan,ମରିପ୍ପାନ
dau,ଦାଉ
sammicheena,ସମ୍ମିଚୀନ
sahibastire,ସାହିବସ୍ତିରେ
teertharajanku,ତୀର୍ଥରାଜଙ୍କୁ
bhangipaduchhi,ଭାଙ୍ଗିପଡୁଛି
lagihoichhi,ଲାଗିହୋଇଛି
aakashankatharu,ଆକାଶଙ୍କଠାରୁ
chusaki,ଚୁସକି
antarjati,ଅନ୍ତର୍ଜାତୀ
bahuna,ବାହୁନା
cardburies,କାର୍ଡବ୍ୟୁରିଜ୍
nahash,ନାହଶ
prasiddhira,ପ୍ରସିଦ୍ଧିର
mutrarodha,ମୂତ୍ରରୋଧ
karkatarogaru,କର୍କଟରୋଗରୁ
jogaithibaru,ଯୋଗାଇଥିବାରୁ
deeptiprakasha,ଦୀପ୍ତିପ୍ରକାଶ
kathakathake,କଥାକଥାକେ
ojonastara,ଓଜୋନସ୍ତର
jaleswarapurara,ଜଳେଶ୍ୱରପୁରର
aatmabiswasare,ଆତ୍ମବିଶ୍ୱାସରେ
biribati,ବିରିବାଟି
kujendrire,କୁଜେନ୍ଦ୍ରିରେ
pistula,ପିଷ୍ଟୁଲା
kaunsilara,କାଉଂସିଲର
skwadranara,ସ୍କ୍ବାଡ୍ରନର
khadagenku,ଖଡଗେଙ୍କୁ
okilankara,ଓକିଲଙ୍କର
juaarare,ଜୁଆରରେ
maneheuthila,ମନେହେଉଥିଲା
nadele,ନଦେଲେ
sabiku,ସବିକୁ
shabnamdeep,ଶବନମଦୀପ
jhulinku,ଝୁଲିଙ୍କୁ
beyonce,ବେୟୋନ୍ସ
duhkhishyama,ଦୁଃଖିଶ୍ୟାମ
gadhabare,ଗଢବାରେ
taarane,ତାରଣେ
akhnuraru,ଅଖନୁରରୁ
rfam,ର୍ଫାମ
chadeibaku,ଛଡେଇବାକୁ
debasmitara,ଦେବସ୍ମିତାର
saptamadhipa,ସପ୍ତମାଧିପ
buletinre,ବୁଲେଟିନ୍ରେ
khyayakhyatijanita,କ୍ଷୟକ୍ଷତିଜନିତ
chhaprare,ଛାପ୍ରାରେ
okenden,ଓକେନଡେନ
sapingre,ସପିଂରେ
sachibalayaru,ସଚ୍ଚିବାଳୟରୁ
padirahithae,ପଡ଼ିରହିଥାଏ
enakauntarare,ଏନକାଉଂଟରରେ
sangeetara,ସଙ୍ଗୀତର
bayuseemara,ବାୟୁସୀମାର
noorpa,ନୂର୍ପା
sobita,ସୋବିତା
aainaare,ଆଇନାରେ
bunakaramanankara,ବୁଣାକାରମାନଙ୍କର
bishamkatkar,ବିଷମକଟକର
mafalaramyananka,ମଫଲରମ୍ୟାନଙ୍କ
samishranare,ସମିଶ୍ରଣରେ
nangarahara,ନଙ୍ଗରହାର
gopalakrishnan,ଗୋପାଳକୃଷ୍ଣନ
kumurshinga,କୁମୁର୍ଶିଙ୍ଗା
upadestamananka,ଉପଦେଷ୍ଟାମାନଙ୍କ
jalajantu,ଜଳଜନ୍ତୁ
sukudu,ସୁକୁଡୁ
lidaramananka,ଲିଡରମାନଙ୍କ
dablupiyu,ଡବ୍ଲୁପିୟୁ
pagbharu,ପଗ୍ଭରୁ
kusanganka,କୁସାଙ୍ଗଙ୍କ
jeebanumananka,ଜୀବାଣୁମାନଙ୍କ
mukarari,ମୁକରରି
sildare,ସିଲ୍ଡରେ
jaure,ଜାଉରେ
krishnamurthi,କୃଷ୍ଣମୂର୍ତ୍ତୀ
nusthita,ନୁଷ୍ଠିତ
bundled,ବଣ୍ଡଲଡ୍
malisare,ମାଲିସରେ
balkrishnan,ବାଲାକ୍ରିଷ୍ଣନ୍
kamalakrishna,କମଳକୃଷ୍ଣ
netrutwanei,ନେତୃତ୍ୱନେଇ
bichhajaisarichhi,ବିଛାଯାଇସାରିଛି
debabanihoithila,ଦେବବାଣିହୋଇଥିଲା
abhenjara,ଅଭେଞ୍ଜର
nasoibaku,ନଶୋଇବାକୁ
gone,ଗୋନେ
khannanku,ଖାନ୍ନାଙ୍କୁ
balabhogare,ବାଳଭୋଗରେ
ferilu,ଫେରିଲୁ
sheetadinaku,ଶୀତଦିନକୁ
lekhila,ଲେଖିଲା
mulyankita,ମୂଲ୍ୟାଙ୍କିତ
farabeshanka,ଫରବେଶଙ୍କ
jisiku,ଜିସିକୁ
labharthimananku,ଲାଭାର୍ଥୀମାନଙ୍କୁ
kazigund,କାଜିଗୁଣ୍ଡ୍
surayamayee,ସୁରୟମୟୀ
soundarjyarashiku,ସୌନ୍ଦର୍ଯ୍ୟରାଶିକୁ
fruxy,ଫ୍ରକ୍ସି
dumba,ଡୁମ୍ବା
mundapadara,ମୁଣ୍ଡାପଦର
nilamaniku,ନୀଳମଣିକୁ
bisphoranasthalare,ବିସ୍ଫୋରଣସ୍ଥଳରେ
eocene,ଇଓସିନ୍
hoithiha,ହୋଇଥିହା
duguni,ଦୁଗୁନି
treedebanka,ତ୍ରୀଦେବଙ୍କ
bhangaba,ଭାଙ୍ଗବ
jameichi,ଜମେଇଛି
mandey,ମାଣ୍ଡେ
chanpur,ଚନପୁର
cush,କୂଶ୍
nihalaneenku,ନିହଲାନୀଙ୍କୁ
pudinaku,ପୁଦିନାକୁ
kholibapare,ଖୋଳିବାପରେ
shodasheenku,ଷୋଡଶୀଙ୍କୁ
hatimundara,ହାତୀମୁଣ୍ଡାର
jayapuru,ଜୟପୁରୁ
parikhyathimane,ପରୀକ୍ଷାଥିମାନେ
grishmadina,ଗ୍ରୀଷ୍ମଦିନ
nirantarare,ନିରନ୍ତରରେ
archie,ଆର୍ଚ୍ଚି
shantasta,ଶାନ୍ତସ୍ତ
societeru,ସୋସାଇଟରୁ
manohara,ମନୋହରା
equality,ଇକ୍ୱାଲିଟି
nolojire,ନୋଲୋଜିରେ
madelathu,ମଡେଲଠୁ
cdfd,ସିଡିଏଫଡି
hajichhi,ହଜିଛି
probhijanal,ପ୍ରୋଭିଜନାଲ୍
adri,ଏଡିଆରଆଇ
gundae,ଗୁଣ୍ଡାଏ
satyabada,ସତ୍ୟବାଦ
ehithira,ଏହିଥିର
sudharagruhare,ସୁଧାରଗୃହରେ
rovarsaku,ରୋଭର୍ସକୁ
asthitwaku,ଅସ୍ଥିତ୍ବକୁ
chikamangalura,ଚିକମଙ୍ଗଲୁର
bijara,ବିଜାର
stadiamathare,ଷ୍ଟାଡିଅମଠାରେ
rasulan,ରସୁଲାନ୍
lagiparinathila,ଲାଗିପାରିନଥିଲା
upujuthile,ଉପୁଜୁଥିଲେ
sebhanku,ସେଭାଙ୍କୁ
nirdharakamananku,ନିର୍ଦ୍ଧାରକମାନଙ୍କୁ
strual,ଷ୍ଟ୍ରୁଆଲ
inni,ଇନ୍ନି
rajanarttakeenka,ରାଜନର୍ତ୍ତକୀଙ୍କ
cliff,କ୍ଲିଫ୍
keechakeswaree,କୀଚକେଶ୍ୱରୀ
gatiheena,ଗତିହୀନ
nasikasthita,ନାସିକସ୍ଥିତ
hatudire,ହାତୁଡ଼ିରେ
toled,ଟୋଲଡ୍
waterless,ୱାଟରଲେସ୍
ogalila,ଓଗାଳିଲା
swakhyara,ସ୍ୱକ୍ଷର
gridcore,ଗ୍ରୀଡକୋର
deepalanka,ଦୀପଲଙ୍କ
ratikantanku,ରତିକାନ୍ତଙ୍କୁ
teerkinku,ତୀର୍କିଙ୍କୁ
aakankabadeenku,ଆକଙ୍କବାଦୀଙ୍କୁ
mahabirapatana,ମହାବୀରପାଟଣା
paramaribo,ପାରାମାରିବୋ
gobindarajulu,ଗୋବିନ୍ଦରାଜୁଲୁ
sukanti,ସୁକାନ୍ତୀ
kariku,କାରିକୁ
hoithanti,ହୋଇଥାଆନ୍ତି
adhapakamane,ଅଧାପକମାନେ
panchayatiraja,ପଂଚାୟତିରାଜ
kalyane,କଲ୍ୟାଣେ
potihoijaithiba,ପୋତିହୋଇଯାଇଥିବା
souhardha,ସୌହାର୍ଦ୍ଧ
girdurga,ଗିରିଦୁର୍ଗା
torrento,ଟରେଣ୍ଟୋ
pahanchibasaha,ପହଂଚିବାସହ
daudileni,ଦୌଡିଲେଣି
mohanapada,ମୋହନପଡା
chulbuli,ଚୁଲବୁଲୀ
tajikastanaku,ତାଜିକସ୍ତାନକୁ
chuapaniku,ଚୁଆପାଣିକୁ
tripurasundarinka,ତ୍ରିପୁରାସୁନ୍ଦରୀଙ୍କ
badahinduraora,ବଡାହିନ୍ଦୁରାଓର
shreebalram,ଶ୍ରୀବଳରାମ
bahibara,ବହିବାର
agnideepta,ଅଗ୍ନିଦୀପ୍ତ
sehensa,ସେହେନ୍ସା
pathasahita,ପାଠସହିତ
brundaku,ବୃନ୍ଦକୁ
median,ମେଡିଆନ
nabannaku,ନବାନ୍ନକୁ
kahinathibaru,କହିନଥିବାରୁ
batabhoga,ବାଟଭୋଗ
bakyamana,ବାକ୍ୟମାନ
hermonal,ହରମୋନାଲ
banijika,ବାଣିଜିକ
pataku,ପଟକୁ
bps,ବିପିଏସ୍
henanku,ହେନାଙ୍କୁ
tuleere,ତୁଳୀରେ
gangankara,ଗଙ୍ଗାଙ୍କର
mahoharpur,ମହୋହରପୁର
jodajibaku,ଯୋଡାଯିବାକୁ
shehan,ସେହାନ
jadupurasthita,ଯଦୁପୁରସ୍ଥିତ
bolaramane,ବୋଲରମାନେ
toyo,ଟୋୟୋ
swaminarayan,ସ୍ବାମୀନାରାୟଣ
pasportare,ପାସ୍ପୋର୍ଟରେ
sikdara,ସିକ୍ଦାର
nakandi,ନକାନ୍ଦି
bimli,ବିମଲି
uparare,ଉପରରେ
zinedine,ଜିନେଦିନ୍
dwisataka,ଦ୍ବିଶତକ
arbitory,ଆର୍ବିଟୋରି
labharthi,ଲାଭାର୍ଥୀ
bajari,ବାଜାରୀ
naschinta,ନଶ୍ଚିନ୍ତା
vvs,ଭିଭିଏସ୍
sambhalilani,ସମ୍ଭାଳିଲାନି
gadatiankatharu,ଗଡ଼ତିଆଙ୍କଠାରୁ
jeebasakalanka,ଜୀବସକଳଙ୍କ
manabad,ମାନାବାଦ୍
nitihina,ନୀତିହିନ
hasinara,ହସିନାର
gugulire,ଗୁଗୁଲିରେ
memorandamare,ମେମୋରାଣ୍ଡମରେ
moninku,ମୋନିଙ୍କୁ
kariparibu,କରିପାରିବୁ
nirolaku,ନିରୋଳାକୁ
khelalinkatharu,ଖେଳାଳିଙ୍କଠାରୁ
rahita,ରହିତା
barmankara,ବର୍ମାଙ୍କର
saharanchara,ସହରାଞ୍ଚର
bibhukalyana,ବିଭୁକଲ୍ୟାଣ
mahadrumare,ମହାଦ୍ରୁମରେ
kotaralaga,କୋତରାଲଗା
bambethare,ବମ୍ବେଠାରେ
khandekar,ଖାଣ୍ଡେକର
bimanamandararu,ବିମାନମନ୍ଦରରୁ
tinkunku,ଟିଙ୍କୁଙ୍କୁ
dashamulamodaka,ଦଶମୂଳମୋଦକ
faizabad,ଫଇଜାବାଦ୍
rachaibara,ରଚାଇବାର
kariasibaku,କରିଆସିବାକୁ
khaijiba,ଖାଇଯିବା
batijauthiba,ବଟିଯାଉଥିବା
chadhilani,ଚଢିଲାଣି
byapeepare,ବ୍ୟାପୀପାରେ
eklasia,ଏକଲାସିଆ
dekibaku,ଦେକିବାକୁ
gemingaku,ଗେମିଙ୍ଗକୁ
parisikharaku,ପାରିଶିଖରକୁ
gutte,ଗୁଟ୍ଟେ
mogalamane,ମୋଗଲମାନେ
padamapurare,ପଦମପୁରରେ
twarannita,ତ୍ୱରାନ୍ନିତ
gentello,ଜେଣ୍ଟେଲୋ
biddhibiddha,ବିଦ୍ଧିବିଦ୍ଧ
gabharnarara,ଗଭର୍ଣ୍ଣରର
ghaudaichhi,ଘଉଡାଇଛି
sammaniya,ସମ୍ମାନିୟ
teerthamananka,ତୀର୍ଥମାନଙ୍କ
fernace,ଫର୍ନେସ୍
chhotaku,ଛୋଟକୁ
chapajaichi,ଛପାଯାଇଛି
pushkarineetharu,ପୁଷ୍କରିଣୀଠାରୁ
krunal,କୃନାଲ୍
potihoigali,ପୋତିହୋଇଗଲି
scso,ଏସସିଏସଓ
sanskrutadhwani,ସଂସ୍କୃତଧ୍ବନି
romanchakara,ରୋମାଂଚକର
machachashi,ମାଛଚାଷୀ
kanjibaram,କାଞ୍ଜିବରମ
nishchitapurare,ନିଶ୍ଚିତପୁରରେ
golakonda,ଗୋଲକୋଣ୍ଡା
chandanku,ଚନ୍ଦଙ୍କୁ
jurikaru,ଜୁରିକରୁ
deithie,ଦେଇଥିଏ
baniparithila,ବନିପାରିଥିଲା
milur,ମିଲୁର
surtal,ସୁରତାଲ୍
subartara,ସୁବାର୍ତାର
debatwabhilashee,ଦେବତ୍ବାଭିଳାଷୀ
bandaranchal,ବନ୍ଦରାଞ୍ଚଳ
bandai,ବନ୍ଦାଇ
chikte,ଚିକ୍ଟେ
pashubat,ପଶୁବତ୍
satyabiharaku,ସତ୍ୟବିହାରକୁ
ladhunathile,ଲଢୁନଥିଲେ
gobindanka,ଗୋବିନ୍ଦାଙ୍କ
tangarapalisthita,ଟାଙ୍ଗରପାଲିସ୍ଥିତ
preta,ପ୍ରେଟା
baikamanankare,ବାଇକମାନଙ୍କରେ
polioru,ପୋଲିଓରୁ
bhabanishankara,ଭବାନୀଶଙ୍କର
raktashoshi,ରକ୍ତଶୋଷୀ
premakumaranka,ପ୍ରେମକୁମାରଙ୍କ
holdersnka,ହୋଲ୍ଡର୍ସଙ୍କ
jyuketiv,ଜ୍ୟୁକେଟିଭ୍
experimental,ଏକ୍ସପେରିମେଂଟାଲ
sambhrantanka,ସମ୍ଭ୍ରାନ୍ତଙ୍କ
chaturmukh,ଚତୁର୍ମୁଖ
ohior,ଓହିୟୋର
abedanakareenka,ଅବେଦନକାରୀଙ୍କ
driveraru,ଡ୍ରାଇଭରରୁ
kalabela,କାଳବେଳା
sarabuddin,ସରାବୁଦ୍ଦିନ
bolaibara,ବୋଲାଇବାର
bulandasahara,ବୁଲନ୍ଦଶହର
jibhara,ଜିଭର
purauchhi,ପୁରାଉଛି
kurmanur,କୁର୍ମାନୁର
utkataru,ଉତ୍କଟରୁ
abarjana,ଅବର୍ଜନା
hatibadi,ହାତୀବାଡ଼ି
mallira,ମଲ୍ଲୀର
sukmotin,ସୁକମୋତିନ
sainsar,ସାଇନସର
pradarshanapoorbaka,ପ୍ରଦର୍ଶନପୂର୍ବକ
masarara,ମାସରର
sukhlal,ସୁଖଲାଲ
madadwara,ମଦଦ୍ୱାରା
confident,କନଫିଡେଣ୍ଟ
fost,ଫୋଷ୍ଟ
netrumandaleenka,ନେତୃମଣ୍ଡଳୀଙ୍କ
samaroharu,ସମାରୋହରୁ
gunthunee,ଗୁଣ୍ଠୁଣୀ
otha,ଓଠା
starkanku,ଷ୍ଟାର୍କଙ୍କୁ
bhagabatipur,ଭଗବତୀପୁର
kiyare,କିୟାରେ
phulana,ଫୁଲନ
preetinkara,ପ୍ରୀତିଙ୍କର
dumas,ଡୁମାସ
sparshakataara,ସ୍ପର୍ଶକତାର
kamel,କାମେଲ
mahamanisheenka,ମହାମନିଷୀଙ୍କ
sitaarare,ସିତାରରେ
dhanurdharee,ଧନୁର୍ଦ୍ଧାରୀ
khukhila,ଖୁଖିଲା
srimandira,ଶ୍ରୀମନ୍ଦିର
merudanda,ମେରୁଦଣ୍ଡ
banjararu,ବଞ୍ଜାରାରୁ
kalandipatana,କାଳନ୍ଦିପାଟଣା
utpadakari,ଉତ୍ପାଦକାରୀ
clavetor,କ୍ଲାଭେଟର୍
apuraniya,ଅପୂରଣୀୟ
shrungala,ଶୃଙ୍ଗଳା
andarsananku,ଆଣ୍ଡର୍ସନଙ୍କୁ
gyanakeshala,ଜ୍ଞାନକେଶଳ
stoinis,ଷ୍ଟଇନିସ
talasiru,ତଲାସୀରୁ
anuskanka,ଅନୁସ୍କାଙ୍କ
deergheeyu,ଦୀର୍ଘୀୟୁ
satyasata,ସତ୍ୟସତ
hrudayaabegaku,ହୃଦୟାବେଗକୁ
bajipariba,ବାଜିପାରିବ
haribangshanaku,ହରିବଂଶନକୁ
sankalpabaddha,ସଙ୍କଳ୍ପବଦ୍ଧ
